,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,0.0,,,,
Preferred Shares Number,6000000.0,6000000.0,6000000.0,6000000.0,
Ordinary Shares Number,82775286.0,81342959.0,78603305.0,76727394.0,
Share Issued,82775286.0,81342959.0,78603305.0,76727394.0,
Net Debt,4348352000.0,4243835000.0,3885415000.0,3493046000.0,
Total Debt,4687717000.0,4474796000.0,4192240000.0,4435865000.0,
Tangible Book Value,2803687000.0,2794190000.0,2420605000.0,2304160000.0,
Invested Capital,7402864000.0,7123583000.0,6468152000.0,6595535000.0,
Working Capital,163924000.0,-16449000.0,-6355000.0,665133000.0,
Net Tangible Assets,2963509000.0,2954012000.0,2580602000.0,2464157000.0,
Capital Lease Obligations,88540000.0,145403000.0,144693000.0,144490000.0,
Common Stock Equity,2803687000.0,2794190000.0,2420605000.0,2304160000.0,
Preferred Stock Equity,159822000.0,159822000.0,159997000.0,159997000.0,
Total Capitalization,7562686000.0,7283405000.0,6628149000.0,6755532000.0,
Total Equity Gross Minority Interest,3225522000.0,3212385000.0,2876856000.0,2686467000.0,
Minority Interest,262013000.0,258373000.0,296254000.0,222310000.0,
Stockholders Equity,2963509000.0,2954012000.0,2580602000.0,2464157000.0,
Gains Losses Not Affecting Retained Earnings,4052000.0,5757000.0,-2047000.0,-5644000.0,
Other Equity Adjustments,4052000.0,5757000.0,-2047000.0,-5644000.0,
Retained Earnings,-1160474000.0,-1034186000.0,-1066932000.0,-988272000.0,
Additional Paid In Capital,3959276000.0,3821801000.0,3488794000.0,3297305000.0,
Capital Stock,160655000.0,160640000.0,160787000.0,160768000.0,
Common Stock,833000.0,818000.0,790000.0,771000.0,
Preferred Stock,159822000.0,159822000.0,159997000.0,159997000.0,
Total Liabilities Net Minority Interest,5210990000.0,5021606000.0,4745464000.0,4921157000.0,
Total Non Current Liabilities Net Minority Interest,4913160000.0,4712495000.0,4398427000.0,4588289000.0,
Other Non Current Liabilities,225443000.0,237699000.0,206187000.0,152424000.0,
Preferred Securities Outside Stock Equity,,,213708000.0,137720000.0,139758000.0
Non Current Deferred Liabilities,,,,152424000.0,157938000.0
Non Current Deferred Revenue,,,,152424000.0,157938000.0
Long Term Debt And Capital Lease Obligation,4687717000.0,4474796000.0,4192240000.0,4435865000.0,
Long Term Capital Lease Obligation,88540000.0,145403000.0,144693000.0,144490000.0,
Long Term Debt,4599177000.0,4329393000.0,4047547000.0,4291375000.0,
Current Liabilities,297830000.0,309111000.0,347037000.0,332868000.0,
Current Deferred Liabilities,,,,152424000.0,157938000.0
Current Deferred Revenue,,,,152424000.0,157938000.0
Line Of Credit,,0.0,0.0,0.0,0.0
Payables And Accrued Expenses,297830000.0,309111000.0,347037000.0,332868000.0,
Payables,297830000.0,309111000.0,347037000.0,332868000.0,
Other Payable,30482000.0,28508000.0,25331000.0,20388000.0,
Dividends Payable,92634000.0,90263000.0,86538000.0,83839000.0,
Accounts Payable,174714000.0,190340000.0,235168000.0,228641000.0,
Total Assets,8436512000.0,8233991000.0,7622320000.0,7607624000.0,
Total Non Current Assets,7974758000.0,7941329000.0,7281638000.0,6609623000.0,
Other Non Current Assets,263377000.0,267406000.0,237069000.0,218953000.0,
Investments And Advances,34870000.0,145205000.0,13027000.0,22128000.0,
Long Term Equity Investment,34870000.0,145205000.0,13027000.0,22128000.0,
Investments In Other Ventures Under Equity Method,34870000.0,145205000.0,13027000.0,22128000.0,
Investment Properties,7582668000.0,7388682000.0,6890967000.0,6225178000.0,
Net PPE,93843000.0,140036000.0,140575000.0,143364000.0,
Gross PPE,93843000.0,140036000.0,140575000.0,143364000.0,
Other Properties,93843000.0,140036000.0,140575000.0,143364000.0,
Current Assets,461754000.0,292662000.0,340682000.0,998001000.0,
Other Current Assets,,267406000.0,237069000.0,,
Restricted Cash,,,13031000.0,18567000.0,
Prepaid Assets,,,237069000.0,218953000.0,227060000.0
Receivables,210929000.0,207104000.0,178550000.0,199672000.0,
Notes Receivable,9196000.0,9456000.0,9543000.0,39892000.0,
Accounts Receivable,201733000.0,197648000.0,169007000.0,159780000.0,
Cash Cash Equivalents And Short Term Investments,250825000.0,85558000.0,162132000.0,798329000.0,
Cash And Cash Equivalents,250825000.0,85558000.0,162132000.0,798329000.0,
