Date,GRADE,GPS,MPC,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2011-06-24,,,12.63569450378418,,,,,,
2011-06-27,,,12.771380424499512,,,,,,
2011-06-28,,,13.127549171447754,,,,,,
2011-06-29,,,13.59227466583252,,,,,,
2011-06-30,,,14.04342555999756,13.234064865112305,,,,,
2011-07-01,,,14.314800262451172,13.569886016845704,,,,,
2011-07-04,,,14.314800262451172,13.878569984436036,,,,,
2011-07-05,,,14.318188667297363,14.116697883605957,,,,,
2011-07-06,,,14.209638595581056,14.240170669555663,,,,,
2011-07-07,,,14.172323226928713,14.265950202941895,13.7500075340271,,,,
2011-07-08,,,14.046819686889648,14.21235408782959,13.891120052337646,,,,
2011-07-11,,,13.602445602416992,14.069883155822755,13.974226570129394,,,,
2011-07-12,,,13.731351852416992,13.952515792846679,14.034606838226319,,,,
2011-07-13,,,13.55496311187744,13.821580696105958,14.03087568283081,,,,
2011-07-14,,,13.107195854187012,13.608555221557618,13.937252712249755,,,,
2011-07-15,,,13.283589363098145,13.455909156799317,13.834131622314453,,,,
2011-07-18,,,13.270020484924316,13.389424133300782,13.729653644561768,,,,
2011-07-19,,,13.480335235595703,13.339220809936524,13.645868301391602,,,,
2011-07-20,,,13.409093856811523,13.31004695892334,13.56581382751465,,,,
2011-07-21,,,13.602445602416992,13.409096908569335,13.508826065063477,13.629416799545288,,,
2011-07-22,,,13.761876106262209,13.504754257202148,13.480331707000733,13.685725879669189,,,
2011-07-25,,,14.033246040344238,13.657399368286132,13.523411750793457,13.748819160461426,,,
2011-07-26,,,14.60312557220459,13.88195743560791,13.610589122772216,13.822597980499268,,,
2011-07-27,,,14.267309188842772,14.05360050201416,13.68182373046875,13.85634970664978,,,
2011-07-28,,,14.511544227600098,14.235420227050781,13.822258567810058,13.879755640029908,,,
2011-07-29,,,14.85414218902588,14.453873443603516,13.979313850402832,13.906722736358642,,,
2011-08-01,,,15.254420280456545,14.698108291625976,14.177753829956055,13.95370373725891,,,
2011-08-02,,,14.35889720916748,14.649262619018554,14.265610027313233,13.955739164352417,,,
2011-08-03,,,14.053606033325195,14.60652198791504,14.3300612449646,13.947937536239625,,,
2011-08-04,,,13.032573699951172,14.310727882385255,14.273074054718018,13.890950059890747,,,
2011-08-05,,,12.656044960021973,13.871108436584473,14.162490940093994,13.821411323547363,,,
2011-08-08,,,10.96676254272461,13.013576889038086,13.855842590332031,13.689627170562744,,,
2011-08-09,,,12.245599746704102,12.59091739654541,13.620090007781982,13.6153395652771,,,
2011-08-10,,,11.913168907165527,12.162829971313476,13.384675979614258,13.533249855041504,,,
2011-08-11,,,12.66622257232666,12.089559745788574,13.200143814086914,13.511201190948487,,,
2011-08-12,,,12.68996810913086,12.096344375610352,12.983726406097412,13.481520128250121,,,
2011-08-15,,,13.33452320098877,12.569896507263184,12.791736698150634,13.484745264053345,,,
2011-08-16,,,13.252674102783203,12.771311378479004,12.681114387512206,13.47336220741272,,,
2011-08-17,,,13.33452320098877,13.055582237243652,12.609206104278565,13.469633674621582,,,
2011-08-18,,,12.485342025756836,13.019406127929688,12.55448293685913,13.413778495788574,,,
2011-08-19,,,11.932869911193848,12.867986488342286,12.482165431976318,13.322328186035156,,,
2011-08-22,,,11.107559204101562,12.422593688964843,12.496245098114013,13.176043844223022,,,
2011-08-23,,,11.680500984191896,12.108159065246582,12.439735221862794,13.029912614822388,,,
