Date,GRADE,GPS,TFX,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,2.946082592010498,,,,,,
1983-11-22,,,3.032732486724853,,,,,,
1983-11-23,,,3.057485818862915,,,,,,
1983-11-24,,,3.057485818862915,,,,,,
1983-11-25,,,3.0451104640960693,3.0277794361114503,,,,,
1983-11-28,,,3.020350694656372,3.042633056640625,,,,,
1983-11-29,,,3.057485818862915,3.047583723068237,,,,,
1983-11-30,,,2.9832160472869877,3.0327297687530517,,,,,
1983-12-01,,,2.970838785171509,3.0154003620147707,,,,,
1983-12-02,,,3.00797438621521,3.007973146438599,3.0178762912750243,,,,
1983-12-05,,,2.9337027072906494,2.990643548965454,3.0166383028030395,,,,
1983-12-06,,,2.946082592010498,2.968362903594971,3.007973313331604,,,,
1983-12-07,,,3.020350694656372,2.9757898330688475,3.00425980091095,,,,
1983-12-08,,,2.946082592010498,2.9708385944366453,2.993119478225708,,,,
1983-12-09,,,2.946082592010498,2.958460235595703,2.9832166910171507,,,,
1983-12-12,,,2.9089455604553223,2.953508806228638,2.972076177597046,,,,
1983-12-13,,,2.9213249683380127,2.9485572814941405,2.9584600925445557,,,,
1983-12-14,,,2.9584593772888184,2.93617901802063,2.955984425544739,,,,
1983-12-15,,,2.9213249683380127,2.9312274932861326,2.951033043861389,,,,
1983-12-16,,,2.9089455604553223,2.9238000869750977,2.9411301612854004,2.9795032262802126,,,
1983-12-19,,,2.884190559387207,2.9188490867614747,2.936178946495056,2.9764086246490478,,,
1983-12-20,,,2.884190559387207,2.9114222049713137,2.929989743232727,2.9689815282821654,,,
1983-12-21,,,2.871809959411621,2.894092321395874,2.9151356697082518,2.959697735309601,,,
1983-12-22,,,2.822296619415283,2.874286651611328,2.9027570724487304,2.9479382753372194,,,
1983-12-23,,,2.847054243087769,2.8619083881378176,2.8928542375564574,2.9380354642868043,,,
1983-12-26,,,2.847054243087769,2.8544811248779296,2.886665105819702,2.929370641708374,,,
1983-12-27,,,2.847054243087769,2.8470538616180425,2.8792380332946776,2.918849062919617,,,
1983-12-28,,,2.9089455604553223,2.8544809818267827,2.874286651611328,2.9151355385780335,,,
1983-12-29,,,2.9955954551696777,2.8891407489776615,2.881713700294495,2.916373372077942,,,
1983-12-30,,,3.0451104640960693,2.9287519931793216,2.8953301906585693,2.918230175971985,,,
1984-01-02,,,3.0451104640960693,2.9683632373809816,2.9114221811294554,2.923800563812256,,,
1984-01-03,,,3.057485818862915,3.0104495525360107,2.9287517070770264,2.9293707251548766,,,
1984-01-04,,,3.0451104640960693,3.03768253326416,2.946081757545471,2.9306087136268615,,,
1984-01-05,,,3.0451104640960693,3.0475855350494383,2.96836314201355,2.93556010723114,,,
1984-01-06,,,3.1565170288085938,3.0698668479919435,2.9993094205856323,2.946081829071045,,,
1984-01-09,,,3.131758451461792,3.087196445465088,3.0277798414230346,2.9572224736213686,,,
1984-01-10,,,3.1565170288085938,3.107002687454224,3.058726119995117,2.9689820766448975,,,
1984-01-11,,,3.1688950061798096,3.131759595870972,3.084721064567566,2.979503858089447,,,
1984-01-12,,,3.082242965698242,3.1391860961914064,3.0933858156204224,2.9875497579574586,,,
1984-01-13,,,3.11938214302063,3.1317591190338137,3.1008129835128786,2.998071587085724,,,
1984-01-16,,,3.082242965698242,3.1218560218811033,3.104526233673096,3.0079742074012756,,,
1984-01-17,,,3.0698676109313965,3.104526138305664,3.1057644128799438,3.0172580599784853,,,
1984-01-18,,,3.094620943069458,3.089671325683594,3.110715460777283,3.028398609161377,,,
1984-01-19,,,3.082242965698242,3.089671325683594,3.1144287109375,3.041395926475525,,,
1984-01-20,,,3.11938214302063,3.089671325683594,3.110715222358704,3.055012321472168,,,
1984-01-23,,,3.094620943069458,3.0921469211578367,3.10700147151947,3.0673906564712525,,,
1984-01-24,,,2.970838785171509,3.0723411560058596,3.0884336471557616,3.0735798835754395,,,
1984-01-25,,,2.9584593772888184,3.0451088428497313,3.0673900842666626,3.076055574417114,,,
1984-01-26,,,2.9337027072906494,3.015400791168213,3.052536058425903,3.0729609370231628,,,
1984-01-27,,,2.9089455604553223,2.9733134746551513,3.0314924001693724,3.0661526918411255,2.997328405380249,,
1984-01-30,,,2.9089455604553223,2.9361783981323244,3.0141626596450806,3.0593444466590882,2.9965856647491456,,
1984-01-31,,,2.8594324588775635,2.9138971328735352,2.993119144439697,3.0494417786598205,2.9931196641921995,,
1984-02-01,,,2.8594324588775635,2.894091749191284,2.969600296020508,3.040157878398895,2.9891585969924925,,
1984-02-02,,,2.822296619415283,2.871810531616211,2.943605661392212,3.029017186164856,2.98445481300354,,
1984-02-03,,,2.847054243087769,2.8594322681427,2.916372871398926,3.0135440468788146,2.980493688583374,,
1984-02-06,,,2.7975401878356934,2.8371511936187743,2.886664795875549,2.9968331336975096,2.9760374784469605,,
1984-02-07,,,2.74802565574646,2.814869832992554,2.8643834829330443,2.976408565044403,2.9698482751846313,,
1984-02-08,,,2.686132431030273,2.7802098274230955,2.83715078830719,2.952270436286926,2.963906602859497,,
1984-02-09,,,2.611863374710083,2.7381231784820557,2.804966855049133,2.928751456737518,2.9567270946502684,,
1984-02-10,,,2.5623488426208496,2.681182098388672,2.770307183265686,2.900899791717529,2.9478145837783813,,
1984-02-13,,,2.549969434738159,2.631667947769165,2.7344095706939697,2.874286115169525,2.9401399183273313,,
1984-02-14,,,2.5623488426208496,2.594532585144043,2.7047012090682983,2.8489101767539977,2.9324652433395384,,
