Date,GRADE,GPS,VMC,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,2.67032527923584,,,,,,
1983-11-22,,,2.6651391983032227,,,,,,
1983-11-23,,,2.6651391983032227,,,,,,
1983-11-24,,,2.6651391983032227,,,,,,
1983-11-25,,,2.654768228530884,2.6641022205352782,,,,,
1983-11-28,,,2.685879230499268,2.6672130107879637,,,,,
1983-11-29,,,2.685879230499268,2.6713610172271727,,,,,
1983-11-30,,,2.6651391983032227,2.6713610172271727,,,,,
1983-12-01,,,2.6755099296569824,2.673435163497925,,,,,
1983-12-02,,,2.6651391983032227,2.6755093574523925,2.6698057889938354,,,,
1983-12-05,,,2.6651391983032227,2.6713613510131835,2.669287180900574,,,,
1983-12-06,,,2.6184749603271484,2.65788049697876,2.6646207571029663,,,,
1983-12-07,,,2.602917432785034,2.645436143875122,2.6583985805511476,,,,
1983-12-08,,,2.571807622909546,2.6246956825256347,2.6490654230117796,,,,
1983-12-09,,,2.571807622909546,2.6060293674468995,2.640769362449646,,,,
1983-12-12,,,2.592548370361328,2.5915112018585207,2.631436276435852,,,,
1983-12-13,,,2.602917432785034,2.5883996963500975,2.6231400966644287,,,,
1983-12-14,,,2.602917432785034,2.5883996963500975,2.61691792011261,,,,
1983-12-15,,,2.602917432785034,2.5946216583251953,2.609658670425415,,,,
1983-12-16,,,2.613289594650269,2.60291805267334,2.6044737100601196,2.6371397495269777,,,
1983-12-19,,,2.649585723876953,2.614325523376465,2.6029183626174928,2.6361027717590333,,,
1983-12-20,,,2.67032527923584,2.627807092666626,2.608103394508362,2.636362075805664,,,
1983-12-21,,,2.6806960105896,2.643362808227539,2.615881252288818,2.637139916419983,,,
1983-12-22,,,2.732545852661133,2.669288492202759,2.631955075263977,2.6405102491378782,,,
1983-12-23,,,2.768842458724976,2.7003990650177,2.6516585588455204,2.646213960647583,,,
1983-12-26,,,2.768842458724976,2.7242504119873048,2.669287967681885,2.6503621220588682,,,
1983-12-27,,,2.758471965789795,2.7418797492980955,2.6848434209823613,2.6539917588233948,,,
1983-12-28,,,2.774026393890381,2.760545825958252,2.7019543170928957,2.659436118602753,,,
1983-12-29,,,2.7999520301818848,2.7740270614624025,2.721657776832581,2.6656582236289976,,,
1983-12-30,,,2.8155088424682617,2.7833603382110597,2.7418797016143803,2.6731767058372498,,,
1984-01-02,,,2.8155088424682617,2.792693614959717,2.758472013473511,2.680695188045502,,,
1984-01-03,,,2.8206934928894043,2.8051379203796385,2.7735088348388675,2.6908061146736144,,,
1984-01-04,,,2.8206934928894043,2.8144713401794434,2.7875085830688477,2.701694917678833,,,
1984-01-05,,,2.841432571411133,2.822767448425293,2.798397254943848,2.7151761651039124,,,
1984-01-06,,,2.841432571411133,2.827952194213867,2.8056562662124636,2.7286574125289915,,,
1984-01-09,,,2.8777272701263428,2.8403958797454836,2.8165447473526,2.7429163575172426,,,
1984-01-10,,,2.867358922958374,2.8497289657592773,2.827433443069458,2.7561384320259092,,,
1984-01-11,,,2.8725428581237797,2.860098838806153,2.8372850894927977,2.7696197032928467,,,
1984-01-12,,,2.8829150199890137,2.8683953285217285,2.845581388473511,2.7836195826530457,,,
1984-01-13,,,2.8621721267700195,2.8725432395935058,2.8502477169036866,2.796063709259033,,,
1984-01-16,,,2.8621721267700195,2.869432210922241,2.8549140453338624,2.8066930294036867,,,
1984-01-17,,,2.8829150199890137,2.8725434303283692,2.8611361980438232,2.817322516441345,,,
1984-01-18,,,2.8777272701263428,2.873580312728882,2.866839575767517,2.8271740794181826,,,
1984-01-19,,,2.8881001472473145,2.874617338180542,2.8715063333511353,2.8349517941474915,,,
1984-01-20,,,2.8932833671569824,2.8808395862579346,2.8766914129257204,2.841173839569092,,,
1984-01-23,,,2.8932833671569824,2.887061834335327,2.878247022628784,2.847395884990692,,,
1984-01-24,,,2.903653621673584,2.8912095546722414,2.881876492500305,2.8546549677848816,,,
1984-01-25,,,2.903653621673584,2.8963948249816895,2.8849875688552857,2.861136329174042,,,
1984-01-26,,,2.8932833671569824,2.897431468963623,2.8860244035720823,2.865802896022797,,,
1984-01-27,,,2.8932833671569824,2.897431468963623,2.8891355276107786,2.869691622257233,2.75110848903656,,
1984-01-30,,,2.8932833671569824,2.897431468963623,2.892246651649475,2.873580348491669,2.755567650794983,,
1984-01-31,,,2.851803064346313,2.887061357498169,2.889135456085205,2.875135827064514,2.7593009281158447,,
1984-02-01,,,2.8621721267700195,2.8787650585174562,2.8875799417495727,2.877209758758545,2.7632415866851807,,
1984-02-02,,,2.841432571411133,2.868394899368286,2.8829131841659548,2.877209758758545,2.766767454147339,,
1984-02-03,,,2.841432571411133,2.858024740219116,2.8777281045913696,2.877209758758545,2.770500741004944,,
1984-02-06,,,2.841432571411133,2.8476545810699463,2.8725430250167845,2.8753950238227843,2.773611807823181,,
1984-02-07,,,2.7895827293396,2.8352105140686037,2.8611359357833863,2.8715062141418457,2.775685877799988,,
1984-02-08,,,2.737731456756592,2.810322380065918,2.844543719291687,2.8647656440734863,2.777137722969055,,
1984-02-09,,,2.6755099296569824,2.777137851715088,2.822766375541687,2.8543953895568848,2.777137722969055,,
1984-02-10,,,2.654768228530884,2.739804983139038,2.7989148616790773,2.844025194644928,2.7769303035736086,,
1984-02-13,,,2.67032527923584,2.7055835247039797,2.776619052886963,2.834432852268219,2.7770340251922607,,
1984-02-14,,,2.654768228530884,2.678620624542236,2.75691556930542,2.8230255126953123,2.7777598905563354,,
1984-02-15,,,2.6651391983032227,2.6641021728515626,2.7372122764587403,2.8123961091041565,2.7790043258666994,,
1984-02-16,,,2.67032527923584,2.663065242767334,2.720101547241211,2.801507365703583,2.7809746789932253,,
1984-02-17,,,2.6755099296569824,2.6672135829925536,2.703509283065796,2.790618693828583,2.783048725128174,,
1984-02-20,,,2.6755099296569824,2.6682505130767824,2.686917018890381,2.7797300219535828,2.784707956314087,,
1984-02-21,,,2.6755099296569824,2.6723988533020018,2.675509738922119,2.768322837352753,2.786159806251526,,
1984-02-22,,,2.6910645961761475,2.677583932876587,2.6708430528640745,2.757693386077881,2.787922749519348,,
1984-02-23,,,2.649585723876953,2.6734360218048097,2.668250632286072,2.7455085039138796,2.7888561153411864,,
1984-02-24,,,2.634028911590576,2.6651398181915282,2.666176700592041,2.732545781135559,2.7892709016799926,,
1984-02-27,,,2.6236579418182373,2.6547694206237793,2.661509966850281,2.719064509868622,2.788752346038818,,
1984-02-28,,,2.6236579418182373,2.6443990230560304,2.6583989381790163,2.707657253742218,2.7878189992904665,,
