Date,GRADE,GPS,TXT,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,2.054630279541016,,,,,,
1983-11-22,,,2.0698492527008057,,,,,,
1983-11-23,,,2.054630279541016,,,,,,
1983-11-24,,,2.054630279541016,,,,,,
1983-11-25,,,2.0470199584960938,2.0561520099639896,,,,,
1983-11-28,,,2.0394093990325928,2.053107833862305,,,,,
1983-11-29,,,2.0470199584960938,2.0485419750213625,,,,,
1983-11-30,,,2.0698492527008057,2.0515857696533204,,,,,
1983-12-01,,,2.0698492527008057,2.0546295642852783,,,,,
1983-12-02,,,2.0698492527008057,2.0591954231262206,2.057673716545105,,,,
1983-12-05,,,2.0698492527008057,2.0652833938598634,2.059195613861084,,,,
1983-12-06,,,2.0622398853302,2.0683273792266847,2.0584346771240236,,,,
1983-12-07,,,2.0622398853302,2.0668055057525634,2.059195637702942,,,,
1983-12-08,,,2.0622398853302,2.0652836322784425,2.05995659828186,,,,
1983-12-09,,,2.031800508499145,2.0576738834381105,2.0584346532821653,,,,
1983-12-12,,,2.031800508499145,2.050064134597778,2.057673764228821,,,,
1983-12-13,,,2.024190902709961,2.04245433807373,2.0553908586502074,,,,
1983-12-14,,,2.024190902709961,2.034844541549682,2.050825023651123,,,,
1983-12-15,,,1.9480934143066408,2.01201524734497,2.0386494398117065,,,,
1983-12-16,,,2.0089728832244877,2.007449722290039,2.0325618028640746,2.0451177597045898,,,
1983-12-19,,,1.9937524795532229,1.9998401165008548,2.0249521255493166,2.0420738697052,,,
1983-12-20,,,1.9785317182540891,1.9907082796096802,2.0165813088417055,2.0375079929828646,,,
1983-12-21,,,1.9785317182540891,1.9815764427185059,2.0082104921340944,2.033703064918518,,,
1983-12-22,,,1.9785317182540891,1.9876641035079956,1.999839675426483,2.0298981368541718,,,
1983-12-23,,,1.986142635345459,1.9830980539321899,1.9952738881111145,2.02685427069664,,,
1983-12-26,,,1.986142635345459,1.9815760850906372,1.990708100795746,2.0241909325122833,,,
1983-12-27,,,2.0089728832244877,1.9876643180847169,1.9891862988471984,2.022288578748703,,,
1983-12-28,,,1.9937524795532229,1.9907084703445435,1.9861424565315247,2.018483740091324,,,
1983-12-29,,,1.9937524795532229,1.99375262260437,1.9907083630561828,2.014678901433945,,,
1983-12-30,,,1.986142635345459,1.99375262260437,1.98842533826828,2.0104935705661773,,,
1984-01-02,,,1.986142635345459,1.99375262260437,1.9876643538475036,2.00630823969841,,,
