Date,GRADE,GPS,L,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.3514150381088257,,,,,,
1983-11-22,,,1.3314236402511597,,,,,,
1983-11-23,,,1.3294240236282349,,,,,,
1983-11-24,,,1.3294240236282349,,,,,,
1983-11-25,,,1.3314236402511597,1.334622073173523,,,,,
1983-11-28,,,1.3314236402511597,1.3306237936019898,,,,,
1983-11-29,,,1.3274247646331787,1.3298240184783936,,,,,
1983-11-30,,,1.3314236402511597,1.3302239418029784,,,,,
1983-12-01,,,1.319428563117981,1.3282248497009277,,,,,
1983-12-02,,,1.319428563117981,1.325825834274292,1.3302239537239076,,,,
1983-12-05,,,1.319428563117981,1.3234268188476563,1.327025306224823,,,,
1983-12-06,,,1.3274247646331787,1.3234268188476563,1.3266254186630249,,,,
1983-12-07,,,1.3554127216339111,1.3282246351242066,1.3292242884635925,,,,
1983-12-08,,,1.3514150381088257,1.3346219301223754,1.3314233899116517,,,,
1983-12-09,,,1.3554127216339111,1.3418187618255615,1.3338222980499268,,,,
1983-12-12,,,1.3544138669967651,1.3488158226013183,1.3361213207244873,,,,
1983-12-13,,,1.3834006786346436,1.3600110054016112,1.3417189121246338,,,,
1983-12-14,,,1.3794039487838743,1.364809250831604,1.3465169429779054,,,,
1983-12-15,,,1.3834006786346436,1.3712063789367677,1.3529141545295715,,,,
1983-12-16,,,1.3754041194915771,1.3752046585083009,1.358511710166931,1.3443678319454193,,,
1983-12-19,,,1.3794039487838743,1.3802026748657226,1.3645092487335204,1.3457672774791718,,,
1983-12-20,,,1.3754041194915771,1.3786033630371093,1.3693071842193603,1.3479663014411927,,,
1983-12-21,,,1.3913980722427368,1.3810021877288818,1.372905719280243,1.3510650038719176,,,
1983-12-22,,,1.3913980722427368,1.3826016664505005,1.376904022693634,1.3541637063026428,,,
1983-12-23,,,1.4153872728347778,1.3905982971191406,1.3829014778137207,1.3583618879318238,,,
1983-12-26,,,1.4153872728347778,1.3977949619293213,1.388998818397522,1.3625600695610047,,,
1983-12-27,,,1.455370306968689,1.4137881994247437,1.3961957812309265,1.3689573466777802,,,
1983-12-28,,,1.4513722658157349,1.4257830381393433,1.4033926129341125,1.374954777956009,,,
1983-12-29,,,1.4713629484176636,1.4417760133743287,1.4121888399124145,1.3825514972209931,,,
1983-12-30,,,1.4913545846939087,1.4569694757461549,1.4237838864326477,1.3911477982997895,,,
1984-01-02,,,1.4913545846939087,1.472162938117981,1.4349789500236512,1.399744099378586,,,
1984-01-03,,,1.4653664827346802,1.4741621732711792,1.4439751863479615,1.4066411852836609,,,
1984-01-04,,,1.4993505477905271,1.4837578296661376,1.4547704339027405,1.4138380765914917,,,
1984-01-05,,,1.543331503868103,1.4981515407562256,1.4699637770652771,1.4234338998794556,,,
1984-01-06,,,1.5233404636383057,1.504548716545105,1.4807590961456298,1.4318302869796753,,,
1984-01-09,,,1.5233404636383057,1.5109458923339845,1.4915544152259828,1.4402766168117522,,,
1984-01-10,,,1.4973522424697876,1.5173430442810059,1.4957526087760926,1.4459741950035094,,,
