Date,GRADE,GPS,ROL,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,0.1538234055042266,,,,,,
1983-11-22,,,0.1549799144268036,,,,,,
1983-11-23,,,0.1526667326688766,,,,,,
1983-11-24,,,0.1526667326688766,,,,,,
1983-11-25,,,0.1526667326688766,0.153360703587532,,,,,
1983-11-28,,,0.1503535658121109,0.15266673564910888,,,,,
1983-11-29,,,0.1526667326688766,0.15220409929752346,,,,,
1983-11-30,,,0.1538234055042266,0.15243543386459346,,,,,
1983-12-01,,,0.1538234055042266,0.15266676843166346,,,,,
1983-12-02,,,0.1538234055042266,0.15289810299873346,0.15312940329313274,,,,
1983-12-05,,,0.1526667326688766,0.15336073637008657,0.15301373600959772,,,,
1983-12-06,,,0.158449187874794,0.1545172274112701,0.15336066335439674,,,,
1983-12-07,,,0.1630755364894867,0.1563676536083221,0.15440154373645779,,,,
1983-12-08,,,0.1619188785552978,0.15798674821853634,0.1553267583250999,,,,
1983-12-09,,,0.158449187874794,0.15891190469264982,0.15590500384569164,,,,
1983-12-12,,,0.1572926193475723,0.15983708202838898,0.15659890919923777,,,,
1983-12-13,,,0.158449187874794,0.15983708202838898,0.15717715471982951,,,,
1983-12-14,,,0.1642320156097412,0.16006837785243988,0.158218015730381,,,,
1983-12-15,,,0.1642320156097412,0.16053100526332856,0.15925887674093245,,,,
1983-12-16,,,0.180424153804779,0.16492599844932554,0.1619189515709877,0.1575241774320602,,,
1983-12-19,,,0.1827372461557388,0.17001492381095884,0.1649260029196739,0.15896986946463582,,,
1983-12-20,,,0.1792675107717514,0.17417858839035033,0.16700783520936965,0.16018424928188318,,,
1983-12-21,,,0.1792675107717514,0.17718568742275237,0.16862703263759612,0.16151428818702693,,,
1983-12-22,,,0.1815807819366455,0.18065544068813322,0.1705932229757309,0.1629599906504154,,,
1983-12-23,,,0.1757977455854416,0.17973015904426576,0.17232807874679565,0.16411654129624365,,,
1983-12-26,,,0.1757977455854416,0.1783422589302063,0.17417859137058259,0.16538875028491018,,,
1983-12-27,,,0.1781110018491745,0.17811095714569092,0.17614477276802062,0.16666096374392508,,,
