Date,GRADE,GPS,MAS,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,3.087686061859131,,,,,,
1983-11-22,,,3.0305063724517822,,,,,,
1983-11-23,,,3.076251983642578,,,,,,
1983-11-24,,,3.076251983642578,,,,,,
1983-11-25,,,3.110556125640869,3.076250505447388,,,,,
1983-11-28,,,3.087686061859131,3.076250505447388,,,,,
1983-11-29,,,3.213481903076172,3.112845611572266,,,,,
1983-11-30,,,3.213481903076172,3.1402915954589843,,,,,
1983-12-01,,,3.179174423217773,3.1608760833740233,,,,,
1983-12-02,,,3.2020463943481445,3.1791741371154787,3.1277123212814333,,,,
1983-12-05,,,3.064814329147339,3.17459979057312,3.1254251480102537,,,,
1983-12-06,,,3.12199330329895,3.156302070617676,3.1345738410949706,,,,
1983-12-07,,,3.087686061859131,3.1311429023742674,3.135717248916626,,,,
1983-12-08,,,3.2020463943481445,3.1357172966003417,3.1482966899871827,,,,
1983-12-09,,,3.156301736831665,3.1265683650970457,3.152871251106262,,,,
1983-12-12,,,3.110556125640869,3.1357167243957518,3.155158257484436,,,,
1983-12-13,,,3.133430957794189,3.1380042552948,3.1471531629562377,,,,
1983-12-14,,,3.12199330329895,3.144865703582764,3.1380043029785156,,,,
1983-12-15,,,3.041942834854126,3.11284499168396,3.124281144142151,,,,
1983-12-16,,,3.076251983642578,3.0968350410461425,3.1117017030715943,3.1197070121765136,,,
1983-12-19,,,3.064814329147339,3.0876866817474364,3.1117017030715943,3.1185634255409242,,,
1983-12-20,,,3.099123477935791,3.080825185775757,3.1094147205352782,3.1219942808151244,,,
1983-12-21,,,3.087686061859131,3.073963737487793,3.1094147205352782,3.122565984725952,,,
1983-12-22,,,3.087686061859131,3.083112382888794,3.097978687286377,3.12313768863678,,,
1983-12-23,,,3.099123477935791,3.0876866817474364,3.0922608613967895,3.122566056251526,,,
1983-12-26,,,3.099123477935791,3.0945485115051268,3.091117596626282,3.123137927055359,,,
1983-12-27,,,3.12199330329895,3.099122476577759,3.0899738311767577,3.1185634970664977,,,
1983-12-28,,,3.053379774093628,3.092261219024658,3.0831124782562256,3.1105583906173706,,,
1983-12-29,,,3.076251983642578,3.0899744033813477,3.086543393135071,3.1054122686386108,,,
1983-12-30,,,3.087686061859131,3.0876869201660155,3.087686800956726,3.09969425201416,,,
1984-01-02,,,3.087686061859131,3.0853994369506834,3.089973974227905,3.10083783864975,,,
1984-01-03,,,3.053379774093628,3.071676731109619,3.085399603843689,3.0974071621894836,,,
1984-01-04,,,3.0305063724517822,3.06710205078125,3.079681634902954,3.0945481777191164,,,
1984-01-05,,,3.087686061859131,3.0693888664245605,3.079681634902954,3.0888301610946653,,,
1984-01-06,,,3.064814329147339,3.0648145198822023,3.0762507200241087,3.0842557907104493,,,
1984-01-09,,,3.087686061859131,3.0648145198822023,3.075106978416443,3.083112287521362,,,
1984-01-10,,,3.076251983642578,3.0693889617919923,3.0705328464508055,3.080253338813782,,,
1984-01-11,,,3.064814329147339,3.0762505531311035,3.0716763019561766,3.077394390106201,,,
1984-01-12,,,3.064814329147339,3.0716762065887453,3.070532536506653,3.0785379648208617,,,
