Date,GRADE,GPS,AMGN,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,0.1107606813311576,,,,,,
1983-11-22,,,0.1052230522036552,,,,,,
1983-11-23,,,0.1015305370092392,,,,,,
1983-11-24,,,0.1015305370092392,,,,,,
1983-11-25,,,0.1033764407038688,0.10448424965143199,,,,,
1983-11-28,,,0.1033764407038688,0.10300740152597425,,,,,
1983-11-29,,,0.1015305370092392,0.10226889848709105,,,,,
1983-11-30,,,0.1015305370092392,0.10226889848709105,,,,,
1983-12-01,,,0.1015305370092392,0.10226889848709105,,,,,
1983-12-02,,,0.1015305370092392,0.10189971774816513,0.10319198369979857,,,,
1983-12-05,,,0.0959928557276725,0.10042300075292585,0.10171520113945005,,,,
1983-12-06,,,0.0941469669342041,0.09894628673791885,0.10060759261250493,,,,
1983-12-07,,,0.0959928557276725,0.0978387504816055,0.10005382448434827,,,,
1983-12-08,,,0.0959928557276725,0.09673121422529216,0.0995000563561916,,,,
1983-12-09,,,0.0996846258640289,0.0963620319962501,0.0991308748722076,,,,
1983-12-12,,,0.0996846258640289,0.09710038602352138,0.09876169338822362,,,,
1983-12-13,,,0.1015305370092392,0.0985771000385284,0.09876169338822362,,,,
1983-12-14,,,0.0996846258640289,0.09931545406579968,0.09857710227370259,,,,
1983-12-15,,,0.0996846258640289,0.10005380809307096,0.09839251115918154,,,,
1983-12-16,,,0.0978387743234634,0.09968463778495787,0.09802333489060397,0.10060765929520125,,,
1983-12-19,,,0.1015305370092392,0.10005382001399991,0.09857710301876065,0.10014615207910534,,,
1983-12-20,,,0.0996846258640289,0.09968463778495787,0.09913086891174314,0.09986923076212403,,,
1983-12-21,,,0.1015305370092392,0.10005382001399991,0.0996846370398998,0.09986923076212403,,,
1983-12-22,,,0.1015305370092392,0.10042300224304197,0.10023840516805646,0.09986923076212403,,,
1983-12-23,,,0.0996846258640289,0.1007921725511551,0.10023840516805646,0.09968464002013204,,,
1983-12-26,,,0.0996846258640289,0.10042299032211302,0.10023840516805646,0.09950004927814005,,,
1983-12-27,,,0.1033764407038688,0.101161353290081,0.10042299553751943,0.09959234446287152,,,
1983-12-28,,,0.1052230522036552,0.10189985632896419,0.10097683817148206,0.09977697022259233,,,
1983-12-29,,,0.1052230522036552,0.1026383593678474,0.1015306808054447,0.09996159598231312,,,
1983-12-30,,,0.1070689111948013,0.10411521643400187,0.10245369449257849,0.10023851469159122,,,
1984-01-02,,,0.1070689111948013,0.10559207350015636,0.1030075319111347,0.10079231746494768,,,
1984-01-03,,,0.1070689111948013,0.10633056759834288,0.10374596044421194,0.10143841467797754,,,
1984-01-04,,,0.1052230522036552,0.10633056759834285,0.10411521196365352,0.10189992450177668,,,
1984-01-05,,,0.1107606813311576,0.10743809342384333,0.10503822639584537,0.1026383157819509,,,
1984-01-06,,,0.1181449592113494,0.10965330302715297,0.10688425973057743,0.10356133244931694,,,
1984-01-09,,,0.1162990778684616,0.11149933636188503,0.1085457049310207,0.10439205504953859,,,
1984-01-10,,,0.1199908778071403,0.11408372968435283,0.11020714864134784,0.10531507208943365,,,
1984-01-11,,,0.1218367740511894,0.11740647405385965,0.11186852082610126,0.10642267949879167,,,
1984-01-12,,,0.1181449592113494,0.11888332962989803,0.11316071152687068,0.10734569616615768,,,
1984-01-13,,,0.1181449592113494,0.11888332962989803,0.11426831632852548,0.10836100541055198,,,
1984-01-16,,,0.1199908778071403,0.11962168961763375,0.11556051298975938,0.10928402245044704,,,
1984-01-17,,,0.1181449592113494,0.11925250589847558,0.1166681177914142,0.11020703911781307,,,
1984-01-18,,,0.1144524589180946,0.11777564287185663,0.11759105846285815,0.11085313521325584,,,
1984-01-19,,,0.1181449592113494,0.11777564287185663,0.11832948625087732,0.11168385632336135,,,
1984-01-20,,,0.1144524589180946,0.11703714281320565,0.11796023622155183,0.11242224797606463,,,
1984-01-23,,,0.1107606813311576,0.11519110351800912,0.11740639656782144,0.11297605074942105,,,
1984-01-24,,,0.1181449592113494,0.11519110351800912,0.11722180470824235,0.11371447667479509,,,
1984-01-25,,,0.1162990778684616,0.11556042730808251,0.11666803508996956,0.1142682779580354,,,
1984-01-26,,,0.1199908778071403,0.11592961102724071,0.11685262694954865,0.11500666923820968,,,
1984-01-27,,,0.1181449592113494,0.11666811108589166,0.11685262694954868,0.11556047163903709,0.10695799127221103,,
1984-01-30,,,0.1181449592113494,0.11814496666193001,0.11666803508996956,0.11611427403986449,0.10710567682981488,,
1984-01-31,,,0.1144524589180946,0.11740646660327907,0.11629878506064409,0.11648345142602916,0.10729026496410367,,
1984-02-01,,,0.1126065701246261,0.11666796505451196,0.11611419618129723,0.11685262732207768,0.10751178562641138,,
1984-02-02,,,0.1126065701246261,0.11519110351800912,0.11556035727262493,0.11694492176175111,0.10773330628871912,,
1984-02-03,,,0.1107606813311576,0.11371424794197076,0.11519117951393121,0.11657570786774152,0.1078809911012649,,
1984-02-06,,,0.1052230522036552,0.11112986654043193,0.11463741660118096,0.1160219065845012,0.10791792333126063,,
1984-02-07,,,0.1052230522036552,0.10928398519754405,0.11334522590041156,0.11528351530432694,0.10799177363514895,,
1984-02-08,,,0.1033764407038688,0.10743795931339259,0.11205296218395229,0.11436049863696092,0.10802869170904154,,
1984-02-09,,,0.0996846258640289,0.10485357046127315,0.11002233698964112,0.11343748196959491,0.10799177348613734,,
1984-02-10,,,0.1015305370092392,0.10300754159688945,0.10836089476943012,0.1126067608594894,0.10799177348613734,,
