Date,GRADE,GPS,CVS,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.6876752376556396,,,,,,
1983-11-22,,,1.6999045610427856,,,,,,
1983-11-23,,,1.7060197591781616,,,,,,
1983-11-24,,,1.7060197591781616,,,,,,
1983-11-25,,,1.712133765220642,1.7023506164550781,,,,,
1983-11-28,,,1.6937894821166992,1.70357346534729,,,,,
1983-11-29,,,1.712133765220642,1.7060193061828612,,,,,
1983-11-30,,,1.6876752376556396,1.7023504018783568,,,,,
1983-12-01,,,1.6937894821166992,1.6999043464660644,,,,,
1983-12-02,,,1.712133765220642,1.6999043464660644,1.7011274814605712,,,,
1983-12-05,,,1.6326416730880735,1.6876747846603393,1.6956241250038147,,,,
1983-12-06,,,1.6142985820770264,1.6681077480316162,1.6870635271072387,,,,
1983-12-07,,,1.6571016311645508,1.6619930267333984,1.6821717143058776,,,,
1983-12-08,,,1.675445795059204,1.6583242893218995,1.679114317893982,,,,
1983-12-09,,,1.6632163524627686,1.6485408067703247,1.6742225766181946,,,,
1983-12-12,,,1.6632163524627686,1.6546557426452637,1.6711652636528016,,,,
1983-12-13,,,1.6571016311645508,1.6632163524627686,1.6656620502471924,,,,
1983-12-14,,,1.6204136610031128,1.655878758430481,1.6589358925819397,,,,
1983-12-15,,,1.6448715925216677,1.6497639179229737,1.6540441036224365,,,,
1983-12-16,,,1.6142985820770264,1.6399803638458252,1.644260585308075,1.6726940333843232,,,
1983-12-19,,,1.6142985820770264,1.6301968097686768,1.6424262762069701,1.6690252006053925,,,
1983-12-20,,,1.602067947387695,1.6191900730133058,1.6412032127380372,1.664133369922638,,,
1983-12-21,,,1.5898394584655762,1.6130752325057984,1.6344769954681397,1.6583243548870086,,,
1983-12-22,,,1.5653797388076782,1.5971768617630004,1.623470389842987,1.6512923538684845,,,
1983-12-23,,,1.553150653839111,1.5849472761154175,1.6124638199806214,1.643343198299408,,,
1983-12-26,,,1.553150653839111,1.5727176904678344,1.6014572501182556,1.6363112568855285,,,
1983-12-27,,,1.6571016311645508,1.5837244272232054,1.6014572501182556,1.633559650182724,,,
1983-12-28,,,1.6937894821166992,1.6045144319534301,1.6087948322296142,1.633865362405777,,,
1983-12-29,,,1.712133765220642,1.633865237236023,1.6155210494995118,1.634782576560974,,,
1983-12-30,,,1.7060197591781616,1.664439058303833,1.6246931672096252,1.6344768762588502,,,
1984-01-02,,,1.7060197591781616,1.695012879371643,1.6338652849197388,1.6381457805633546,,,
1984-01-03,,,1.7182486057281494,1.7072422742843627,1.6454833507537843,1.6433432817459106,,,
1984-01-04,,,1.712133765220642,1.7109111309051515,1.6577127814292907,1.6460948884487152,,,
1984-01-05,,,1.7182486057281494,1.712134099006653,1.672999668121338,1.6482350289821626,,,
1984-01-06,,,1.712133765220642,1.713356900215149,1.688897979259491,1.6506808996200562,,,
1984-01-09,,,1.6876752376556396,1.7096879959106446,1.7023504376411438,1.6519038438796998,,,
1984-01-10,,,1.712133765220642,1.708465027809143,1.707853651046753,1.6546554505825042,,,
1984-01-11,,,1.7549372911453247,1.7170257329940797,1.7139684319496156,1.6613816320896149,,,
1984-01-12,,,1.7243638038635254,1.7182487726211548,1.7151914358139038,1.6653562426567077,,,
1984-01-13,,,1.712133765220642,1.7182487726211548,1.715802836418152,1.6702480018138885,,,
1984-01-16,,,1.712133765220642,1.7231404781341553,1.7164142370223998,1.6751397609710694,,,
1984-01-17,,,1.712133765220642,1.7231404781341553,1.715802752971649,1.6806430518627167,,,
1984-01-18,,,1.6937894821166992,1.7109109163284302,1.713968324661255,1.685840553045273,,,
1984-01-19,,,1.6999045610427856,1.7060190677642821,1.7121339201927186,1.6925667941570282,,,
1984-01-20,,,1.6815603971481323,1.6999043941497802,1.7090765833854675,1.6989872813224793,,,
1984-01-23,,,1.6387569904327393,1.6852290391921998,1.7041847586631775,1.7032675981521606,,,
1984-01-24,,,1.6632163524627686,1.675445556640625,1.6992930173873901,1.7035733342170716,,,
