Date,GRADE,GPS,IP,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,3.501771926879883,,,,,,
1983-11-22,,,3.525064468383789,,,,,,
1983-11-23,,,3.532828092575073,,,,,,
1983-11-24,,,3.532828092575073,,,,,,
1983-11-25,,,3.548358678817749,3.5281702518463134,,,,,
1983-11-28,,,3.478476047515869,3.5235110759735107,,,,,
1983-11-29,,,3.571650743484497,3.5328283309936523,,,,,
1983-11-30,,,3.649295091629028,3.5561217308044433,,,,,
1983-12-01,,,3.641530513763428,3.5778622150421144,,,,,
1983-12-02,,,3.602708101272583,3.588732099533081,3.5584511756896973,,,,
1983-12-05,,,3.680352449417114,3.62910737991333,3.5763092279434203,,,,
1983-12-06,,,3.63376784324646,3.6415307998657225,3.5871795654296874,,,,
1983-12-07,,,3.641530513763428,3.6399778842926027,3.5980498075485228,,,,
1983-12-08,,,3.618237018585205,3.635319185256958,3.6065907001495363,,,,
1983-12-09,,,3.6260035037994394,3.639978265762329,3.614355182647705,,,,
1983-12-12,,,3.5794131755828857,3.6197904109954835,3.6244488954544067,,,,
1983-12-13,,,3.587180852890014,3.6104730129241944,3.6260019063949587,,,,
1983-12-14,,,3.525064468383789,3.5871798038482665,3.6135788440704344,,,,
1983-12-15,,,3.478476047515869,3.5592276096343993,3.5972733974456785,,,,
1983-12-16,,,3.548358678817749,3.5436986446380616,3.5918384552001954,3.575144815444946,,,
1983-12-19,,,3.649295091629028,3.55767502784729,3.5887327194213867,3.5825209736824037,,,
1983-12-20,,,3.63376784324646,3.566992425918579,3.5887327194213867,3.5879561424255373,,,
1983-12-21,,,3.6958820819854736,3.601155948638916,3.594167876243591,3.596108841896057,,,
1983-12-22,,,3.649295091629028,3.6353197574615477,3.5972736835479737,3.601932191848755,,,
1983-12-23,,,3.618237018585205,3.649295425415039,3.5964970350265504,3.6054261088371278,,,
1983-12-26,,,3.618237018585205,3.6430838108062744,3.6003794193267824,3.6124141573905946,,,
1983-12-27,,,3.649295091629028,3.646189260482788,3.6065908432006837,3.616296374797821,,,
1983-12-28,,,3.618237018585205,3.6306602478027346,3.6159080982208254,3.61474347114563,,,
1983-12-29,,,3.6648242473602295,3.6337660789489745,3.6345429182052613,3.61590815782547,,,
1983-12-30,,,3.6648242473602295,3.6430835247039797,3.646189475059509,3.6190139651298523,,,
1984-01-02,,,3.6648242473602295,3.6524009704589844,3.6477423906326294,3.618237555027008,,,
