Date,GRADE,GPS,CEG,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2022-01-19,,,40.900970458984375,,,,,,
2022-01-20,,,43.82246398925781,,,,,,
2022-01-21,,,43.82246398925781,,,,,,
2022-01-24,,,41.68003463745117,,,,,,
2022-01-25,,,40.8016357421875,42.20551376342773,,,,,
2022-01-26,,,42.08904647827149,42.443128967285155,,,,,
2022-01-27,,,44.56257629394531,42.59115142822266,,,,,
2022-01-28,,,45.52667617797852,42.931993865966795,,,,,
2022-01-31,,,46.74396896362305,43.94478073120117,,,,,
2022-02-01,,,48.477386474609375,45.47993087768555,43.84272232055664,,,,
2022-02-02,,,51.62286376953125,47.3866943359375,44.91491165161133,,,,
2022-02-03,,,52.21690368652344,48.91755981445313,45.75435562133789,,,,
2022-02-04,,,48.82796478271485,49.5778175354004,46.254905700683594,,,,
2022-02-07,,,44.86447143554688,49.201918029785155,46.57334938049316,,,,
2022-02-08,,,44.30938720703125,48.36831817626953,46.924124526977536,,,,
2022-02-09,,,46.072025299072266,47.25815048217773,47.322422409057616,,,,
2022-02-10,,,45.81882095336914,45.97853393554688,47.448046875,,,,
2022-02-11,,,46.83160781860352,45.57926254272461,47.5785400390625,,,,
2022-02-14,,,46.8510856628418,45.976585388183594,47.58925170898438,,,,
2022-02-15,,,46.74396896362305,46.46350173950195,47.415909957885745,45.62931613922119,,,
2022-02-16,,,45.96489334106445,46.44207534790039,46.85011291503907,45.8825122833252,,,
2022-02-17,,,44.10488128662109,46.09928741455078,46.038910675048825,45.89663314819336,,,
2022-02-18,,,44.22173690795898,45.57731323242187,45.57828788757324,45.91659679412842,,,
2022-02-21,,,44.22173690795898,45.05144348144531,45.514014434814456,46.043681907653806,,,
2022-02-22,,,42.40066909790039,44.18278350830078,45.32314262390137,46.123633575439456,,,
2022-02-23,,,41.96244430541992,43.382293701171875,44.91218452453613,46.117303466796876,,,
2022-02-24,,,43.30195617675781,43.22170867919922,44.660498046875,46.0542724609375,,,
2022-02-25,,,42.90137481689453,42.95763626098633,44.267474746704096,45.9230073928833,,,
2022-02-28,,,44.923828125,43.09805450439453,44.074748992919915,45.83200035095215,,,
2022-03-01,,,46.69224548339844,43.95636978149414,44.06957664489745,45.7427433013916,,,
2022-03-02,,,48.32388687133789,45.228658294677736,44.3054759979248,45.57779445648193,,,
2022-03-03,,,48.382511138916016,46.24476928710938,44.733238983154294,45.38607482910156,,,
2022-03-04,,,49.82850646972656,47.63019561767578,45.29391593933106,45.43610191345215,,,
2022-03-07,,,50.46358871459961,48.7381477355957,45.918101119995114,45.716057777404785,,,
2022-03-08,,,51.11819076538086,49.62333679199219,46.78985328674317,46.056497955322264,,,
2022-03-09,,,50.15092849731445,49.9887451171875,47.60870170593262,46.260443115234374,,,
2022-03-10,,,50.14115905761719,50.340474700927736,48.29262199401855,46.476560020446776,,,
2022-03-11,,,48.187103271484375,50.012194061279295,48.82119483947754,46.54433479309082,,,
