Date,GRADE,GPS,DUK,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.4659321308135986,,,,,,
1983-11-22,,,1.4874907732009888,,,,,,
1983-11-23,,,1.4874907732009888,,,,,,
1983-11-24,,,1.4874907732009888,,,,,,
1983-11-25,,,1.4874907732009888,1.4831790447235107,,,,,
1983-11-28,,,1.4731189012527466,1.4846163988113403,,,,,
1983-11-29,,,1.4659321308135986,1.4803046703338623,,,,,
1983-11-30,,,1.4659321308135986,1.4759929418563842,,,,,
1983-12-01,,,1.4300025701522827,1.464495301246643,,,,,
1983-12-02,,,1.4300025701522827,1.452997660636902,1.4680883526802062,,,,
1983-12-05,,,1.4300025701522827,1.444374394416809,1.4644953966140748,,,,
1983-12-06,,,1.4443747997283936,1.440062928199768,1.4601837992668152,,,,
1983-12-07,,,1.4587459564208984,1.438625693321228,1.457309317588806,,,,
1983-12-08,,,1.4515600204467771,1.442937183380127,1.453716242313385,,,,
1983-12-09,,,1.4443747997283936,1.4458116292953491,1.4494046449661255,,,,
1983-12-12,,,1.4515600204467771,1.450123119354248,1.4472487568855286,,,,
1983-12-13,,,1.4515600204467771,1.4515601634979247,1.4458115458488465,,,,
1983-12-14,,,1.4515600204467771,1.4501229763031005,1.4443743348121643,,,,
1983-12-15,,,1.4443747997283936,1.4486859321594237,1.4458115577697754,,,,
1983-12-16,,,1.437188744544983,1.4472487211227416,1.4465301752090454,1.457309263944626,,,
1983-12-19,,,1.437188744544983,1.4443744659423827,1.4472487926483155,1.4558720946311952,,,
1983-12-20,,,1.4515600204467771,1.4443744659423827,1.4479673147201537,1.4540755569934845,,,
1983-12-21,,,1.4515600204467771,1.4443744659423827,1.4472487211227416,1.452279019355774,,,
1983-12-22,,,1.4515600204467771,1.4458115100860593,1.4472487211227416,1.4504824817180633,,,
1983-12-23,,,1.4300025701522827,1.4443742752075193,1.4458114981651304,1.447608071565628,,,
1983-12-26,,,1.4300025701522827,1.4429370403289794,1.443655753135681,1.4454522550106048,,,
1983-12-27,,,1.437188744544983,1.4400627851486205,1.4422186255455016,1.444015085697174,,,
1983-12-28,,,1.4443747997283936,1.438625741004944,1.4415001034736634,1.4429372191429137,,,
1983-12-29,,,1.4515600204467771,1.438625741004944,1.4422186255455016,1.4440150916576386,,,
1983-12-30,,,1.4443747997283936,1.441500186920166,1.4429372310638429,1.444733703136444,,,
1984-01-02,,,1.4443747997283936,1.4443746328353881,1.4436558365821839,1.4454523146152496,,,
1984-01-03,,,1.437188744544983,1.4443746328353881,1.4422187089920044,1.4450930118560792,,,
1984-01-04,,,1.4587459564208984,1.4472488641738892,1.4429373025894165,1.4450930118560792,,,
1984-01-05,,,1.4587459564208984,1.4486860513687134,1.4436558961868287,1.4454523086547852,,,
1984-01-06,,,1.4731189012527466,1.454434871673584,1.447967529296875,1.4468895137310027,,,
1984-01-09,,,1.4731189012527466,1.4601836919784545,1.4522791624069213,1.4479674577713013,,,
1984-01-10,,,1.4803045988082886,1.4688068628311157,1.456590747833252,1.4494046866893768,,,
1984-01-11,,,1.4731189012527466,1.4716814517974854,1.4594651579856872,1.4504826307296752,,,
1984-01-12,,,1.4874907732009888,1.4774304151535034,1.4630582332611084,1.452638429403305,,,
1984-01-13,,,1.4874907732009888,1.4803047895431518,1.467369830608368,1.4551535308361054,,,
1984-01-16,,,1.437188744544983,1.4731187582015992,1.4666512250900268,1.4551535308361054,,,
1984-01-17,,,1.4443747997283936,1.46593279838562,1.467369830608368,1.4547942698001861,,,
1984-01-18,,,1.4515600204467771,1.4616210222244264,1.466651237010956,1.454794269800186,,,
1984-01-19,,,1.437188744544983,1.451560616493225,1.4644955158233643,1.4540757060050962,,,
1984-01-20,,,1.437188744544983,1.4415002107620238,1.460902500152588,1.4544350147247314,,,
1984-01-23,,,1.4300025701522827,1.440062975883484,1.4565908670425416,1.4544350147247314,,,
1984-01-24,,,1.422816276550293,1.4357512712478637,1.450842034816742,1.4537163913249969,,,
1984-01-25,,,1.3940728902816772,1.4242538452148437,1.442937433719635,1.451201295852661,,,
1984-01-26,,,1.4084444046020508,1.4185049772262572,1.4350327968597412,1.449045515060425,,,
1984-01-27,,,1.4012587070465088,1.4113189697265625,1.4264095902442933,1.4468897104263305,1.4502670359611511,,
1984-01-30,,,1.422816276550293,1.4098817110061646,1.4249723434448243,1.4458117842674256,1.449404718875885,,
1984-01-31,,,1.4300025701522827,1.4113189697265625,1.423535120487213,1.4454524755477904,1.4482549548149108,,
1984-02-01,,,1.4443747997283936,1.4213793516159057,1.4228165984153747,1.4447339177131653,1.447392635345459,,
1984-02-02,,,1.437188744544983,1.427128219604492,1.4228165984153747,1.4436560571193695,1.4463865947723389,,
1984-02-03,,,1.4515600204467771,1.437188482284546,1.424253726005554,1.4425781130790711,1.4456679797172547,,
1984-02-06,,,1.4443747997283936,1.441500186920166,1.4256909489631653,1.4411409080028534,1.4450930976867675,,
1984-02-07,,,1.4443747997283936,1.4443746328353881,1.4278468012809753,1.4393444180488586,1.4446619510650636,,
1984-02-08,,,1.4587459564208984,1.4472488641738892,1.4343141078948975,1.4386257708072663,1.4445182275772095,,
1984-02-09,,,1.422816276550293,1.4443743705749512,1.4357512950897218,1.4353920459747314,1.4443745017051697,,
1984-02-10,,,1.3986707925796509,1.4337965250015259,1.435492503643036,1.4309510469436646,1.443747866153717,,
1984-02-13,,,1.3618643283843994,1.417294430732727,1.4293973088264464,1.4271848261356355,1.4423851013183593,,
