Date,GRADE,GPS,BRK-B,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1996-05-09,,,23.200000762939453,,,,,,
1996-05-10,,,24.0,,,,,,
1996-05-13,,,23.899999618530277,,,,,,
1996-05-14,,,23.600000381469727,,,,,,
1996-05-15,,,23.200000762939453,23.58000030517578,,,,,
1996-05-16,,,22.600000381469727,23.460000228881835,,,,,
1996-05-17,,,22.799999237060547,23.220000076293946,,,,,
1996-05-20,,,22.5,22.940000152587892,,,,,
1996-05-21,,,22.600000381469727,22.74000015258789,,,,,
1996-05-22,,,22.0,22.5,23.04000015258789,,,,
1996-05-23,,,22.100000381469727,22.4,22.93000011444092,,,,
1996-05-24,,,21.600000381469727,22.160000228881835,22.690000152587892,,,,
1996-05-27,,,21.600000381469727,21.980000305175782,22.460000228881835,,,,
1996-05-28,,,21.200000762939453,21.700000381469728,22.22000026702881,,,,
1996-05-29,,,20.799999237060547,21.460000228881835,21.98000011444092,,,,
1996-05-30,,,20.5,21.14000015258789,21.770000076293947,,,,
1996-05-31,,,20.399999618530277,20.9,21.530000114440917,,,,
1996-06-03,,,20.100000381469727,20.6,21.29000015258789,,,,
1996-06-04,,,21.399999618530277,20.639999771118166,21.170000076293945,,,,
1996-06-05,,,21.86000061035156,20.852000045776368,21.1560001373291,22.098000144958498,,,
1996-06-06,,,21.700000762939453,21.092000198364257,21.116000175476074,22.023000144958495,,,
1996-06-07,,,21.600000381469727,21.33200035095215,21.116000175476074,21.903000164031983,,,
1996-06-10,,,21.200000762939453,21.552000427246092,21.076000213623047,21.768000221252443,,,
1996-06-11,,,21.399999618530277,21.552000427246092,21.096000099182127,21.658000183105468,,,
1996-06-12,,,22.0,21.58000030517578,21.216000175476076,21.598000144958498,,,
1996-06-13,,,22.059999465942383,21.65200004577637,21.37200012207031,21.57100009918213,,,
1996-06-14,,,22.0,21.731999969482423,21.532000160217287,21.5310001373291,,,
1996-06-17,,,21.81999969482422,21.855999755859376,21.704000091552736,21.49700012207031,,,
1996-06-18,,,21.65999984741211,21.907999801635743,21.73000011444092,21.450000095367432,,,
1996-06-19,,,21.299999237060547,21.76799964904785,21.673999977111816,21.41500005722046,,,
1996-06-20,,,20.700000762939453,21.495999908447267,21.573999977111818,21.345000076293946,,,
1996-06-21,,,20.700000762939453,21.236000061035156,21.48400001525879,21.30000009536743,,,
1996-06-24,,,20.600000381469727,20.99200019836426,21.423999977111816,21.250000095367433,,,
1996-06-25,,,20.399999618530277,20.74000015258789,21.323999977111818,21.210000038146973,,,
1996-06-26,,,20.399999618530277,20.560000228881837,21.163999938964846,21.19000005722046,,,
1996-06-27,,,20.200000762939453,20.460000228881835,20.978000068664553,21.17500009536743,,,
1996-06-28,,,20.65999984741211,20.452000045776366,20.844000053405765,21.188000106811522,,,
1996-07-01,,,21.5,20.631999969482422,20.812000083923344,21.258000087738036,,,
1996-07-02,,,21.700000762939453,20.892000198364258,20.816000175476077,21.273000144958495,,,
1996-07-03,,,21.299999237060547,21.072000122070314,20.816000175476077,21.245000076293945,,,
1996-07-04,,,21.299999237060547,21.29199981689453,20.876000022888185,21.225,,,
1996-07-05,,,20.700000762939453,21.3,20.876000022888185,21.180000019073486,,,
1996-07-08,,,20.959999084472656,21.19199981689453,20.91199989318848,21.167999935150146,,,
1996-07-09,,,21.200000762939453,21.091999816894532,20.992000007629393,21.157999992370605,,,
1996-07-10,,,20.979999542236328,21.027999877929688,21.05,21.106999969482423,,,
1996-07-11,,,20.799999237060547,20.927999877929686,21.10999984741211,21.04399995803833,,,
1996-07-12,,,20.84000015258789,20.955999755859374,21.12799987792969,20.985999965667723,,,
1996-07-15,,,20.65999984741211,20.895999908447266,21.043999862670898,20.92799997329712,,,
1996-07-16,,,20.700000762939453,20.795999908447264,20.9439998626709,20.880000019073485,,,
1996-07-17,,,21.100000381469727,20.820000076293944,20.923999977111816,20.870000076293945,21.52200008392334,,
1996-07-18,,,21.200000762939453,20.900000381469727,20.91400012969971,20.895000076293947,21.48200008392334,,
1996-07-19,,,21.100000381469727,20.952000427246094,20.954000091552736,20.91500005722046,21.424000091552735,,
1996-07-22,,,20.84000015258789,20.98800048828125,20.94200019836426,20.927000045776367,21.362800102233887,,
1996-07-23,,,20.399999618530277,20.928000259399415,20.86200008392334,20.927000045776367,21.2988000869751,,
1996-07-24,,,20.5,20.80800018310547,20.814000129699707,20.932000064849852,21.24480007171631,,
1996-07-25,,,20.5,20.66800003051758,20.784000205993653,20.94700002670288,21.202800064086915,,
1996-07-26,,,20.399999618530277,20.52799987792969,20.74000015258789,20.93400001525879,21.15480007171631,,
1996-07-29,,,20.5,20.459999847412114,20.72400016784668,20.88400001525879,21.11480007171631,,
1996-07-30,,,20.540000915527344,20.488000106811523,20.70800018310547,20.826000022888184,21.073600082397462,,
1996-07-31,,,20.520000457763672,20.49200019836426,20.650000190734865,20.78700008392334,21.044000091552736,,
1996-08-01,,,20.540000915527344,20.500000381469725,20.584000205993654,20.74900016784668,21.012800102233886,,
1996-08-02,,,20.959999084472656,20.612000274658204,20.570000076293944,20.76200008392334,21.000000076293944,,
1996-08-05,,,20.799999237060547,20.672000122070312,20.56599998474121,20.754000091552733,20.98400005340576,,
1996-08-06,,,20.799999237060547,20.723999786376954,20.60599994659424,20.73400001525879,20.976000022888183,,
1996-08-07,,,20.84000015258789,20.7879997253418,20.63999996185303,20.727000045776368,20.97680004119873,,
1996-08-08,,,20.8799991607666,20.855999374389647,20.677999877929686,20.73100004196167,20.98440002441406,,
