Date,GRADE,GPS,PRU,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2001-12-13,,,14.967119216918944,,,,,,
2001-12-14,,,15.16123867034912,,,,,,
2001-12-17,,,15.043739318847656,,,,,,
2001-12-18,,,15.299160957336426,,,,,,
2001-12-19,,,15.401317596435549,15.17451515197754,,,,,
2001-12-20,,,15.411542892456056,15.263399887084962,,,,,
2001-12-21,,,15.83042049407959,15.397236251831055,,,,,
2001-12-24,,,16.065393447875977,15.60156707763672,,,,,
2001-12-25,,,16.065393447875977,15.75481357574463,,,,,
2001-12-26,,,16.448511123657227,15.964252281188966,15.569383716583252,,,,
2001-12-27,,,16.78053855895996,16.238051414489746,15.750725650787354,,,,
2001-12-28,,,16.82651710510254,16.437270736694337,15.917253494262695,,,,
2001-12-31,,,16.954227447509766,16.615037536621095,16.108302307128906,,,,
2002-01-01,,,16.954227447509766,16.792804336547853,16.27380895614624,,,,
2002-01-02,,,15.988764762878418,16.70085506439209,16.332553672790528,,,,
2002-01-03,,,15.963226318359377,16.537392616271973,16.38772201538086,,,,
2002-01-04,,,16.320802688598633,16.43624973297119,16.436760234832764,,,,
2002-01-07,,,16.320802688598633,16.309564781188964,16.462301158905028,,,,
2002-01-08,,,16.233964920043945,16.1655122756958,16.479158306121825,,,,
2002-01-09,,,15.988764762878418,16.1655122756958,16.433183670043945,16.0012836933136,,,
2002-01-10,,,15.840624809265137,16.140991973876954,16.33919229507446,16.044958972930907,,,
2002-01-11,,,15.784442901611328,16.033720016479492,16.234984874725342,16.07611918449402,,,
2002-01-14,,,15.350239753723145,15.839607429504394,16.07458610534668,16.091444206237792,,,
2002-01-15,,,15.723138809204102,15.737442207336425,15.951477241516113,16.112643098831178,,,
2002-01-16,,,15.672059059143066,15.674101066589355,15.919806671142577,16.126180171966553,,,
2002-01-17,,,15.590324401855469,15.624040985107422,15.882516479492187,16.135119247436524,,,
2002-01-18,,,15.452402114868164,15.55763282775879,15.79567642211914,16.116218328475952,,,
2002-01-21,,,15.452402114868164,15.578065299987793,15.708836364746094,16.085568761825563,,,
2002-01-22,,,15.963226318359377,15.626082801818848,15.681762504577637,16.080460405349733,,,
