Date,GRADE,GPS,AEE,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1998-01-02,,,12.195050239562988,,,,,,
1998-01-05,,,12.10604476928711,,,,,,
1998-01-06,,,11.928010940551758,,,,,,
1998-01-07,,,11.82119083404541,,,,,,
1998-01-08,,,11.678766250610352,11.945812606811524,,,,,
1998-01-09,,,11.785590171813965,11.863920593261719,,,,,
1998-01-12,,,11.892404556274414,11.82119255065918,,,,,
1998-01-13,,,11.803384780883787,11.796267318725587,,,,,
1998-01-14,,,11.749977111816406,11.782024574279784,,,,,
1998-01-15,,,11.48293113708496,11.742857551574707,11.844335079193115,,,,
1998-01-16,,,11.536340713500977,11.693007659912109,11.778464126586915,,,,
1998-01-19,,,11.536340713500977,11.621794891357421,11.7214937210083,,,,
1998-01-20,,,10.55717945098877,11.372553825378418,11.584410572052002,,,,
1998-01-21,,,10.485966682434082,11.119751739501954,11.45088815689087,,,,
1998-01-22,,,10.361348152160645,10.89543514251709,11.319146347045898,,,,
1998-01-23,,,10.25452709197998,10.63907241821289,11.1660400390625,,,,
1998-01-26,,,10.30793571472168,10.393391418457032,11.007593154907227,,,,
1998-01-27,,,10.32573413848877,10.34710235595703,10.859828090667724,,,,
1998-01-28,,,10.396952629089355,10.329299545288086,10.724525642395019,,,,
1998-01-29,,,10.468162536621094,10.350662422180175,10.623048782348633,11.233691930770874,,,
1998-01-30,,,10.432555198669434,10.386268043518067,10.512670230865478,11.145567178726196,,,
1998-02-02,,,10.450360298156738,10.414752960205078,10.404072189331055,11.062782955169677,,,
1998-02-03,,,10.432555198669434,10.436117172241211,10.39160976409912,10.988010168075562,,,
1998-02-04,,,10.396952629089355,10.436117172241211,10.38270835876465,10.91679825782776,,,
1998-02-05,,,10.521574020385742,10.44679946899414,10.398730945587157,10.858938646316528,,,
1998-02-06,,,10.699604988098145,10.500209426879882,10.443238735198975,10.804639387130738,,,
1998-02-09,,,10.788616180419922,10.56786060333252,10.491306781768799,10.749449968338013,,,
1998-02-10,,,10.80641746520996,10.642633056640623,10.539375114440919,10.69960160255432,,,
1998-02-11,,,10.753006935119627,10.71384391784668,10.574980545043946,10.649753093719482,,,
1998-02-12,,,10.770819664001465,10.763693046569824,10.605246257781982,10.614147520065307,,,
1998-02-13,,,10.68179988861084,10.760132026672363,10.630170726776123,10.571420478820801,,,
1998-02-16,,,10.68179988861084,10.738768768310546,10.653314685821533,10.528693437576294,,,
1998-02-17,,,10.82422161102295,10.742329597473145,10.692481327056885,10.542045545578002,,,
1998-02-18,,,10.82422161102295,10.75657253265381,10.735208225250243,10.558958292007446,,,
1998-02-19,,,10.87763214111328,10.777935028076172,10.770814037322996,10.584772491455078,,,
1998-02-20,,,10.91323947906494,10.824222946166993,10.792177486419677,10.617708110809327,,,
1998-02-23,,,11.002254486083984,10.88831386566162,10.813541316986083,10.65242404937744,,,
1998-02-24,,,10.966647148132324,10.916798973083496,10.82956428527832,10.68446969985962,,,
1998-02-25,,,10.931037902832031,10.938162231445313,10.84736738204956,10.711173963546752,,,
1998-02-26,,,10.87763214111328,10.938162231445311,10.858048629760741,10.731647443771362,,,
1998-02-27,,,10.948846817016602,10.945283699035645,10.884753322601318,10.75746202468872,,,
1998-03-02,,,10.948846817016602,10.934602165222168,10.911458015441895,10.782386350631715,,,
1998-03-03,,,10.948846817016602,10.931042098999024,10.92392053604126,10.808200931549072,,,
1998-03-04,,,10.931037902832031,10.931042098999024,10.934602165222168,10.834905195236207,,,
1998-03-05,,,10.91323947906494,10.938163566589356,10.938162899017334,10.854488468170166,,,
1998-03-06,,,11.042853355407717,10.956964874267578,10.951124286651611,10.871650886535644,,,
1998-03-09,,,10.952340126037598,10.957663536071777,10.946132850646972,10.879837083816529,,,
1998-03-10,,,11.042853355407717,10.97646484375,10.953753471374512,10.891658878326416,,,
1998-03-11,,,11.22388744354248,11.03503475189209,10.983038425445557,10.91520290374756,,,
