Date,GRADE,GPS,EQIX,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2000-08-11,,,320.7889099121094,,,,,,
2000-08-14,,,293.292724609375,,,,,,
2000-08-15,,,296.3478698730469,,,,,,
2000-08-16,,,302.45806884765625,,,,,,
2000-08-17,,,293.292724609375,301.2360595703125,,,,,
2000-08-18,,,349.8127136230469,307.0408203125,,,,,
2000-08-21,,,371.1985778808594,322.6219909667969,,,,,
2000-08-22,,,329.95428466796875,329.34327392578126,,,,,
2000-08-23,,,317.7337646484375,332.3984130859375,,,,,
2000-08-24,,,294.8202819824219,332.70392456054685,316.96999206542966,,,,
2000-08-25,,,314.6785888671875,325.677099609375,316.3589599609375,,,,
2000-08-28,,,320.7889099121094,315.595166015625,319.10857849121095,,,,
2000-08-29,,,326.8992004394531,314.98414916992186,322.16371154785156,,,,
2000-08-30,,,346.7575378417969,320.7889038085938,326.5936584472656,,,,
2000-08-31,,,395.6395568847656,340.9527587890625,336.8283416748047,,,,
2000-09-01,,,384.9466552734375,355.0063720703125,340.34173583984375,,,,
2000-09-04,,,384.9466552734375,367.8379211425781,341.71654357910154,,,,
2000-09-05,,,380.3639831542969,378.5308776855469,346.75751342773435,,,,
2000-09-06,,,378.83636474609375,384.94664306640624,352.8677734375,,,,
2000-09-07,,,351.3402404785156,376.08677978515624,358.5197692871094,337.74488067626953,,,
2000-09-08,,,342.1747131347656,367.5323913574219,361.2693817138672,338.81417083740234,,,
2000-09-11,,,339.1196594238281,358.3669921875,363.1024566650391,341.105517578125,,,
2000-09-12,,,317.7337646484375,345.8409484863281,362.1859130859375,342.17481231689453,,,
2000-09-13,,,305.51318359375,331.1763122558594,358.0614776611328,342.3275680541992,,,
2000-09-14,,,310.09588623046875,322.92744140625,349.5071105957031,343.16772613525393,,,
2000-09-15,,,307.040771484375,315.90065307617186,341.7165222167969,341.0291290283203,,,
2000-09-18,,,294.8202819824219,307.0407775878906,332.7038848876953,337.21021423339846,,,
2000-09-19,,,274.9619140625,298.4864074707031,322.16367797851564,334.460595703125,,,
2000-09-20,,,253.5759735107422,288.0989654541016,309.6376388549805,331.25270614624026,,,
2000-09-21,,,259.686279296875,278.0170440673828,300.4722427368164,329.4960060119629,,,
2000-09-22,,,258.1585998535156,268.24060974121096,292.0706314086914,326.6700065612793,,,
2000-09-25,,,230.66249084472656,255.40905151367187,281.22491455078125,322.16368560791017,,,
