Date,GRADE,GPS,NEM,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,7.646671295166016,,,,,,
1983-11-22,,,7.742255687713623,,,,,,
1983-11-23,,,7.7613630294799805,,,,,,
1983-11-24,,,7.7613630294799805,,,,,,
1983-11-25,,,7.7996039390563965,7.742251396179199,,,,,
1983-11-28,,,8.009889602661133,7.814895057678223,,,,,
1983-11-29,,,8.10547161102295,7.887538242340088,,,,,
1983-11-30,,,8.315750122070312,7.9984156608581545,,,,,
1983-12-01,,,8.334874153137207,8.113117885589599,,,,,
1983-12-02,,,8.258408546447754,8.204878807067871,7.973565101623535,,,,
1983-12-05,,,8.373112678527832,8.277523422241211,8.046209239959717,,,,
1983-12-06,,,8.2775239944458,8.311933898925782,8.099736070632934,,,,
1983-12-07,,,8.315750122070312,8.311933898925782,8.155174779891968,,,,
1983-12-08,,,8.258408546447754,8.296640777587891,8.204879331588746,,,,
1983-12-09,,,8.06723690032959,8.258406448364259,8.231642627716065,,,,
1983-12-12,,,7.971653938293457,8.178114700317384,8.227819061279297,,,,
1983-12-13,,,7.990774631500244,8.120764827728271,8.216349363327026,,,,
1983-12-14,,,8.06723690032959,8.071062183380127,8.191498041152954,,,,
1983-12-15,,,7.895187854766846,7.9984180450439455,8.147529411315919,,,,
1983-12-16,,,7.914308547973633,7.967832374572754,8.113119411468507,8.04334225654602,,,
1983-12-19,,,7.837839126586914,7.941069412231445,8.059592056274415,8.052900648117065,,,
1983-12-20,,,7.780491352081299,7.899012756347656,8.009888792037964,8.05481243133545,,,
1983-12-21,,,7.704020023345947,7.826369380950927,7.948715782165527,8.051945281028747,,,
1983-12-22,,,7.837839126586914,7.814899635314942,7.9066588401794435,8.055769085884094,,,
1983-12-23,,,7.7613630294799805,7.784310531616211,7.876071453094482,8.053857040405273,,,
1983-12-26,,,7.7613630294799805,7.769015312194824,7.855042362213135,8.041430711746216,,,
1983-12-27,,,7.7613630294799805,7.7651896476745605,7.832101202011108,8.024225282669068,,,
1983-12-28,,,7.7613630294799805,7.776658248901367,7.801513814926148,7.996505928039551,,,
1983-12-29,,,7.7613630294799805,7.7613630294799805,7.788131332397461,7.96783037185669,,,
1983-12-30,,,7.7613630294799805,7.7613630294799805,7.772836780548095,7.942978096008301,,,
1984-01-02,,,7.7613630294799805,7.7613630294799805,7.765189170837402,7.912390613555909,,,
1984-01-03,,,7.72313928604126,7.753718280792237,7.759453964233399,7.884671378135681,,,
1984-01-04,,,7.684901237487793,7.738425922393799,7.757542085647583,7.8531289339065555,,,
1984-01-05,,,7.684901237487793,7.723133563995361,7.742248296737671,7.824453568458557,,,
1984-01-06,,,7.417271137237549,7.654315185546875,7.707839107513427,7.791955280303955,,,
1984-01-09,,,7.379039287567139,7.577850437164306,7.669606733322143,7.762324547767639,,,
1984-01-10,,,7.302570343017578,7.493736648559571,7.623727464675904,7.727914333343506,,,
1984-01-11,,,7.302570343017578,7.417270469665527,7.577848196029663,7.6896810054779055,,,
1984-01-12,,,7.302570343017578,7.3408042907714846,7.5319689273834225,7.6600501298904415,,,
1984-01-13,,,7.264335632324219,7.310217189788818,7.482266187667847,7.627551484107971,,,
1984-01-16,,,7.245222091674805,7.283453750610351,7.430652093887329,7.597920632362365,,,
1984-01-17,,,7.264335632324219,7.27580680847168,7.384771728515625,7.5721128463745115,,,
1984-01-18,,,7.245222091674805,7.264337158203125,7.340803813934326,7.549172949790955,,,
