Date,GRADE,GPS,AXP,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,2.061373233795166,,,,,,
1983-11-22,,,2.0176687240600586,,,,,,
1983-11-23,,,2.010384559631348,,,,,,
1983-11-24,,,2.010384559631348,,,,,,
1983-11-25,,,2.0176687240600586,2.0234959602355955,,,,,
1983-11-28,,,2.0031001567840576,2.011841344833374,,,,,
1983-11-29,,,1.9958155155181885,2.007470703125,,,,,
1983-11-30,,,2.0031001567840576,2.006013822555542,,,,,
1983-12-01,,,2.010384559631348,2.006013822555542,,,,,
1983-12-02,,,1.9229768514633176,1.9870754480361938,2.0052857041358947,,,,
1983-12-05,,,1.9812486171722408,1.9827051401138305,1.9972732424736024,,,,
1983-12-06,,,1.9521114826202397,1.9739643335342407,1.9907175183296204,,,,
1983-12-07,,,1.966679573059082,1.9666802167892456,1.9863470196723938,,,,
1983-12-08,,,1.9011253118515012,1.9448283672332765,1.975421094894409,,,,
1983-12-09,,,1.879273533821106,1.936087703704834,1.961581575870514,,,,
1983-12-12,,,1.682603359222412,1.876358652114868,1.9295318961143493,,,,
1983-12-13,,,1.6607518196105957,1.8180867195129395,1.8960255265235901,,,,
1983-12-14,,,1.726308822631836,1.7700125694274902,1.868346393108368,,,,
1983-12-15,,,1.7627284526824951,1.7423331975936889,1.8435807824134827,,,,
1983-12-16,,,1.791863203048706,1.724851131439209,1.8304694175720215,1.9178775608539582,,,
1983-12-19,,,1.821000337600708,1.7525305271148681,1.8144445896148682,1.9058589160442352,,,
1983-12-20,,,1.821000337600708,1.7845802307128906,1.801333475112915,1.8960254967212677,,,
1983-12-21,,,1.8428517580032349,1.8078888177871704,1.7889506936073303,1.8876488566398621,,,
1983-12-22,,,1.886556386947632,1.8326544046401978,1.7874938011169434,1.8814574480056763,,,
1983-12-23,,,1.9011253118515012,1.854506826400757,1.789678978919983,1.8756302773952485,,,
1983-12-26,,,1.9011253118515012,1.8705318212509154,1.811531174182892,1.8705315351486207,,,
1983-12-27,,,1.9521114826202397,1.8967540502548217,1.8406671404838562,1.8683463335037231,,,
1983-12-28,,,1.9229768514633176,1.9127790689468385,1.8603339433670043,1.8643401682376861,,,
1983-12-29,,,1.9302589893341064,1.9215195894241333,1.8770869970321655,1.860333889722824,,,
