Date,GRADE,GPS,EXPE,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2005-07-21,,,31.64083480834961,,,,,,
2005-07-22,,,32.74734115600586,,,,,,
2005-07-25,,,31.93062973022461,,,,,,
2005-07-26,,,31.614482879638672,,,,,,
2005-07-27,,,31.706684112548828,31.927994537353516,,,,,
2005-07-28,,,31.68034172058105,31.935895919799805,,,,,
2005-07-29,,,32.062347412109375,31.798897171020506,,,,,
2005-08-01,,,32.075531005859375,31.82787742614746,,,,,
2005-08-02,,,31.68034172058105,31.841049194335938,,,,,
2005-08-03,,,31.416902542114254,31.783092880249022,31.85554370880127,,,,
2005-08-04,,,31.08758354187012,31.664541244506836,31.80021858215332,,,,
2005-08-05,,,30.78460693359375,31.40899314880371,31.603945159912108,,,,
2005-08-08,,,29.638580322265625,30.92160301208496,31.374740219116212,,,,
2005-08-09,,,31.416902542114254,30.868915176391603,31.35498218536377,,,,
2005-08-10,,,31.21930694580078,30.829396057128907,31.306244468688966,,,,
2005-08-11,,,30.1259708404541,30.637073516845703,31.15080738067627,,,,
2005-08-12,,,29.375120162963867,30.355176162719726,30.88208465576172,,,,
2005-08-15,,,28.24227523803711,30.075915145874024,30.498759078979493,,,,
2005-08-16,,,28.25543785095215,29.443622207641603,30.156268692016603,,,,
2005-08-17,,,28.57159423828125,28.914079666137695,29.8717378616333,30.863640785217285,,,
2005-08-18,,,28.65063095092773,28.619011688232423,29.62804260253906,30.71413059234619,,,
2005-08-19,,,28.51889419555664,28.447766494750976,29.40147132873535,30.50270824432373,,,
2005-08-22,,,28.453035354614254,28.489918518066407,29.282916831970216,30.328828525543212,,,
2005-08-23,,,28.25543785095215,28.489918518066407,28.966770362854003,30.160876274108887,,,
2005-08-24,,,28.453035354614254,28.466206741333004,28.690143203735353,29.99819383621216,,,
2005-08-25,,,29.19070625305176,28.574221801757812,28.596616744995117,29.873712062835693,,,
2005-08-26,,,29.124849319458008,28.695412826538085,28.57158966064453,29.726837158203125,,,
2005-08-29,,,29.42781639099121,28.890369033813478,28.69014377593994,29.594451427459717,,,
2005-08-30,,,29.506855010986328,29.140652465820313,28.81528549194336,29.48577709197998,,,
2005-08-31,,,29.32243537902832,29.314532470703124,28.890369606018066,29.381053733825684,,,
2005-09-01,,,29.26973533630371,29.330338287353516,28.952280044555664,29.290161323547363,,,
2005-09-02,,,29.46734046936035,29.398836517333983,29.047124671936036,29.224298000335693,,,
2005-09-05,,,29.46734046936035,29.406741333007812,29.148555183410643,29.21573600769043,,,
2005-09-06,,,29.098499298095703,29.325070190429688,29.232861328125,29.099815845489502,,,
2005-09-07,,,29.348787307739254,29.330340576171874,29.3224365234375,29.006289863586424,,,
2005-09-08,,,29.57271194458008,29.39093589782715,29.36063709259033,28.978626918792724,,,
2005-09-09,,,29.05898094177246,29.30926399230957,29.35405025482178,28.962819957733153,,,
2005-09-12,,,29.111665725708008,29.2381290435791,29.322435188293458,29.0062894821167,,,
2005-09-13,,,29.07215118408203,29.232859420776368,29.278964805603028,29.047125148773194,,,
2005-09-14,,,28.74283218383789,29.111668395996094,29.221004486083984,29.055687046051027,,,
2005-09-15,,,28.2027587890625,28.83767776489258,29.114306831359862,29.033293437957763,,,
2005-09-16,,,27.66267204284668,28.558415985107423,28.933839988708495,28.990482330322266,,,
2005-09-19,,,27.72853660583496,28.28179016113281,28.759959602355956,28.9542573928833,,,
2005-09-20,,,27.58364486694336,27.984088897705078,28.60847415924072,28.920667743682863,,,
2005-09-21,,,27.201631546020508,27.675848770141602,28.39375858306885,28.858097553253174,,,
2005-09-22,,,26.67471694946289,27.37024040222168,28.10395908355713,28.73229808807373,,,
2005-09-23,,,26.45079040527344,27.12786407470703,27.843140029907225,28.598595142364502,,,
