Date,GRADE,GPS,HLT,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2013-12-12,,,41.84137344360352,,,,,,
2013-12-13,,,43.0090446472168,,,,,,
2013-12-16,,,41.88029861450195,,,,,,
2013-12-17,,,42.444671630859375,,,,,,
2013-12-18,,,42.48360061645508,42.33179779052735,,,,,
2013-12-19,,,43.35934829711914,42.63539276123047,,,,,
2013-12-20,,,42.67820358276367,42.56922454833985,,,,,
2013-12-23,,,41.95813751220703,42.58479232788086,,,,,
2013-12-24,,,41.86083221435547,42.46802444458008,,,,,
2013-12-25,,,41.86083221435547,42.34347076416016,42.33763427734375,,,,
2013-12-26,,,42.2306022644043,42.11772155761719,42.376557159423825,,,,
2013-12-27,,,42.035980224609375,41.98927688598633,42.27925071716309,,,,
2013-12-30,,,42.600364685058594,42.11772232055664,42.35125732421875,,,,
2013-12-31,,,43.300968170166016,42.40574951171875,42.43688697814942,,,,
2014-01-01,,,43.300968170166016,42.69377670288086,42.518623733520506,,,,
2014-01-02,,,42.5419807434082,42.75605239868164,42.43688697814942,,,,
2014-01-03,,,42.8338737487793,42.91563110351562,42.452453994750975,,,,
2014-01-06,,,42.814430236816406,42.95844421386719,42.53808326721192,,,,
2014-01-07,,,42.814430236816406,42.86113662719727,42.63344306945801,,,,
2014-01-08,,,42.87279510498047,42.77550201416015,42.73463935852051,42.53613681793213,,,
2014-01-09,,,42.561431884765625,42.77939224243164,42.76772232055664,42.572139739990234,,,
2014-01-10,,,42.21113586425781,42.65484466552734,42.785237884521486,42.53224430084229,,,
2014-01-13,,,42.26951599121094,42.54586181640625,42.75215301513672,42.55170516967773,,,
2014-01-14,,,43.0090446472168,42.58478469848633,42.7229606628418,42.57992382049561,,,
2014-01-15,,,42.639278411865234,42.538081359863284,42.65679168701172,42.587707710266116,,,
2014-01-16,,,42.73659133911133,42.57311325073242,42.67625274658203,42.55656986236572,,,
2014-01-17,,,43.300968170166016,42.791079711914065,42.7229621887207,42.58770809173584,,,
2014-01-20,,,43.300968170166016,42.99737014770508,42.771615982055664,42.65484962463379,,,
2014-01-21,,,42.65874099731445,42.92730941772461,42.756047058105466,42.69474506378174,,,
2014-01-22,,,43.70963668823242,43.141381072998044,42.839731216430664,42.78718528747559,,,
2014-01-23,,,44.09886169433594,43.41383514404297,42.9934741973877,42.88059825897217,,,
2014-01-24,,,43.69018173217773,43.491677856445314,43.141378784179686,42.963308334350586,,,
2014-01-27,,,42.79497146606445,43.390478515625,43.19392433166504,42.97303867340088,,,
2014-01-28,,,42.61981964111328,43.382694244384766,43.15500183105469,42.938981246948245,,,
2014-01-29,,,42.15274429321289,43.07131576538086,43.10634841918945,42.88157005310059,,,
2014-01-30,,,42.15274429321289,42.68209228515625,43.04796371459961,42.86210823059082,,,
2014-01-31,,,42.13329315185547,42.370714569091795,42.931196212768555,42.82707920074463,,,
2014-02-03,,,40.7710189819336,41.96592407226562,42.678201293945314,42.724908638000485,,,
2014-02-04,,,40.92670822143555,41.62730178833008,42.50499801635742,42.63052253723144,,,
2014-02-05,,,40.47908782958984,41.29257049560547,42.18194313049317,42.510837173461915,,,
2014-02-06,,,41.25753784179688,41.113529205322266,41.897810745239255,42.44564247131348,,,
2014-02-07,,,42.13329315185547,41.113529205322266,41.742121887207034,42.44175033569336,,,
2014-02-10,,,41.66620635986328,41.2925666809082,41.629245376586915,42.41158485412598,,,
2014-02-11,,,42.21113586425781,41.549452209472655,41.58837699890137,42.37168941497803,,,
2014-02-12,,,42.600364685058594,41.973707580566405,41.633139038085936,42.369743728637694,,,
2014-02-13,,,42.71712112426758,42.26562423706055,41.68957672119141,42.36877021789551,,,
2014-02-14,,,42.814430236816406,42.401851654052734,41.7576904296875,42.34444332122803,,,
2014-02-17,,,42.814430236816406,42.63149642944336,41.962031555175784,42.320116424560545,,,
2014-02-18,,,42.347354888916016,42.658740234375,42.104096221923825,42.30454711914062,,,
2014-02-19,,,41.89976501464844,42.518620300292966,42.24616394042969,42.214053535461424,42.468022384643554,,
2014-02-20,,,41.82190704345703,42.33957748413086,42.3026008605957,42.10020580291748,42.46763305664062,,
2014-02-21,,,43.10636138916016,42.39796371459961,42.39990768432617,42.0710147857666,42.46957939147949,,
2014-02-24,,,43.320411682128906,42.49916000366211,42.565328216552736,42.097286796569826,42.49838165283203,,
2014-02-25,,,43.534481048583984,42.736585235595705,42.69766273498535,42.14301986694336,42.52017784118652,,
2014-02-26,,,43.865325927734375,43.12969741821289,42.82415885925293,42.22864894866943,42.54781234741211,,
2014-02-27,,,43.768028259277344,43.51892166137695,42.9292495727539,42.30941314697266,42.55598594665528,,
2014-02-28,,,43.51503372192383,43.60065612792969,42.99930992126465,42.37850017547608,42.572722549438474,,
2014-03-03,,,43.768028259277344,43.690179443359376,43.09466972351074,42.52835063934326,42.608920364379884,,
2014-03-04,,,43.90424346923828,43.76413192749023,43.25035858154297,42.6772274017334,42.64978858947754,,
2014-03-05,,,44.312931060791016,43.85365295410156,43.491675186157224,42.86891956329346,42.69883056640625,,
2014-03-06,,,43.74856185913086,43.84975967407227,43.68434066772461,42.99347076416016,42.729189758300784,,
2014-03-07,,,44.19616317749024,43.98598556518555,43.79332084655762,43.09661426544189,42.7723934173584,,
2014-03-10,,,43.553955078125,43.94317092895508,43.81667518615723,43.19100170135498,42.791465225219724,,
2014-03-11,,,43.028507232666016,43.76802368164063,43.76607780456543,43.23187026977539,42.78601600646973,,
2014-03-12,,,43.49557113647461,43.60455169677734,43.729102325439456,43.276630592346194,42.7899080657959,,
