Date,GRADE,GPS,KHC,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2015-07-06,,,49.32917404174805,,,,,,
2015-07-07,,,50.45826721191406,,,,,,
2015-07-08,,,50.97887802124024,,,,,,
2015-07-09,,,50.573204040527344,,,,,,
2015-07-10,,,52.27025604248047,50.72195587158203,,,,,
2015-07-13,,,53.29793548583984,51.51570816040039,,,,,
2015-07-14,,,52.736759185791016,51.97140655517578,,,,,
2015-07-15,,,51.86456680297852,52.14854431152344,,,,,
2015-07-16,,,53.24383544921875,52.68267059326172,,,,,
2015-07-17,,,53.83884048461914,52.99638748168945,51.85917167663574,,,,
2015-07-20,,,54.16335678100586,53.169471740722656,52.342589950561525,,,,
2015-07-21,,,54.23773193359375,53.4696662902832,52.720536422729495,,,,
2015-07-22,,,53.16947555541992,53.730648040771484,52.93959617614746,,,,
2015-07-23,,,52.25029373168945,53.53193969726563,53.10730514526367,,,,
2015-07-24,,,52.02561569213867,53.16929473876953,53.082841110229495,,,,
2015-07-27,,,52.68606185913086,52.873835754394534,53.021653747558595,,,,
2015-07-28,,,53.326080322265625,52.691505432128906,53.08058586120605,,,,
2015-07-29,,,53.04692459106445,52.666995239257815,53.19882164001465,,,,
2015-07-30,,,53.93205261230469,53.00334701538086,53.26764335632324,,,,
2015-07-31,,,54.10909271240234,53.42004241943359,53.29466857910156,52.576920127868654,,,
2015-08-03,,,54.72187805175781,53.827205657958984,53.35052070617676,52.84655532836914,,,
2015-08-04,,,54.3405876159668,54.03010711669922,53.36080627441406,53.04067134857178,,,
2015-08-05,,,54.79677963256836,54.380078125,53.523536682128906,53.231566429138184,,,
2015-08-06,,,54.30654144287109,54.45497589111328,53.72916145324707,53.41823329925537,,,
2015-08-07,,,53.42141342163086,54.317440032958984,53.86874122619629,53.47579116821289,,,
2015-08-10,,,53.65971374511719,54.10500717163086,53.96610641479492,53.493880081176755,,,
2015-08-11,,,53.0877799987793,53.85444564819336,53.94227638244629,53.51143112182617,,,
2015-08-12,,,52.21626281738281,53.33834228515625,53.85921020507813,53.529015922546385,,,
