Date,GRADE,GPS,ALB,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2007-04-20,53.87335291523024,A,34.086822509765625,33.985433197021486,33.75922622680664,33.25611810684204,32.66886440277099,30.732410659790037,26.459872789382935
2007-04-23,53.8827551869474,A,34.38325119018555,34.064996337890626,33.83878860473633,33.37897148132324,32.71747791290283,30.799577827453614,26.546155672073365
2007-04-24,53.376200432218326,A,31.52837181091309,33.51274070739746,33.641443824768075,33.327099895477296,32.699501037597656,30.835867652893068,26.61570813179016
2007-04-25,53.250122226008045,P,33.38483047485352,33.409779739379886,33.65080585479736,33.38248224258423,32.71756385803223,30.89126543045044,26.69235754966736
2007-04-26,53.11420644359139,P,33.018211364746094,33.280297470092776,33.581384086608885,33.4058819770813,32.73226257324219,30.941910343170164,26.769223804473878
2007-04-27,52.89351578658545,P,33.06502151489258,33.075937271118164,33.53068523406982,33.446833515167235,32.74478546142578,30.988832054138182,26.847329750061036
2007-04-30,52.61983546058131,P,33.111820220947266,32.82165107727051,33.44332370758057,33.46360387802124,32.758244323730466,31.035484313964844,26.924606065750122
2007-05-01,52.90499582811599,P,33.143009185791016,33.144578552246095,33.32865962982178,33.46477327346802,32.76625793457031,31.085087490081786,26.99321964263916
2007-05-02,52.754909635580255,P,32.8778076171875,33.04317398071289,33.22647686004639,33.444492435455324,32.75387214660645,31.13009334564209,27.059172849655152
2007-05-03,52.75068960484447,P,33.21322250366211,33.082176208496094,33.181236839294435,33.43552198410034,32.75519744873047,31.177052783966065,27.129510650634767
2007-05-04,52.704514555182264,P,33.018211364746094,33.0728141784668,33.07437572479248,33.41680097579956,32.75091087341308,31.22591381072998,27.198022470474243
2007-05-07,52.64176265859598,P,32.760799407958984,33.00261001586914,32.91213054656983,33.375459575653075,32.74139808654785,31.275157432556153,27.264318933486937
2007-05-08,52.634074509525476,P,32.760799407958984,32.926168060302736,33.035373306274415,33.33840856552124,32.76059711456299,31.322728099823,27.33082811355591
2007-05-09,52.7600147563194,P,33.22101974487305,32.99481048583984,33.018992233276364,33.33489904403687,32.7872887802124,31.3744730758667,27.39782049179077
2007-05-10,52.63426562690196,P,32.17578125,32.787322235107425,32.93474922180176,33.25806665420532,32.79315322875976,31.417749824523927,27.458426361083983
2007-05-11,52.61290399505265,P,32.50339126586914,32.68435821533203,32.87858619689941,33.20463571548462,32.80658168792725,31.465391941070557,27.51902645111084
2007-05-14,52.63629623732184,P,32.3396110534668,32.600120544433594,32.801365280151366,33.12234449386597,32.8344750213623,31.511396255493164,27.578730306625367
2007-05-15,52.48604826483383,P,32.277183532714844,32.503397369384764,32.71478271484375,33.02172117233276,32.84851448059082,31.55144639968872,27.638856887817383
2007-05-16,52.375272757742415,P,32.59699249267578,32.37859191894531,32.68670120239258,32.95658903121948,32.86770534515381,31.59232135772705,27.701182041168213
2007-05-17,52.497063210416265,P,32.77641296386719,32.49871826171875,32.64302024841309,32.91212854385376,32.88457077026367,31.63864751815796,27.764307622909545
2007-05-18,52.62354424251284,P,33.29121017456055,32.65628204345703,32.67032012939453,32.87234792709351,32.90877548217773,31.692222576141358,27.830780725479126
2007-05-21,52.75293531212302,P,33.29902267456055,32.84816436767578,32.724142456054686,32.81813650131225,32.91150550842285,31.745875759124758,27.897834405899047
2007-05-22,53.02753051449711,A,33.39263153076172,33.07125396728516,32.78732566833496,32.91134948730469,32.93880630493164,31.800465030670168,27.964118423461915
2007-05-23,53.10142861506659,A,32.94020462036133,33.139896392822266,32.75924415588379,32.88911819458008,32.95830646514892,31.849829750061033,28.0255682182312
2007-05-24,52.94157748908997,A,31.590776443481445,32.90276908874512,32.700743675231934,32.81774644851684,32.93911766052246,31.886984062194824,28.080367555618285
2007-05-25,52.72803651300219,P,31.80138397216797,32.6048038482666,32.63054294586182,32.75456457138061,32.930693740844724,31.931107425689696,28.13629729270935
2007-05-28,52.52054633930496,P,31.80138397216797,32.30527610778809,32.576720237731934,32.68904275894165,32.914469146728514,31.976631507873535,28.191453437805176
2007-05-29,52.248986712519304,P,32.074398040771484,32.04162940979004,32.556441688537596,32.63561220169068,32.90963333129883,32.023290615081784,28.249193048477174
2007-05-30,52.225697906506134,P,32.60480499267578,31.97454948425293,32.5572229385376,32.62196207046509,32.91571746826172,32.07389213562012,28.310493574142455
2007-05-31,52.275004138596834,P,31.69999122619629,31.996392440795898,32.44958076477051,32.5463005065918,32.910569763183595,32.10968757629394,28.367888927459717
2007-06-01,52.37996873043654,P,32.31618881225586,32.09935340881348,32.35207862854004,32.511199378967284,32.92180213928223,32.147832260131835,28.427378959655762
2007-06-04,52.51719329245507,P,32.53460693359375,32.245998001098634,32.27563705444336,32.49988975524902,32.93397060394287,32.18816112518311,28.4853116607666
2007-06-05,52.57973310021891,P,32.526798248291016,32.336478042602536,32.18905372619629,32.488189697265625,32.93319049835205,32.22848985671997,28.542296352386476
2007-06-06,52.46807356548758,P,32.089988708496094,32.2335147857666,32.10403213500977,32.431638145446776,32.929446601867674,32.26398359298706,28.59620741844177
2007-06-07,52.46826315042045,P,31.411378860473636,32.17579231262207,32.08609237670898,32.39341802597046,32.90666984558106,32.29483102798462,28.647092866897584
2007-06-08,52.35759777642349,P,31.35677528381348,31.983909606933594,32.04163150787353,32.336087226867676,32.88888553619385,32.32556022644043,28.697337865829468
2007-06-11,52.201090867973704,P,31.333370208740234,31.74366226196289,31.99483013153076,32.28577518463135,32.86002468109131,32.35784507751465,28.747465839385985
2007-06-12,51.96019952227696,P,30.69376373291016,31.377055358886718,31.85676670074463,32.206604194641116,32.8115075302124,32.383733863830564,28.7934095287323
2007-06-13,51.821944255567956,P,31.09653854370117,31.178365325927736,31.70594005584717,32.131581497192386,32.7677698135376,32.39509284973145,28.842624139785766
2007-06-14,51.72056042888295,P,31.049617767333984,31.106013107299805,31.640902709960937,32.04524173736572,32.72090953826904,32.40419298171997,28.8932479095459
2007-06-15,51.64798535526641,P,31.18257141113281,31.071172332763673,31.527540969848634,31.939809799194336,32.67670833587646,32.41466167449951,28.943782215118407
2007-06-18,51.42877474038588,P,30.173656463623047,30.839229583740234,31.291445922851562,31.78354148864746,32.60842891693115,32.41223991394043,28.992153463363646
2007-06-19,51.20791463394343,P,29.26641845703125,30.553760528564453,30.965407943725587,31.577230834960936,32.52372089385986,32.39942302703857,29.034828224182128
2007-06-20,50.963106261461625,B,29.12563705444336,30.15958023071289,30.668972778320313,31.38650245666504,32.44040943145752,32.38729913711548,29.07718710899353
2007-06-21,50.7656427911441,B,29.477575302124023,29.8451717376709,30.475592422485352,31.28084239959717,32.35571235656738,32.373753757476806,29.11975336074829
2007-06-22,50.65714885901766,B,29.985960006713867,29.60584945678711,30.33851089477539,31.190071201324464,32.283991355896,32.36645952224731,29.164706306457518
2007-06-25,50.66594957636581,B,29.50103759765625,29.47132568359375,30.15527763366699,31.075053882598876,32.19430339813233,32.35112560272217,29.206225662231446
2007-06-26,50.841009737874465,B,29.563617706298828,29.530765533447266,30.04226303100586,30.949514865875244,32.09978275299072,32.3313600730896,29.24704888343811
2007-06-27,51.05069367011638,B,29.97030067443848,29.69969825744629,29.92963924407959,30.81778964996338,32.021196060180664,32.31048671722412,29.288081521987916
2007-06-28,51.19589809882125,B,30.118906021118164,29.82796440124512,29.836568069458007,30.738735389709472,31.950261726379395,32.286858882904056,29.331273670196534
