Date,GRADE,GPS,VICI,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2018-01-02,,,14.131515502929688,,,,,,
2018-01-03,,,14.17369556427002,,,,,,
2018-01-04,,,14.201818466186523,,,,,,
2018-01-05,,,14.201818466186523,,,,,,
2018-01-08,,,14.201818466186523,14.182133293151855,,,,,
2018-01-09,,,14.208847999572754,14.197599792480469,,,,,
2018-01-10,,,14.06121063232422,14.175102806091308,,,,,
2018-01-11,,,14.06121063232422,14.146981239318848,,,,,
2018-01-12,,,14.054180145263672,14.117453575134277,,,,,
2018-01-15,,,14.054180145263672,14.087925910949707,14.135029602050782,,,,
2018-01-16,,,15.115800857543944,14.269316482543946,14.233458137512207,,,,
2018-01-17,,,14.961125373840332,14.449299430847168,14.312201118469238,,,,
2018-01-18,,,14.76426887512207,14.589911079406738,14.368446159362794,,,,
2018-01-19,,,14.58850383758545,14.696775817871094,14.407114696502685,,,,
2018-01-22,,,16.163358688354492,15.118611526489257,14.603268718719482,,,,
2018-01-23,,,14.76426887512207,15.048305130004882,14.658810806274413,,,,
2018-01-24,,,14.76426887512207,15.008933830261231,14.729116630554199,,,,
2018-01-25,,,14.715055465698242,14.999091148376465,14.794501113891602,,,,
2018-01-26,,,14.834576606750488,15.048305702209472,14.872540760040284,,,,
2018-01-29,,,14.834576606750488,14.782549285888672,14.950580406188966,14.542805004119874,,,
2018-01-30,,,14.79942512512207,14.789580535888671,14.918942832946778,14.576200485229492,,,
2018-01-31,,,15.467329025268556,14.930192565917968,14.969563198089599,14.64088215827942,,,
2018-02-01,,,14.686930656433104,14.924567604064942,14.961829376220702,14.665137767791748,,,
2018-02-02,,,14.771300315856934,14.91191234588623,14.980109024047852,14.693611860275269,,,
2018-02-05,,,14.490077018737791,14.843012428283691,14.812780857086182,14.708024787902833,,,
2018-02-06,,,14.41273593902588,14.765674591064453,14.777627563476562,14.718219184875489,,,
2018-02-07,,,14.595537185668944,14.591316223144531,14.76075439453125,14.744935512542725,,,
2018-02-08,,,14.06121063232422,14.466172218322754,14.695369911193847,14.744935512542725,,,
2018-02-09,,,13.997937202453612,14.31149959564209,14.61170597076416,14.742123365402222,,,
2018-02-12,,,13.765926361083984,14.166669464111328,14.50484094619751,14.727710676193237,,,
2018-02-13,,,13.85029411315918,14.054181098937988,14.40992784500122,14.664435338973998,,,
2018-02-14,,,13.815138816833496,13.898101425170898,14.244708824157716,14.607136011123657,,,
2018-02-15,,,13.955751419067385,13.87700958251953,14.171590900421142,14.566710138320923,,,
2018-02-16,,,14.054180145263672,13.888258171081542,14.099878883361816,14.539993953704833,,,
2018-02-19,,,14.054180145263672,13.94590892791748,14.056289196014404,14.434535026550293,,,
2018-02-20,,,14.06121063232422,13.988092231750489,14.021136665344239,14.3993821144104,,,
2018-02-21,,,13.82919692993164,13.990903854370117,13.944502639770509,14.35262851715088,,,
2018-02-22,,,13.94871997833252,13.989497566223145,13.933253574371339,14.314311742782593,,,
2018-02-23,,,13.934654235839844,13.965592384338379,13.92692527770996,14.269315624237061,,,
2018-02-26,,,13.85029411315918,13.92481517791748,13.93536205291748,14.220101499557495,,,
2018-02-27,,,13.681560516357422,13.84888515472412,13.918488693237304,14.164208269119262,,,
2018-02-28,,,13.744832038879396,13.832012176513672,13.911458015441895,14.078083419799805,,,
2018-03-01,,,13.702646255493164,13.7827974319458,13.886147499084473,14.028869199752808,,,
2018-03-02,,,13.639374732971191,13.72374153137207,13.844666957855225,13.972272920608521,,,
2018-03-05,,,13.688590049743652,13.691400718688964,13.808107948303222,13.932198572158814,,,
2018-03-06,,,13.787019729614258,13.712492561340332,13.780688858032226,13.900912761688232,,,
2018-03-07,,,13.787019729614258,13.720930099487305,13.776471138000488,13.860486888885498,,,
2018-03-08,,,13.56203556060791,13.692807960510255,13.737802696228027,13.835528135299683,,,
2018-03-09,,,13.779982566833496,13.720929527282715,13.722335529327392,13.824630403518677,,,
2018-03-12,,,13.632338523864746,13.709679222106933,13.70053997039795,13.817951011657716,14.245270595550537,,
2018-03-13,,,13.779982566833496,13.708271789550782,13.710382175445556,13.81443543434143,14.238239936828613,,
2018-03-14,,,13.80107593536377,13.711083030700683,13.716006565093995,13.813732290267945,14.230787544250488,,
2018-03-15,,,13.653432846069336,13.729362487792969,13.711085224151612,13.798616361618041,14.219819831848145,,
2018-03-16,,,13.653432846069336,13.704052543640136,13.712491035461426,13.778578996658325,14.208852119445801,,
2018-03-19,,,13.519850730895996,13.681554985046386,13.69561710357666,13.751862525939941,14.19521276473999,,
2018-03-20,,,13.379241943359377,13.601406860351563,13.654839324951173,13.717764091491699,14.178620643615723,,
2018-03-21,,,13.337055206298828,13.508602714538574,13.609842872619629,13.69315700531006,14.164137535095215,,
2018-03-22,,,13.217536926269531,13.421423530578613,13.575393009185792,13.65659785270691,14.147264060974122,,
2018-03-23,,,12.985525131225586,13.287841987609863,13.495947265625,13.609141397476197,14.12589096069336,,
2018-03-26,,,13.119108200073242,13.207693481445313,13.44462423324585,13.572582101821899,14.10718952178955,,
2018-03-27,,,12.992555618286133,13.130356216430664,13.365881538391113,13.538131856918335,14.064724617004394,,
2018-03-28,,,12.957096099853516,13.0543643951416,13.281483554840088,13.49874505996704,14.024644031524659,,
2018-03-29,,,12.992555618286133,13.009368133544921,13.215395832061768,13.46324052810669,13.989209766387939,,
2018-03-30,,,12.992555618286133,13.010774230957031,13.149308109283448,13.430899572372436,13.957290802001953,,
2018-04-02,,,12.971281051635742,12.981208801269531,13.094451141357421,13.395034122467042,13.893449249267578,,
