Date,GRADE,GPS,CMI,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,3.820592880249024,,,,,,
1983-11-22,,,3.844735145568848,,,,,,
1983-11-23,,,3.8024868965148926,,,,,,
1983-11-24,,,3.8024868965148926,,,,,,
1983-11-25,,,3.81455659866333,3.816971683502197,,,,,
1983-11-28,,,3.778343439102173,3.808521795272827,,,,,
1983-11-29,,,3.717985391616821,3.783171844482422,,,,,
1983-11-30,,,3.6697027683258057,3.7566150188446046,,,,,
1983-12-01,,,3.6817736625671382,3.732472372055054,,,,,
1983-12-02,,,3.717985391616821,3.713158130645752,3.765064907073975,,,,
1983-12-05,,,3.724023818969727,3.702294206619263,3.755408000946045,,,,
1983-12-06,,,3.77230715751648,3.7131585597991945,3.7481652021408083,,,,
1983-12-07,,,3.850772857666016,3.7493725776672364,3.7529937982559205,,,,
1983-12-08,,,3.8869879245758057,3.7904154300689696,3.7614439010620115,,,,
1983-12-09,,,3.874913454055786,3.821801042556763,3.767479586601257,,,,
1983-12-12,,,3.8568077087402335,3.848357820510864,3.7753260135650635,,,,
1983-12-13,,,3.81455659866333,3.8568077087402344,3.7849831342697144,,,,
1983-12-14,,,3.77230715751648,3.841114568710327,3.795243573188782,,,,
1983-12-15,,,3.742130279541016,3.8121430397033693,3.8012792348861693,,,,
1983-12-16,,,3.742130279541016,3.785586404800415,3.803693723678589,3.784379315376282,,,
1983-12-19,,,3.742130279541016,3.7626509189605715,3.8055043697357176,3.7804561853408813,,,
1983-12-20,,,3.724023818969727,3.744544363021851,3.8006760358810423,3.7744206190109253,,,
1983-12-21,,,3.8024868965148926,3.750580310821534,3.79584743976593,3.7744206190109253,,,
1983-12-22,,,3.81455659866333,3.765065574645997,3.7886043071746824,3.775024104118347,,,
1983-12-23,,,3.838701248168945,3.784379768371582,3.7849830865859984,3.7762313365936278,,,
1983-12-26,,,3.838701248168945,3.803693962097168,3.78317244052887,3.7792492270469666,,,
1983-12-27,,,3.899059772491455,3.8387011528015136,3.791622757911682,3.788302946090698,,,
1983-12-28,,,3.880948781967163,3.8543935298919676,3.8024869203567504,3.798865246772766,,,
1983-12-29,,,3.838701248168945,3.8592224597930906,3.8121440172195435,3.8067116260528566,,,
1983-12-30,,,3.8869879245758057,3.868879795074463,3.8266297817230224,3.8151617527008055,,,
1984-01-02,,,3.8869879245758057,3.878537130355835,3.8411155462265016,3.8233099579811096,,,
1984-01-03,,,3.874913454055786,3.8737078666687013,3.8562045097351074,3.828440272808075,,,
1984-01-04,,,3.850772857666016,3.8676726818084717,3.8610331058502196,3.828440272808075,,,
1984-01-05,,,3.850772857666016,3.870087003707886,3.8646547317504885,3.8266295194625854,,,
1984-01-06,,,3.838701248168945,3.8604296684265136,3.8646547317504885,3.8248189091682434,,,
1984-01-09,,,3.778343439102173,3.838700771331787,3.858618950843811,3.8208956956863402,,,
1984-01-10,,,3.796449422836304,3.8230079650878905,3.848357915878296,3.819990336894989,,,
1984-01-11,,,3.730057239532471,3.7988648414611816,3.8332687616348267,3.8178778409957888,,,
1984-01-12,,,3.6998775005340576,3.76868577003479,3.819386386871338,3.8157652020454407,,,
1984-01-13,,,3.7059147357940674,3.7421284675598145,3.801279067993164,3.8139544248580934,,,
1984-01-16,,,3.711949110031128,3.7288496017456056,3.7837751865386964,3.812445366382599,,,
1984-01-17,,,3.6455559730529785,3.6986709117889403,3.7608394384384156,3.8085219740867613,,,
1984-01-18,,,3.663666248321533,3.685392713546753,3.742128777503967,3.8015809416770936,,,
1984-01-19,,,3.742130279541016,3.6938432693481444,3.731264519691467,3.797959625720978,,,
1984-01-20,,,3.760237216949463,3.7047077655792235,3.723418116569519,3.7940364241600038,,,
1984-01-23,,,3.68780779838562,3.699879503250122,3.7143645524978637,3.7864917516708374,,,
1984-01-24,,,3.6998775005340576,3.710743808746338,3.7047073602676392,3.7765326380729674,,,
1984-01-25,,,3.717985391616821,3.7216076374053957,3.703500175476074,3.7683844685554506,,,
1984-01-26,,,3.633486032485962,3.699878787994385,3.6968610286712646,3.7581237077713014,,,
1984-01-27,,,3.6817736625671382,3.68418607711792,3.6944469213485718,3.747862994670868,3.7782228803634643,,
1984-01-30,,,3.54898738861084,3.656421995162964,3.678150749206543,3.7309629678726197,3.7727907705307007,,
1984-01-31,,,3.6455559730529785,3.645557689666748,3.678150749206543,3.7194950938224793,3.7688071870803834,,
1984-02-01,,,3.651594877243042,3.6322795867919924,3.676943612098694,3.7095361948013306,3.7657893466949464,,
1984-02-02,,,3.6817736625671382,3.6419371128082276,3.6709079504013062,3.701086235046387,3.7633750820159912,,
1984-02-03,,,3.5972726345062256,3.625036907196045,3.6546114921569823,3.689014804363251,3.7590294027328492,,
1984-02-06,,,3.54898738861084,3.625036907196045,3.6407294511795043,3.677547001838684,3.7544422817230223,,
1984-02-07,,,3.476557970046997,3.5912373065948486,3.6183974981307983,3.6615524291992188,3.749613733291626,,
1984-02-08,,,3.5127713680267334,3.563472604751587,3.5978760957717895,3.650688135623932,3.7464751052856444,,
