Date,GRADE,GPS,ZTS,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2013-02-01,,,28.40988540649414,,,,,,
2013-02-04,,,28.419044494628903,,,,,,
2013-02-05,,,28.437366485595703,,,,,,
2013-02-06,,,28.42820930480957,,,,,,
2013-02-07,,,29.316869735717773,28.602275085449218,,,,,
2013-02-08,,,30.27882957458496,28.976063919067382,,,,,
2013-02-11,,,30.47123336791992,29.386501693725585,,,,,
2013-02-12,,,30.910982131958008,29.881224822998046,,,,,
2013-02-13,,,30.736909866333008,30.342964935302735,,,,,
2013-02-14,,,30.480392456054688,30.575669479370116,29.588972282409667,,,,
2013-02-15,,,31.1308536529541,30.746074295043947,29.861069107055663,,,,
2013-02-18,,,31.1308536529541,30.87799835205078,30.132250022888183,,,,
2013-02-19,,,31.002595901489254,30.896321105957032,30.38877296447754,,,,
2013-02-20,,,29.976505279541016,30.74424018859863,30.543602561950685,,,,
2013-02-21,,,29.829923629760746,30.614146423339843,30.59490795135498,,,,
2013-02-22,,,29.857397079467773,30.359455108642578,30.552764701843262,,,,
2013-02-25,,,29.38100242614746,30.00948486328125,30.443741607666016,,,,
2013-02-26,,,29.353517532348636,29.679669189453126,30.28799514770508,,,,
2013-02-27,,,29.61004066467285,29.606376266479494,30.175308227539062,,,,
2013-02-28,,,30.645288467407227,29.76944923400879,30.191797828674318,29.89038505554199,,,
2013-03-01,,,31.69886016845703,30.13774185180664,30.248598480224608,30.054833793640135,,,
2013-03-04,,,31.46982765197754,30.555506896972656,30.28249588012695,30.20737295150757,,,
2013-03-05,,,31.41486358642578,30.967776107788087,30.323722648620606,30.35624780654907,,,
2013-03-06,,,31.011743545532227,31.24811668395996,30.427246475219725,30.485424518585205,,,
2013-03-07,,,31.6622314453125,31.451505279541017,30.610477256774903,30.60269260406494,,,
2013-03-08,,,31.23162651062012,31.358058547973634,30.747900199890136,30.6503324508667,,,
2013-03-11,,,31.314088821411133,31.326910781860352,30.941208839416504,30.69247522354126,,,
2013-03-12,,,30.984254837036133,31.240789031982423,31.104282569885253,30.696138858795166,,,
2013-03-13,,,31.1491813659668,31.268276596069335,31.25819664001465,30.716752433776854,,,
2013-03-14,,,31.73550796508789,31.282931900024415,31.367218589782716,30.779508209228517,,,
2013-03-15,,,30.636125564575195,31.16383171081543,31.260945129394532,30.75477180480957,,,
2013-03-18,,,30.086441040039062,30.918302154541017,31.122606468200683,30.70255117416382,,,
2013-03-19,,,30.04979705810547,30.731410598754884,30.986099815368654,30.654911231994628,,,
2013-03-20,,,30.70026016235352,30.641626358032227,30.95495147705078,30.691098976135255,,,
2013-03-21,,,30.66362190246582,30.427249145507812,30.855090522766112,30.73278388977051,,,
2013-03-22,,,30.342967987060547,30.368617630004884,30.766224670410157,30.757062435150146,,,
2013-03-25,,,29.738296508789062,30.29898872375488,30.60864543914795,30.774927139282227,,,
2013-03-26,,,29.78410148620605,30.245849609375,30.488630104064942,30.796456336975098,,,
2013-03-27,,,29.99481964111328,30.10476150512695,30.37319393157959,30.81569528579712,,,
2013-03-28,,,30.59949111938477,30.09193534851074,30.259592247009277,30.813405418395995,,,
2013-03-29,,,30.59949111938477,30.143239974975586,30.255928802490235,30.758436965942384,,,
2013-04-01,,,29.857397079467773,30.167060089111327,30.233024406433106,30.677815437316895,,,
2013-04-02,,,29.82074737548828,30.174389266967772,30.210119438171386,30.598109626770018,,,
2013-04-03,,,29.80243682861328,30.135912704467774,30.120337104797365,30.53764429092407,,,
2013-04-04,,,29.170286178588867,29.850071716308594,29.971003532409668,30.41304702758789,,,
2013-04-05,,,29.28022766113281,29.586219024658202,29.864729499816896,30.315477085113525,,,
2013-04-08,,,30.159725189208984,29.646684646606445,29.906872367858888,30.25775890350342,,,
2013-04-09,,,30.636125564575195,29.809760284423827,29.9920747756958,30.240352439880372,,,
2013-04-10,,,30.370445251464844,29.92336196899414,30.029637336730957,30.201415634155275,,,
2013-04-11,,,30.37960624694824,30.165225982666016,30.007648849487303,30.13362054824829,30.283045959472656,,
