Date,GRADE,GPS,CB,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1993-03-25,,,5.144185543060303,,,,,,
1993-03-26,,,5.166652202606201,,,,,,
1993-03-29,,,5.0992584228515625,,,,,,
1993-03-30,,,5.0992584228515625,,,,,,
1993-03-31,,,5.211578845977783,5.144186687469483,,,,,
1993-04-01,,,5.144185543060303,5.144186687469483,,,,,
1993-04-02,,,5.121725082397461,5.135201263427734,,,,,
1993-04-05,,,5.054332733154297,5.126216125488281,,,,,
1993-04-06,,,5.121725082397461,5.130709457397461,,,,,
1993-04-07,,,5.234037399291992,5.135201168060303,5.139693927764893,,,,
1993-04-08,,,5.189115047454834,5.144187068939209,5.144186878204346,,,,
1993-04-09,,,5.189115047454834,5.157665061950683,5.146433162689209,,,,
1993-04-12,,,5.144185543060303,5.175635623931885,5.150925874710083,,,,
1993-04-13,,,5.166652202606201,5.184621047973633,5.157665252685547,,,,
1993-04-14,,,5.144185543060303,5.166650676727295,5.150925922393799,,,,
1993-04-15,,,5.211578845977783,5.171143436431885,5.157665252685547,,,,
1993-04-16,,,5.234037399291992,5.180127906799316,5.168896484375,,,,
1993-04-19,,,5.211578845977783,5.193606567382813,5.184621095657349,,,,
1993-04-20,,,5.076796054840088,5.17563533782959,5.180128192901611,,,,
1993-04-21,,,5.0992584228515625,5.166649913787841,5.166650295257568,5.15317211151123,,,
1993-04-22,,,5.076796054840088,5.139693355560302,5.155418395996094,5.14980263710022,,,
1993-04-23,,,5.0992584228515625,5.112737560272217,5.146432733535766,5.146432948112488,,,
1993-04-26,,,4.942013263702393,5.058824443817139,5.126215505599975,5.13857069015503,,,
1993-04-27,,,4.964478492736816,5.0363609313964846,5.105998134613037,5.131831693649292,,,
1993-04-28,,,4.942013263702393,5.00491189956665,5.085780906677246,5.118353414535522,,,
1993-04-29,,,4.942013263702393,4.977955341339111,5.058824348449707,5.108244800567627,,,
1993-04-30,,,5.144185543060303,4.98694076538086,5.049839162826538,5.109367823600769,,,
1993-05-03,,,5.211578845977783,5.040853881835938,5.049839162826538,5.1172301292419435,,,
1993-05-04,,,5.346358776092529,5.11722993850708,5.076795434951782,5.128461813926696,,,
1993-05-05,,,5.705776691436768,5.269982624053955,5.137447261810303,5.152048778533936,,,
1993-05-06,,,5.593458652496338,5.400271701812744,5.189113521575928,5.172265958786011,,,
1993-05-07,,,5.5709967613220215,5.4856339454650875,5.236287355422974,5.19136004447937,,,
1993-05-10,,,5.5709967613220215,5.5575175285339355,5.299185705184937,5.212700605392456,,,
1993-05-11,,,5.593458652496338,5.606937503814697,5.3620837211608885,5.234040927886963,,,
1993-05-12,,,5.593458652496338,5.584473896026611,5.427228260040283,5.2565045833587645,,,
1993-05-13,,,5.413749694824219,5.548532104492187,5.474401903152466,5.266613125801086,,,
1993-05-14,,,5.413749694824219,5.517082691192627,5.501358318328857,5.275598740577697,,,
1993-05-17,,,5.368820667266846,5.476647472381591,5.5170825004577635,5.2834608316421505,,,
1993-05-18,,,5.368820667266846,5.431719875335693,5.519328689575195,5.298062062263488,,,
1993-05-19,,,5.481141090393066,5.409256362915039,5.496865129470825,5.317156195640564,,,
1993-05-20,,,5.43621301651001,5.413749027252197,5.481140565872193,5.33512704372406,,,
1993-05-21,,,5.413749694824219,5.413749027252197,5.4654158592224125,5.350851607322693,,,
1993-05-24,,,5.413749694824219,5.4227348327636715,5.4496911525726315,5.3744384288787845,,,
1993-05-25,,,5.323897838592529,5.413750267028808,5.422735071182251,5.39240939617157,,,
1993-05-26,,,5.211578845977783,5.359837818145752,5.384547090530395,5.4058876752853395,,,
1993-05-27,,,5.189115047454834,5.310418224334716,5.362083625793457,5.418242764472962,,,
1993-05-28,,,5.144185543060303,5.256505393981934,5.335127210617065,5.418242764472962,,,
1993-05-31,,,5.144185543060303,5.202592563629151,5.3126636981964115,5.414873099327087,,,
