Date,GRADE,GPS,XEL,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.4273725748062134,,,,,,
1983-11-22,,,1.4554511308670044,,,,,,
1983-11-23,,,1.4414125680923462,,,,,,
1983-11-24,,,1.4414125680923462,,,,,,
1983-11-25,,,1.4414125680923462,1.4414122819900512,,,,,
1983-11-28,,,1.4414125680923462,1.444220280647278,,,,,
1983-11-29,,,1.4273725748062134,1.4386045694351197,,,,,
1983-11-30,,,1.4273725748062134,1.435796570777893,,,,,
1983-12-01,,,1.4273725748062134,1.4329885721206665,,,,,
1983-12-02,,,1.436730980873108,1.4320522546768188,1.4367322683334351,,,,
1983-12-05,,,1.4460911750793457,1.4329879760742188,1.4386041283607482,,,,
1983-12-06,,,1.4460911750793457,1.4367316961288452,1.4376681327819825,,,,
1983-12-07,,,1.4601316452026367,1.4432835102081298,1.4395400404930114,,,,
1983-12-08,,,1.4741706848144531,1.452643132209778,1.4428158521652221,,,,
1983-12-09,,,1.4741706848144531,1.4601310729980468,1.4460916638374328,,,,
1983-12-12,,,1.4694907665252686,1.4648109912872314,1.4488994836807252,,,,
1983-12-13,,,1.4601316452026367,1.4676190853118896,1.4521753907203674,,,,
1983-12-14,,,1.4648100137710571,1.4685547590255736,1.4559191346168519,,,,
1983-12-15,,,1.4601316452026367,1.4657469511032104,1.459195041656494,,,,
1983-12-16,,,1.4554511308670044,1.4620030403137207,1.4610670566558839,1.4488996624946595,,,
1983-12-19,,,1.4507712125778198,1.4582591295242309,1.4615350604057311,1.4500695943832398,,,
1983-12-20,,,1.4601316452026367,1.4582591295242309,1.4629391074180602,1.4503036201000215,,,
1983-12-21,,,1.4601316452026367,1.4573234558105468,1.4629391074180602,1.451239573955536,,,
1983-12-22,,,1.4601316452026367,1.4573234558105468,1.4615352034568787,1.4521755278110504,,,
1983-12-23,,,1.4320504665374756,1.4526433229446412,1.457323181629181,1.4517074227333069,,,
1983-12-26,,,1.4320504665374756,1.4488991737365722,1.4535791516304015,1.4512393176555634,,,
1983-12-27,,,1.4507712125778198,1.4470270872116089,1.4526431083679199,1.4524092495441436,,,
1983-12-28,,,1.4460911750793457,1.4442189931869507,1.4507712244987487,1.4533451795578003,,,
1983-12-29,,,1.4133312702178955,1.4348589181900024,1.4460911870002746,1.4526431143283844,,,
1983-12-30,,,1.4226915836334229,1.432987141609192,1.4428152322769165,1.4519411444664,,,
1984-01-02,,,1.4226915836334229,1.4311153650283814,1.4400072693824768,1.450771164894104,,,
1984-01-03,,,1.3758927583694458,1.4161396741867065,1.4315833806991578,1.447261244058609,,,
1984-01-04,,,1.3852521181106567,1.4039718627929687,1.4240954279899598,1.44351726770401,,,
1984-01-05,,,1.3946125507354736,1.4002281188964845,1.4175435185432435,1.439539361000061,,,
