Date,GRADE,GPS,NUE,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,0.7332307696342468,,,,,,
1983-11-22,,,0.7427842020988464,,,,,,
1983-11-23,,,0.7427842020988464,,,,,,
1983-11-24,,,0.7427842020988464,,,,,,
1983-11-25,,,0.7356190085411072,0.7394404768943786,,,,,
1983-11-28,,,0.7260653972625732,0.7380074024200439,,,,,
1983-11-29,,,0.7427842020988464,0.7380074024200439,,,,,
1983-11-30,,,0.7571144104003906,0.7408734440803528,,,,,
1983-12-01,,,0.7499497532844543,0.7423065543174744,,,,,
1983-12-02,,,0.7547264099121094,0.7461280345916748,0.7427842557430268,,,,
1983-12-05,,,0.7499497532844543,0.7509049057960511,0.7444561541080474,,,,
1983-12-06,,,0.7499497532844543,0.7523380160331726,0.7451727092266083,,,,
1983-12-07,,,0.7571144104003906,0.7523380160331726,0.7466057300567627,,,,
1983-12-08,,,0.7523377537727356,0.7528156161308288,0.7475610852241517,,,,
1983-12-09,,,0.7475610971450806,0.7513825535774231,0.748755294084549,,,,
1983-12-12,,,0.7475610971450806,0.7509048223495484,0.7509048640727997,,,,
1983-12-13,,,0.7475610971450806,0.7504270911216736,0.7513825535774231,,,,
1983-12-14,,,0.7451727986335754,0.7480387687683105,0.7501883924007415,,,,
1983-12-15,,,0.7427842020988464,0.7461280584335327,0.7494718372821808,,,,
1983-12-16,,,0.7499497532844543,0.7466057896614074,0.7489941716194153,0.745889213681221,,,
1983-12-19,,,0.7427842020988464,0.7456504106521606,0.7482776165008544,0.7463668853044509,,,
1983-12-20,,,0.7523377537727356,0.7466057419776917,0.7485164165496826,0.7468445628881455,,,
1983-12-21,,,0.7690563201904297,0.7513824462890625,0.7497106075286866,0.7481581687927246,,,
1983-12-22,,,0.7595028281211853,0.7547261714935303,0.7504271149635315,0.7489941000938416,,,
1983-12-23,,,0.7634270787239075,0.7574216365814209,0.7520137131214142,0.7503845036029816,,,
1983-12-26,,,0.7634270787239075,0.7615502119064331,0.7536003112792968,0.7522525876760483,,,
1983-12-27,,,0.7634270787239075,0.7637680768966675,0.7551869094371796,0.7532847315073014,,,
1983-12-28,,,0.7658206224441528,0.7631209373474122,0.7572516918182373,0.7537200421094894,,,
1983-12-29,,,0.7993256449699402,0.7710855007171631,0.7629058361053467,0.7561888366937637,,,
1983-12-30,,,0.8184708952903748,0.7820942640304566,0.7697579503059387,0.759376060962677,,,
1984-01-02,,,0.8184708952903748,0.79310302734375,0.7773266196250915,0.762802118062973,,,
1984-01-03,,,0.8232576251029968,0.8050691366195679,0.7844186067581177,0.7664675116539001,,,
1984-01-04,,,0.8041121363639832,0.812727439403534,0.7879241883754731,0.7688173979520798,,,
1984-01-05,,,0.8088980913162231,0.8146419286727905,0.7928637146949769,0.7716454148292542,,,
1984-01-06,,,0.832829475402832,0.817513644695282,0.7998039543628692,0.7759088337421417,,,
1984-01-09,,,0.8232576251029968,0.8184709906578064,0.8057870090007782,0.7796936601400375,,,
1984-01-10,,,0.828043520450592,0.8194281697273255,0.8122486531734466,0.7837177813053131,,,
1984-01-11,,,0.8112912774085999,0.8208639979362488,0.8167957186698913,0.7870237052440643,,,
1984-01-12,,,0.8160780072212219,0.8222999811172486,0.8184709548950195,0.7906883955001831,,,
1984-01-13,,,0.8160780072212219,0.8189496874809266,0.8182316660881043,0.7939948081970215,,,
1984-01-16,,,0.7993256449699402,0.8141632914543152,0.8163171410560608,0.7968218803405762,,,
1984-01-17,,,0.7993256449699402,0.8084197163581848,0.8139239430427552,0.7991712749004364,,,
1984-01-18,,,0.7634270787239075,0.7988468766212463,0.8098554372787475,0.7988898128271102,,,
1984-01-19,,,0.7610345482826233,0.7878381848335266,0.8050690829753876,0.7989663988351822,,,
1984-01-20,,,0.7658206224441528,0.7777867078781128,0.7983681976795196,0.7990860760211944,,,
1984-01-23,,,0.7610345482826233,0.7701284885406494,0.7921458899974823,0.7989664494991302,,,
1984-01-24,,,0.7586411833763123,0.7619915962219238,0.7852056562900543,0.7987271547317505,,,
1984-01-25,,,0.7586411833763123,0.7610344171524048,0.7799406468868255,0.7983681827783584,,,
1984-01-26,,,0.7538545727729797,0.7595984220504761,0.7737183034420013,0.7960946291685105,,,
1984-01-27,,,0.7371025085449219,0.7538547992706299,0.7658207535743713,0.7920262098312378,0.7691177594661712,,
1984-01-30,,,0.6988116502761841,0.7414102196693421,0.7557693541049957,0.7860432475805282,0.76842937707901,,
1984-01-31,,,0.7131702303886414,0.7323160290718078,0.7471538126468659,0.7805388778448105,0.7678370976448059,,
1984-02-01,,,0.6700928211212158,0.7146063566207885,0.7378203868865967,0.7738379120826722,0.7663832700252533,,
1984-02-02,,,0.6868457794189453,0.7012045979499817,0.7304015100002289,0.7677352964878082,0.7652645015716553,,
1984-02-03,,,0.6988116502761841,0.6935464262962341,0.723700612783432,0.7610344052314758,0.7645283544063568,,
1984-02-06,,,0.7131702303886414,0.6964181423187256,0.7189141809940338,0.755530035495758,0.7642704510688781,,
1984-02-07,,,0.7466751337051392,0.7031191229820252,0.7177175760269165,0.7514616161584854,0.764348269701004,,
1984-02-08,,,0.7179570198059082,0.7126919627189636,0.7136491596698761,0.7467949032783509,0.7635651218891144,,
1984-02-09,,,0.7347092032432556,0.7222646474838257,0.7117346227169037,0.7427264630794526,0.7632603108882904,,
1984-02-10,,,0.7275298237800598,0.7280082821846008,0.7107773542404174,0.7382990539073944,0.7627163791656494,,
