Date,GRADE,GPS,F,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,0.5604878067970276,,,,,,
1983-11-22,,,0.5583767294883728,,,,,,
1983-11-23,,,0.5414881706237793,,,,,,
1983-11-24,,,0.5414881706237793,,,,,,
1983-11-25,,,0.5372660160064697,0.5478213787078857,,,,,
1983-11-28,,,0.5330438613891602,0.5423325896263123,,,,,
1983-11-29,,,0.5362106561660767,0.537899374961853,,,,,
1983-11-30,,,0.5214330554008484,0.5338883519172668,,,,,
1983-12-01,,,0.5309328436851501,0.531777286529541,,,,,
1983-12-02,,,0.525655210018158,0.5294551253318787,0.5386382520198822,,,,
1983-12-05,,,0.5319884419441223,0.5292440414428711,0.5357883155345917,,,,
1983-12-06,,,0.525655210018158,0.5271329522132874,0.5325161635875701,,,,
1983-12-07,,,0.5319884419441223,0.5292440295219422,0.5315661907196045,,,,
1983-12-08,,,0.522488534450531,0.5275551676750183,0.5296662271022796,,,,
1983-12-09,,,0.525655210018158,0.5275551676750183,0.5285051465034485,,,,
1983-12-12,,,0.5319884419441223,0.5275551676750183,0.5283996045589447,,,,
1983-12-13,,,0.522488534450531,0.5269218325614929,0.5270273923873902,,,,
1983-12-14,,,0.522488534450531,0.5250218510627747,0.5271329402923584,,,,
1983-12-15,,,0.5114052891731262,0.5228052020072937,0.525180184841156,,,,
1983-12-16,,,0.5161558389663696,0.520905327796936,0.5242302477359772,0.5314342498779296,,,
1983-12-19,,,0.527238667011261,0.5199553728103637,0.5237552702426911,0.5297717928886414,,,
1983-12-20,,,0.5304051041603088,0.5215386867523193,0.5242302596569062,0.5283732116222382,,,
1983-12-21,,,0.5446547865867615,0.5259719371795655,0.5254968941211701,0.5285315424203872,,,
1983-12-22,,,0.5509880781173706,0.5338884949684143,0.528346848487854,0.5290065377950668,,,
1983-12-23,,,0.5525712966918945,0.5411715865135193,0.5310384571552277,0.529771801829338,,,
1983-12-26,,,0.5525712966918945,0.546238112449646,0.5330967426300048,0.5307481735944748,,,
1983-12-27,,,0.558904767036438,0.5519380450248719,0.5367383658885956,0.5318828791379928,,,
1983-12-28,,,0.5604878067970276,0.555104649066925,0.5405382931232452,0.5338356167078018,,,
1983-12-29,,,0.543071448802948,0.5535213232040406,0.5437049090862274,0.5344425469636918,,,
1983-12-30,,,0.5367384552955627,0.5503547549247741,0.5457631707191467,0.5349967092275619,,,
1984-01-02,,,0.5367384552955627,0.5471881866455078,0.5467131495475769,0.5352342098951339,,,
1984-01-03,,,0.5367384552955627,0.5427549242973327,0.5473464846611023,0.5357883721590042,,,
1984-01-04,,,0.5573214292526245,0.5421216487884521,0.5486131489276886,0.5370550215244293,,,
