Date,GRADE,GPS,GE,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,3.9373838901519775,,,,,,
1983-11-22,,,3.9111952781677246,,,,,,
1983-11-23,,,3.9635751247406006,,,,,,
1983-11-24,,,3.9635751247406006,,,,,,
1983-11-25,,,3.946115016937256,3.9443688869476317,,,,,
1983-11-28,,,3.9548473358154297,3.947861576080322,,,,,
1983-11-29,,,4.050878047943115,3.9757981300354004,,,,,
1983-11-30,,,4.024461269378662,3.9879753589630127,,,,,
1983-12-01,,,4.042071342468262,4.003674602508545,,,,,
1983-12-02,,,4.015653610229492,4.0175823211669925,3.980975604057312,,,,
1983-12-05,,,4.042071342468262,4.035027122497558,3.9914443492889404,,,,
1983-12-06,,,4.068494319915772,4.03855037689209,4.007174253463745,,,,
1983-12-07,,,4.112524032592773,4.056162929534912,4.022069144248962,,,,
1983-12-08,,,4.068494319915772,4.061447525024414,4.0325610637664795,,,,
1983-12-09,,,4.050878047943115,4.068492412567139,4.043037366867066,,,,
1983-12-12,,,4.077301025390625,4.0755383491516115,4.055282735824585,,,,
1983-12-13,,,4.068494319915772,4.075538349151612,4.05704436302185,,,,
1983-12-14,,,3.98042893409729,4.049119329452515,4.052641129493713,,,,
1983-12-15,,,3.8835608959198,4.01213264465332,4.036790084838867,,,,
1983-12-16,,,3.8835608959198,3.978669214248657,4.023580813407898,4.002278208732605,,,
1983-12-19,,,3.93639874458313,3.9504887580871584,4.013013553619385,4.002228951454162,,,
1983-12-20,,,3.971624851226807,3.9311148643493654,4.0033266067504885,4.005250430107116,,,
1983-12-21,,,4.059684753417969,3.946966028213501,3.998042678833008,4.010055911540985,,,
1983-12-22,,,4.121329307556152,3.9945197105407715,4.003326177597046,4.017943620681763,,,
1983-12-23,,,4.103715896606445,4.0385507106781,4.008609962463379,4.025823664665222,,,
1983-12-26,,,4.103715896606445,4.0720141410827635,4.011251449584961,4.033267092704773,,,
1983-12-27,,,4.112524032592773,4.100193977355957,4.015654420852661,4.0363493919372555,,,
1983-12-28,,,4.103715896606445,4.109000205993652,4.0279831171035765,4.040312123298645,,,
1983-12-29,,,4.112524032592773,4.107239151000977,4.050879430770874,4.043834757804871,,,
1983-12-30,,,4.130136966705322,4.112523365020752,4.0755370378494264,4.049558925628662,,,
1984-01-02,,,4.130136966705322,4.1178075790405275,4.0949108600616455,4.053962206840515,,,
1984-01-03,,,4.059684753417969,4.107239723205566,4.103716850280762,4.053521728515625,,,
1984-01-04,,,4.086105823516846,4.103717708587647,4.10635895729065,4.052200818061829,,,
1984-01-05,,,4.112524032592773,4.103717708587647,4.105478429794312,4.054402303695679,,,
1984-01-06,,,4.086105823516846,4.0949114799499515,4.103717422485351,4.056163692474366,,,
1984-01-09,,,4.077301025390625,4.084344291687012,4.101075935363769,4.056163692474366,,,
1984-01-10,,,4.050878047943115,4.082582950592041,4.094911336898804,4.055282878875732,,,
1984-01-11,,,4.077301025390625,4.080821990966797,4.092269849777222,4.060126483440399,,,
1984-01-12,,,4.059684753417969,4.070254135131836,4.086985921859741,4.068932676315308,,,
1984-01-13,,,4.024461269378662,4.057925224304199,4.076418352127075,4.075977694988251,,,
1984-01-16,,,4.024461269378662,4.047357273101807,4.065850782394409,4.080380821228028,,,
1984-01-17,,,4.050878047943115,4.047357273101807,4.0649701118469235,4.084343481063843,,,
1984-01-18,,,3.998042345046997,4.031505537033081,4.056163763999939,4.0812613606452945,,,
1984-01-19,,,4.006847858428955,4.020938158035278,4.0455961465835575,4.075537288188935,,,
1984-01-20,,,3.945202112197876,4.0050863265991214,4.03150577545166,4.067611598968506,,,
1984-01-23,,,3.945202112197876,3.9892344951629637,4.018295884132385,4.059685909748078,,,
1984-01-24,,,3.8835608959198,3.955771064758301,4.001564168930054,4.048237752914429,,,
1984-01-25,,,3.8043060302734375,3.917023801803589,3.974264669418335,4.033267259597778,,,
1984-01-26,,,3.813111066818237,3.8782764434814454,3.9496073007583616,4.018296611309052,,,
1984-01-27,,,3.786693811416626,3.8465747833251953,3.9258305549621584,4.001124453544617,4.016468472480774,,
1984-01-30,,,3.786693811416626,3.8148731231689452,3.9020538091659547,3.983952295780182,4.013454670906067,,
1984-01-31,,,3.8307251930236816,3.804305982589722,3.880038523674011,3.9725043177604675,4.011845269203186,,
1984-02-01,,,3.874755144119263,3.818395805358887,3.8677098035812376,3.9619367837905886,4.010068869590759,,
1984-02-02,,,3.9099817276000977,3.837769937515259,3.858023190498352,3.9518096685409545,4.008997001647949,,
1984-02-03,,,3.8395302295684814,3.8483372211456297,3.8474560022354125,3.939480888843536,4.006865305900574,,
1984-02-06,,,3.725048303604126,3.8360081195831297,3.8254406213760377,3.9218682527542112,4.002269325256347,,
1984-02-07,,,3.795499563217163,3.8289629936218263,3.816634488105774,3.9090993285179136,3.9971617555618284,,
1984-02-08,,,3.760274648666382,3.80606689453125,3.812231349945068,3.8932480096817015,3.991878023147583,,
1984-02-09,,,3.733853816986084,3.7708413124084474,3.804305624961853,3.8769564628601074,3.9857136726379396,,
1984-02-10,,,3.769080400466919,3.7567513465881346,3.802544283866882,3.8641874194145203,3.980782208442688,,
1984-02-13,,,3.6898248195648193,3.7497066497802733,3.7928573846817017,3.847455596923828,3.973737277984619,,
1984-02-14,,,3.751467227935791,3.740900182723999,3.7849315881729124,3.832485055923462,3.9673967361450195,,
1984-02-15,,,3.760274648666382,3.740900182723999,3.7734835386276244,3.8205966711044312,3.9603517484664916,,
1984-02-16,,,3.751467227935791,3.7444228649139406,3.757632088661194,3.8078276395797728,3.954011206626892,,
1984-02-17,,,3.716241598129273,3.733855104446411,3.7453032255172736,3.7963796138763426,3.947318477630615,,
1984-02-20,,,3.716241598129273,3.739138460159302,3.7444225549697876,3.7849315881729124,3.9400972890853883,,
1984-02-21,,,3.654598236083984,3.7197646617889406,3.7303324222564695,3.773483455181122,3.9318193674087523,,
1984-02-22,,,3.66340446472168,3.700390625,3.7206454038619996,3.766438376903534,3.92547887802124,,
1984-02-23,,,3.66340446472168,3.682778072357178,3.7136004686355593,3.7589530467987062,3.9210757493972777,,
1984-02-24,,,3.786693811416626,3.6968685150146485,3.71536180973053,3.7589530467987062,3.9191384077072144,,
