Date,GRADE,GPS,DPZ,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2004-07-13,,,6.144003391265869,,,,,,
2004-07-14,,,6.116694450378418,,,,,,
2004-07-15,,,6.298739910125732,,,,,,
2004-07-16,,,6.294190406799316,,,,,,
2004-07-19,,,6.153105735778809,6.201346778869629,,,,,
2004-07-20,,,6.339700698852539,6.2404862403869625,,,,,
2004-07-21,,,6.189516067504883,6.255050563812256,,,,,
2004-07-22,,,6.189516067504883,6.233205795288086,,,,,
2004-07-23,,,6.1713080406188965,6.208629322052002,,,,,
2004-07-26,,,6.007468700408936,6.179501914978028,6.1904243469238285,,,,
2004-07-27,,,5.802670478820801,6.07209587097168,6.156291055679321,,,,
2004-07-28,,,5.93010139465332,6.020212936401367,6.137631750106811,,,,
2004-07-29,,,6.271434307098389,6.036596584320068,6.1349011898040775,,,,
2004-07-30,,,6.326047420501709,6.067544460296631,6.138086891174316,,,,
2004-08-02,,,6.235024452209473,6.113055610656739,6.146278762817383,,,,
2004-08-03,,,6.344252109527588,6.2213719367980955,6.146733903884888,,,,
2004-08-04,,,6.326047420501709,6.300561141967774,6.16038703918457,,,,
2004-08-05,,,6.321496486663818,6.310573577880859,6.173585081100464,,,,
2004-08-06,,,6.280535697937012,6.30147123336792,6.184507846832275,,,,
2004-08-09,,,6.235024452209473,6.30147123336792,6.207263422012329,6.198843884468078,,,
2004-08-10,,,6.275986194610596,6.287818050384521,6.254594993591309,6.205443024635315,,,
2004-08-11,,,6.235024452209473,6.269613456726074,6.285087299346924,6.211359524726868,,,
2004-08-12,,,6.203166961669922,6.245947551727295,6.278260564804077,6.206580877304077,,,
2004-08-13,,,6.098491668701172,6.209538745880127,6.255504989624024,6.19679594039917,,,
2004-08-16,,,6.134899616241455,6.189513778686523,6.2454925060272215,6.195885634422302,,,
2004-08-17,,,6.121246337890625,6.158565807342529,6.223191928863526,6.184962916374206,,,
2004-08-18,,,6.194063663482666,6.150373649597168,6.209993553161621,6.185190296173095,,,
2004-08-19,,,6.052980422973633,6.12033634185791,6.1831419467926025,6.178363513946533,,,
2004-08-20,,,6.2077178955078125,6.1421815872192385,6.175860166549683,6.180184006690979,,,
2004-08-23,,,6.303293704986572,6.175860404968262,6.182687091827392,6.194975256919861,,,
2004-08-24,,,6.280535697937012,6.207718276977539,6.183142042160034,6.218868517875672,,,
2004-08-25,,,6.280535697937012,6.225012683868409,6.187693166732788,6.236390233039856,,,
2004-08-26,,,6.235024452209473,6.261421489715576,6.190878915786743,6.23456974029541,,,
2004-08-27,,,6.389763832092285,6.29783067703247,6.220006132125855,6.237755560874939,,,
2004-08-30,,,6.380659103393555,6.313303756713867,6.244582080841065,6.245037293434143,,,
2004-08-31,,,6.485335350036621,6.354263687133789,6.280990982055664,6.2520914554595945,,,
2004-09-01,,,6.576357841491699,6.413428115844726,6.319220399856567,6.264606976509095,,,
2004-09-02,,,6.508092880249023,6.468041801452637,6.364731645584106,6.273936796188354,,,
