Date,GRADE,GPS,K,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.157185196876526,,,,,,
1983-11-22,,,1.1948179006576538,,,,,,
1983-11-23,,,1.176000952720642,,,,,,
1983-11-24,,,1.176000952720642,,,,,,
1983-11-25,,,1.157185196876526,1.172238039970398,,,,,
1983-11-28,,,1.1901134252548218,1.1788236856460572,,,,,
1983-11-29,,,1.1948179006576538,1.1788236856460572,,,,,
1983-11-30,,,1.185409426689148,1.1807053804397583,,,,,
1983-12-01,,,1.2042251825332642,1.1863502264022827,,,,,
1983-12-02,,,1.1948179006576538,1.1938767671585082,1.1830574035644532,,,,
1983-12-05,,,1.2042251825332642,1.1966991186141969,1.187761402130127,,,,
1983-12-06,,,1.2089296579360962,1.1995214700698853,1.1891725778579711,,,,
1983-12-07,,,1.2136335372924805,1.2051662921905517,1.192935836315155,,,,
1983-12-08,,,1.2324491739273071,1.2108110904693603,1.1985806584358216,,,,
1983-12-09,,,1.2089296579360962,1.2136334419250487,1.2037551045417785,,,,
1983-12-12,,,1.1995216608047483,1.2126927375793457,1.2046959280967713,,,,
1983-12-13,,,1.2089296579360962,1.2126927375793457,1.2061071038246154,,,,
1983-12-14,,,1.2136335372924805,1.2126927375793457,1.2089295148849488,,,,
1983-12-15,,,1.2183375358581543,1.209870409965515,1.2103407502174377,,,,
1983-12-16,,,1.1948179006576538,1.2070480585098267,1.2103407502174377,1.1966990768909453,,,
1983-12-19,,,1.1901134252548218,1.2051664113998413,1.2089295744895936,1.1983454883098603,,,
1983-12-20,,,1.1901134252548218,1.2014031648635863,1.207047951221466,1.1981102645397186,,,
1983-12-21,,,1.2089296579360962,1.2004623889923096,1.2065775632858275,1.1997566998004914,,,
1983-12-22,,,1.2371537685394287,1.2042256355285645,1.2070480227470397,1.2028143405914307,,,
1983-12-23,,,1.2277452945709229,1.2108111143112184,1.2089295864105225,1.2063423454761506,,,
1983-12-26,,,1.2277452945709229,1.2183374881744384,1.2117519497871398,1.2082239389419556,,,
1983-12-27,,,1.2324491739273071,1.2268046379089355,1.214103901386261,1.2101055026054381,,,
1983-12-28,,,1.2230409383773804,1.2296268939971924,1.2150446414947509,1.2119870781898499,,,
