Date,GRADE,GPS,WMB,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1997-06-09,53.63679059176727,P,6.017275333404541,6.154911994934082,6.1777105808258055,6.1374444484710695,6.204848604202271,6.085681066513062,5.532114028930664
1997-06-10,52.99656020789029,P,5.717292785644531,6.052565193176269,6.137266349792481,6.110205912590027,6.193953189849854,6.085471882820129,5.537202422618866
1997-06-11,52.36165381966388,P,5.646708488464356,5.939631175994873,6.080799341201782,6.085577654838562,6.184452657699585,6.085428895950318,5.542168819904328
1997-06-12,51.864204853554234,P,5.646708488464356,5.837284946441651,6.022567510604858,6.060949397087097,6.17670615196228,6.085909152030945,5.547308418750763
1997-06-13,51.55080892574701,P,5.770227432250977,5.759642505645752,5.976687574386597,6.048636174201965,6.169675998687744,6.087973423004151,5.553065612316131
1997-06-16,51.397926601377854,P,5.787875652313232,5.71376256942749,5.9343372821807865,6.034574246406555,6.159490556716919,6.090388617515564,5.55879558801651
1997-06-17,51.60779971672395,P,5.717292785644531,5.71376256942749,5.88316388130188,6.020491337776184,6.1464902114868165,6.0922723436355595,5.563999438285828
1997-06-18,51.76632122496409,P,5.646708488464356,5.71376256942749,5.826696872711182,6.002002167701721,6.1289208889007565,6.0929270029068,5.568619430065155
1997-06-19,52.07816831100354,P,5.823165893554688,5.749054050445557,5.7931694984436035,5.988827800750733,6.113477468490601,6.094997420310974,5.5739485144615175
1997-06-20,52.29767591901709,P,5.876104831695557,5.770229530334474,5.764936017990112,5.976546287536622,6.106459884643555,6.0979460430145265,5.5794845390319825
1997-06-23,52.50319665629758,P,5.858458995819092,5.784346199035645,5.749054384231568,5.963382482528687,6.09979100227356,6.100892629623413,5.585047821998597
1997-06-24,52.84736356776497,P,5.929040908813477,5.826695823669434,5.770229196548462,5.9537477731704715,6.089973258972168,6.104893836975098,5.590848526954651
1997-06-25,53.21247112079508,P,5.858458995819092,5.869045925140381,5.7914042472839355,5.93610179424286,6.076989812850952,6.108363690376282,5.596354076862335
1997-06-26,53.41650539649114,A,5.876104831695557,5.8796337127685545,5.814343881607056,5.918455696105958,6.072077207565307,6.113056478500366,5.601947855949402
1997-06-27,53.65718166706168,A,6.017275333404541,5.907867813110352,5.839048671722412,5.907868123054505,6.06823390007019,6.119335370063782,5.608536162376404
1997-06-30,54.077904236987536,A,6.176083087921143,5.971392631530762,5.877869415283203,5.906103348731995,6.070022497177124,6.12685350894928,5.615687565803528
1997-07-01,54.32276277145137,A,6.176083087921143,6.020801067352295,5.923748445510864,5.903456163406373,6.071811094284057,6.133499603271485,5.622723481655121
1997-07-02,54.66981164339345,A,6.167263984680176,6.082562065124511,5.975803995132447,5.901250433921815,6.073072452545166,6.139534239768982,5.630003986358642
1997-07-03,55.05895218452269,A,6.26431941986084,6.160204982757568,6.019919347763062,5.906544423103333,6.075222492218018,6.146539430618287,5.638116180896759
1997-07-04,55.24837340792259,A,6.26431941986084,6.209613800048828,6.05874080657959,5.911838412284852,6.077021694183349,6.1514516448974605,5.645881962776184
1997-07-07,55.28204700347274,A,6.317250728607178,6.237847328186035,6.104619979858398,5.926837182044983,6.079879522323608,6.156893172264099,5.6539124011993405
1997-07-08,55.30439557087315,A,6.26431941986084,6.255494594573975,6.138147830963135,5.954188513755799,6.080977096557617,6.160410094261169,5.661909108161926
1997-07-09,55.14297482490529,A,6.087856769561768,6.239613151550293,6.161087608337402,5.97624592781067,6.079247045516968,6.162860045433044,5.669254448413849
1997-07-10,54.97900058527538,A,6.176083087921143,6.221965885162353,6.191085433959961,6.002714657783509,6.079281520843506,6.166541090011597,5.676809973716736
1997-07-11,54.76971924909734,A,6.114326477050781,6.191967296600342,6.200790548324585,6.019919610023499,6.0780808639526365,6.169604568481446,5.684056715965271
1997-07-14,54.58141603435623,A,6.255490779876709,6.179615306854248,6.208731317520142,6.043300366401673,6.077247724533081,6.172858786582947,5.691893825531006
1997-07-15,54.54008347215992,A,6.308428764343262,6.188437175750733,6.221965885162353,6.072857165336609,6.078876619338989,6.178037705421448,5.699649224281311
1997-07-16,54.79635012082172,A,6.361370086669922,6.243139839172363,6.241376495361328,6.108590245246887,6.081564340591431,6.184094839096069,5.707900259494782
1997-07-17,54.79759299699802,A,6.317250728607178,6.27137336730957,6.246669626235962,6.133294486999512,6.079861583709717,6.187792229652405,5.7162771105766295
1997-07-18,54.779261219604535,A,6.2025532722473145,6.289018726348877,6.2404930114746096,6.1496169090271,6.074812440872193,6.188598532676696,5.7237340617179875
1997-07-21,54.681210972792115,A,6.229026794433594,6.283725929260254,6.231670618057251,6.168145298957825,6.072046775817871,6.189844012260437,5.73120790719986
1997-07-22,54.440511483632285,A,6.2466721534729,6.271374607086182,6.229905891418457,6.184026861190796,6.071738948822022,6.188300857543945,5.738077158927918
1997-07-23,54.147969125037655,A,6.27313756942749,6.2537281036376955,6.24843397140503,6.204760789871216,6.0744162273406985,6.1871837139129635,5.744905529022216
1997-07-24,54.122465599040716,A,6.352544784545898,6.26078691482544,6.266080141067505,6.228582787513733,6.0786816501617436,6.188263931274414,5.751033987998962
1997-07-25,54.46067250323831,A,6.493710994720459,6.319018459320068,6.304018592834472,6.252404570579529,6.08822603225708,6.190405020713806,5.758099222183228
1997-07-28,54.6777138887613,A,6.458424091339111,6.364897918701172,6.324311923980713,6.266521620750427,6.096012229919434,6.191140742301941,5.7655653429031375
1997-07-29,54.96912952602793,A,6.502535343170166,6.416070556640625,6.343722581863403,6.282844233512878,6.106083917617798,6.192142210006714,5.773771662712097
1997-07-30,55.087102381372254,A,6.4496002197265625,6.4513630867004395,6.352545595169067,6.296961045265197,6.114746084213257,6.192965111732483,5.781886501312256
1997-07-31,55.09196073410143,A,6.458424091339111,6.472538948059082,6.366662931442261,6.306666278839112,6.12218150138855,6.194227113723755,5.78987226486206
1997-08-01,54.68230914072282,A,6.317250728607178,6.437246894836425,6.378132677078247,6.309312844276429,6.126091814041137,6.191797089576721,5.797325356006622
1997-08-04,54.46704525928035,A,6.361370086669922,6.417836093902588,6.39136700630188,6.311518812179566,6.130884513854981,6.191036081314087,5.805114521980285
1997-08-05,54.26788321123121,A,6.423131465911865,6.401955318450928,6.409012937545777,6.319459414482116,6.136912441253662,6.191068115234375,5.813039274215698
1997-08-06,54.43559113320523,A,6.634879112243652,6.439011096954346,6.445187091827393,6.346810531616211,6.145382452011108,6.193743805885315,5.821907312870025
1997-08-07,54.63518961105374,A,6.6701741218566895,6.4813611030578615,6.476950025558471,6.371515083312988,6.15420539855957,6.1967724466323855,5.831125020980835
1997-08-08,54.91714166908647,A,6.546654224395752,6.527241802215576,6.482244348526001,6.3931314706802365,6.160557947158813,6.197688884735108,5.840071547031402
1997-08-11,55.099836513755484,A,6.537830829620361,6.562533950805664,6.490185022354126,6.407248473167419,6.167086992263794,6.198867912292481,5.849031689167023
1997-08-12,55.06150319452566,A,6.4496002197265625,6.5678277015686035,6.484891510009765,6.414307045936584,6.171498460769653,6.198112168312073,5.857839345932007
1997-08-13,54.72568624841667,A,6.493710994720459,6.539594078063965,6.4893025875091555,6.420924091339112,6.177145109176636,6.197622146606445,5.8672717094421385
1997-08-14,54.37269631303565,A,6.4496002197265625,6.49547929763794,6.488420200347901,6.427541565895081,6.182968320846558,6.198445048332214,5.877003114223481
1997-08-15,54.12413366273813,A,6.343723297119141,6.454893112182617,6.4910674571990965,6.434600067138672,6.186673994064331,6.198209180831909,5.885974197387696
1997-08-18,53.9086041410602,P,6.326077938079834,6.412542533874512,6.487538242340088,6.4394526243209835,6.192850046157837,6.198849325180054,5.894626114368439
1997-08-19,54.00809849676762,A,6.414308547973633,6.405484199523926,6.486655950546265,6.447834444046021,6.206790361404419,6.200371775627136,5.903834660053253
