Date,GRADE,GPS,DAY,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2018-04-26,,,31.209999084472656,,,,,,
2018-04-27,,,30.520000457763672,,,,,,
2018-04-30,,,31.57999992370605,,,,,,
2018-05-01,,,31.479999542236328,,,,,,
2018-05-02,,,32.75,31.50799980163574,,,,,
2018-05-03,,,33.790000915527344,32.02400016784668,,,,,
2018-05-04,,,34.09000015258789,32.738000106811526,,,,,
2018-05-07,,,33.9900016784668,33.220000457763675,,,,,
2018-05-08,,,32.95000076293945,33.514000701904294,,,,,
2018-05-09,,,33.470001220703125,33.65800094604492,32.583000373840335,,,,
2018-05-10,,,33.130001068115234,33.5260009765625,32.77500057220459,,,,
2018-05-11,,,34.380001068115234,33.58400115966797,33.161000633239745,,,,
2018-05-14,,,36.47999954223633,34.082000732421875,33.651000595092775,,,,
2018-05-15,,,36.95000076293945,34.88200073242187,34.19800071716308,,,,
2018-05-16,,,37.20000076293945,35.62800064086914,34.643000793457034,,,,
2018-05-17,,,38.33000183105469,36.66800079345703,35.09700088500976,,,,
2018-05-18,,,36.81999969482422,37.15600051879883,35.3700008392334,,,,
2018-05-21,,,35.15999984741211,36.89200057983398,35.48700065612793,,,,
2018-05-22,,,34.31999969482422,36.36600036621094,35.624000549316406,,,,
2018-05-23,,,33.970001220703125,35.720000457763675,35.6740005493164,34.12850046157837,,,
2018-05-24,,,33.709999084472656,34.795999908447264,35.73200035095215,34.25350046157837,,,
2018-05-25,,,33.599998474121094,34.15199966430664,35.65400009155273,34.40750036239624,,,
2018-05-28,,,33.599998474121094,33.83999938964844,35.36599998474121,34.508500289916995,,,
2018-05-29,,,34.2400016784668,33.82399978637695,35.09500007629394,34.64650039672851,,,
2018-05-30,,,34.66999816894531,33.96399917602539,34.84199981689453,34.74250030517578,,,
2018-05-31,,,34.52000045776367,34.125999450683594,34.46099967956543,34.7790002822876,,,
2018-06-01,,,34.529998779296875,34.31199951171875,34.2319995880127,34.80100021362305,,,
2018-06-04,,,35.959999084472656,34.783999633789065,34.31199951171875,34.89950008392334,,,
2018-06-05,,,36.34999847412109,35.20599899291992,34.51499938964844,35.06949996948242,,,
2018-06-06,,,38.15999984741211,35.90399932861328,34.93399925231934,35.30399990081787,,,
2018-06-07,,,37.11000061035156,36.42199935913086,35.27399940490723,35.50299987792969,,,
2018-06-08,,,37.400001525878906,36.99599990844727,35.653999710083006,35.65399990081787,,,
2018-06-11,,,36.4900016784668,37.1020004272461,35.94300003051758,35.654500007629395,,,
2018-06-12,,,37.619998931884766,37.35600051879883,36.280999755859376,35.68799991607666,,,
