Date,GRADE,GPS,NOW,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2012-06-29,,,24.600000381469727,,,,,,
2012-07-02,,,24.770000457763672,,,,,,
2012-07-03,,,25.309999465942383,,,,,,
2012-07-04,,,25.309999465942383,,,,,,
2012-07-05,,,25.959999084472656,25.189999771118163,,,,,
2012-07-06,,,25.84000015258789,25.437999725341797,,,,,
2012-07-09,,,25.270000457763672,25.5379997253418,,,,,
2012-07-10,,,25.049999237060547,25.48599967956543,,,,,
2012-07-11,,,23.739999771118164,25.171999740600587,,,,,
2012-07-12,,,24.07999992370605,24.795999908447264,24.992999839782716,,,,
2012-07-13,,,24.18000030517578,24.463999938964843,24.95099983215332,,,,
2012-07-16,,,24.3799991607666,24.28599967956543,24.911999702453613,,,,
2012-07-17,,,24.270000457763672,24.129999923706055,24.80799980163574,,,,
2012-07-18,,,24.229999542236328,24.227999877929687,24.699999809265137,,,,
2012-07-19,,,24.0,24.211999893188477,24.50399990081787,,,,
2012-07-20,,,25.229999542236328,24.421999740600587,24.442999839782715,,,,
2012-07-23,,,24.350000381469727,24.415999984741212,24.35099983215332,,,,
2012-07-24,,,24.84000015258789,24.529999923706054,24.329999923706055,,,,
2012-07-25,,,24.93000030517578,24.670000076293945,24.448999977111818,,,,
2012-07-26,,,24.420000076293945,24.754000091552733,24.482999992370605,24.73799991607666,,,
2012-07-27,,,25.32999992370605,24.77400016784668,24.59799995422363,24.774499893188477,,,
2012-07-30,,,25.38999938964844,24.981999969482423,24.698999977111818,24.805499839782716,,,
2012-07-31,,,27.0,25.413999938964842,24.97199993133545,24.889999866485596,,,
2012-08-01,,,27.709999084472656,25.969999694824217,25.31999988555908,25.00999984741211,,,
2012-08-02,,,29.07999992370605,26.90199966430664,25.827999877929688,25.16599988937378,,,
2012-08-03,,,28.670000076293945,27.56999969482422,26.17199993133545,25.307499885559082,,,
2012-08-06,,,28.020000457763672,28.095999908447265,26.538999938964842,25.44499988555908,,,
2012-08-07,,,28.0,28.295999908447264,26.854999923706053,25.592499923706054,,,
2012-08-08,,,27.56999969482422,28.268000030517577,27.118999862670897,25.783999919891357,,,
2012-08-09,,,29.51000022888184,28.354000091552734,27.62799987792969,26.055499935150145,,,
2012-08-10,,,31.649999618530277,28.95,28.25999984741211,26.42899990081787,,,
2012-08-13,,,32.43000030517578,29.83199996948242,28.963999938964843,26.83149995803833,,,
2012-08-14,,,32.279998779296875,30.687999725341797,29.49199981689453,27.23199987411499,,,
2012-08-15,,,29.68000030517578,31.10999984741211,29.688999938964844,27.504499912261963,,,
2012-08-16,,,29.75,31.157999801635743,29.755999946594237,27.791999912261964,,,
2012-08-17,,,29.600000381469727,30.747999954223634,29.848999977111816,28.010499954223633,,,
2012-08-20,,,29.88999938964844,30.239999771118164,30.035999870300294,28.28749990463257,,,
2012-08-21,,,30.26000022888184,29.836000061035158,30.261999893188477,28.558499908447267,,,
2012-08-22,,,29.850000381469727,29.870000076293945,30.489999961853027,28.804499912261964,,,
2012-08-23,,,29.030000686645508,29.726000213623045,30.442000007629396,29.034999942779542,,,
2012-08-24,,,29.700000762939453,29.746000289916992,30.24700012207031,29.25349998474121,,,
2012-08-27,,,29.270000457763672,29.62200050354004,29.9310001373291,29.447500038146973,,,
2012-08-28,,,29.31999969482422,29.434000396728514,29.635000228881836,29.563500022888185,,,
2012-08-29,,,29.489999771118164,29.362000274658204,29.616000175476074,29.652500057220458,,,
2012-08-30,,,29.780000686645508,29.512000274658202,29.619000244140626,29.687500095367433,,,
2012-08-31,,,31.100000381469727,29.792000198364256,29.769000244140624,29.809000110626222,,,
2012-09-03,,,31.100000381469727,30.158000183105468,29.890000343322754,29.963000106811524,,,
2012-09-04,,,33.66999816894531,31.027999877929688,30.2310001373291,30.24650001525879,,,
2012-09-05,,,34.189998626708984,31.96799964904785,30.664999961853027,30.57749996185303,,,
2012-09-06,,,36.060001373291016,33.22399978637695,31.368000030517578,30.905000019073487,27.782799949645995,,
2012-09-07,,,36.54999923706055,34.313999557495116,32.052999877929686,31.15,28.02179992675781,,
2012-09-10,,,34.38999938964844,34.97199935913086,32.56499977111817,31.247999954223634,28.214199905395507,,
2012-09-11,,,33.0099983215332,34.83999938964844,32.933999633789064,31.28449993133545,28.368199882507323,,
2012-09-12,,,35.04999923706055,35.01199951171875,33.4899995803833,31.552999877929686,28.562999877929688,,
2012-09-13,,,37.5099983215332,35.301998901367185,34.26299934387207,31.94099979400635,28.793999862670898,,
2012-09-14,,,39.060001373291016,35.80399932861328,35.0589994430542,32.41399984359741,29.05839988708496,,
2012-09-17,,,38.18999862670898,36.56399917602539,35.767999267578126,32.82899980545044,29.316799850463866,,
2012-09-18,,,36.79999923706055,37.32199935913086,36.08099937438965,33.155999755859376,29.551799850463865,,
2012-09-19,,,38.650001525878906,38.04199981689453,36.52699966430664,33.595999813079835,29.849999885559082,,
2012-09-20,,,38.0,38.14000015258789,36.720999526977536,34.04449977874756,30.12839988708496,,
2012-09-21,,,39.630001068115234,38.25400009155273,37.028999710083006,34.540999794006346,30.43739990234375,,
2012-09-24,,,40.369998931884766,38.69000015258789,37.62699966430664,35.0959997177124,30.757199897766114,,
2012-09-25,,,39.9900016784668,39.32800064086914,38.325,35.62949981689453,31.071599922180177,,
2012-09-26,,,38.08000183105469,39.2140007019043,38.628000259399414,36.058999919891356,31.34859996795654,,
2012-09-27,,,40.040000915527344,39.62200088500977,38.88100051879883,36.57199993133545,31.66939998626709,,
