Date,GRADE,GPS,MCD,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.272261619567871,,,,,,
1983-11-22,,,1.2482974529266355,,,,,,
1983-11-23,,,1.2330477237701416,,,,,,
1983-11-24,,,1.2330477237701416,,,,,,
1983-11-25,,,1.2395830154418943,1.2452475070953368,,,,,
1983-11-28,,,1.23522686958313,1.2378405570983886,,,,,
1983-11-29,,,1.2308694124221802,1.2343549489974976,,,,,
1983-11-30,,,1.23522686958313,1.2347907781600953,,,,,
1983-12-01,,,1.272261619567871,1.2426335573196412,,,,,
1983-12-02,,,1.2635468244552612,1.2474263191223145,1.2463369131088258,,,,
1983-12-05,,,1.254833698272705,1.2513476848602294,1.244594120979309,,,,
1983-12-06,,,1.2613686323165894,1.2574475288391114,1.2459012389183044,,,,
1983-12-07,,,1.2700822353363037,1.264418601989746,1.2496046900749207,,,,
1983-12-08,,,1.2461185455322266,1.259189987182617,1.2509117722511292,,,,
1983-12-09,,,1.2504764795303345,1.256575918197632,1.252001118659973,,,,
1983-12-12,,,1.2461185455322266,1.254832887649536,1.2530902862548827,,,,
1983-12-13,,,1.2482974529266355,1.2522186517715455,1.2548330903053284,,,,
1983-12-14,,,1.2395830154418943,1.2461188077926635,1.2552687048912048,,,,
1983-12-15,,,1.211262345314026,1.2391475677490233,1.2491687774658202,,,,
1983-12-16,,,1.2221543788909912,1.2334831476211547,1.2450295329093932,1.2456832230091095,,,
1983-12-19,,,1.22869074344635,1.2299975872039794,1.2424152374267579,1.2435046792030335,,,
1983-12-20,,,1.213441014289856,1.2230262994766234,1.2376224756240846,1.2417618572711944,,,
1983-12-21,,,1.22869074344635,1.2208478450775146,1.233483326435089,1.2415440082550049,,,
1983-12-22,,,1.2417620420455933,1.2269477844238281,1.2330476760864257,1.2419797241687776,,,
1983-12-23,,,1.2265125513076782,1.2278194189071656,1.23065128326416,1.2413262009620667,,,
1983-12-26,,,1.2265125513076782,1.2273837804794312,1.2286906838417053,1.240890485048294,,,
1983-12-27,,,1.2417620420455933,1.2330479860305785,1.228037142753601,1.2414351165294648,,,
1983-12-28,,,1.2330477237701416,1.233919382095337,1.2273836135864258,1.2413261592388154,,,
1983-12-29,,,1.2308694124221802,1.2317408561706542,1.2293443202972412,1.2392565488815308,,,
1983-12-30,,,1.22869074344635,1.2321764945983886,1.229997956752777,1.2375137448310851,,,
1984-01-02,,,1.22869074344635,1.232612133026123,1.229997956752777,1.2362065970897675,,,
1984-01-03,,,1.213441014289856,1.2269479274749755,1.229997956752777,1.2338102161884308,,,
1984-01-04,,,1.23522686958313,1.2273837566375732,1.230651569366455,1.232067447900772,,,
1984-01-05,,,1.2591896057128906,1.2330477952957153,1.2323943257331849,1.2327210009098053,,,
1984-01-06,,,1.2591896057128906,1.2391475677490233,1.235662031173706,1.2331566572189332,,,
1984-01-09,,,1.2221543788909912,1.2378402948379517,1.2352262139320374,1.2319584488868713,,,
1984-01-10,,,1.1960128545761108,1.2343546628952027,1.2306512951850892,1.229344218969345,,,
1984-01-11,,,1.2069056034088137,1.2286904096603393,1.2280370831489562,1.227710348367691,,,
1984-01-12,,,1.1916559934616089,1.215183687210083,1.2241157412528991,1.2267300307750701,,,
1984-01-13,,,1.1851205825805664,1.2003698825836182,1.219758725166321,1.224878340959549,,,
1984-01-16,,,1.1851205825805664,1.1929631233215332,1.2154017090797424,1.2226998329162597,,,
1984-01-17,,,1.1981908082962036,1.1933987140655518,1.213876688480377,1.221937322616577,,,
1984-01-18,,,1.2003695964813232,1.1920915126800538,1.2103909611701966,1.2205212652683257,,,
