Date,GRADE,GPS,GEHC,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2022-12-15,,,59.841102600097656,,,,,,
2022-12-16,,,56.58972930908203,,,,,,
2022-12-19,,,56.350364685058594,,,,,,
2022-12-20,,,57.0584831237793,,,,,,
2022-12-21,,,56.80914688110352,57.32976531982422,,,,,
2022-12-22,,,57.44745635986328,56.851036071777344,,,,,
2022-12-23,,,57.34771347045898,57.00263290405273,,,,,
2022-12-26,,,57.34771347045898,57.20210266113281,,,,,
2022-12-27,,,57.29785537719727,57.249977111816406,,,,,
2022-12-28,,,57.34771347045898,57.3576904296875,57.34372787475586,,,,
2022-12-29,,,57.84639358520508,57.43747787475586,57.1442569732666,,,,
2022-12-30,,,58.22539138793945,57.613013458251956,57.307823181152344,,,,
2023-01-02,,,58.22539138793945,57.78854904174805,57.49532585144043,,,,
2023-01-03,,,55.851688385009766,57.499315643310545,57.37464637756348,,,,
2023-01-04,,,60.32980346679688,58.095733642578125,57.72671203613281,,,,
2023-01-05,,,58.84375,58.29520492553711,57.86634140014648,,,,
2023-01-06,,,58.79388427734375,58.40890350341797,58.01095848083496,,,,
2023-01-09,,,57.94612884521485,58.353050994873044,58.07080001831055,,,,
2023-01-10,,,59.841102600097656,59.150933837890626,58.325124740600586,,,,
2023-01-11,,,64.81787872314453,60.04854888916016,59.07214126586914,58.2079345703125,,,
2023-01-12,,,65.47613525390625,61.37502593994141,59.83511543273926,58.48968620300293,,,
2023-01-13,,,65.2667007446289,62.66958923339844,60.5392463684082,58.92353477478027,,,
2023-01-16,,,65.2667007446289,64.13370361328126,61.24337730407715,59.36935157775879,,,
2023-01-17,,,63.16228103637695,64.79793930053711,61.974436569213864,59.67454147338867,,,
2023-01-18,,,61.91558837890625,64.21748123168945,62.1330150604248,59.92986354827881,,,
2023-01-19,,,63.77066040039063,63.87638626098633,62.625706100463866,60.24602375030518,,,
2023-01-20,,,66.59315490722656,64.14167709350586,63.40563316345215,60.708295822143555,,,
2023-01-23,,,69.33587646484375,64.95551223754883,64.54460792541504,61.30770397186279,,,
2023-01-24,,,69.4156723022461,66.20619049072266,65.50206489562989,61.913594818115236,,,
2023-01-25,,,68.52803039550781,67.52867889404297,65.87308006286621,62.47261066436768,,,
2023-01-26,,,69.03667449951172,68.58188171386719,66.22913398742676,63.03212471008301,,,
2023-01-27,,,69.89439392089844,69.24212951660157,66.69190330505371,63.61557483673096,,,
2023-01-30,,,71.3106460571289,69.6370834350586,67.29629783630371,64.26983757019043,,,
2023-01-31,,,69.33587646484375,69.62112426757812,67.9136573791504,64.94404697418213,,,
2023-02-01,,,69.82460021972656,69.88043823242188,68.70455856323242,65.41878681182861,,,
2023-02-02,,,70.462890625,70.16568145751953,69.37378158569337,65.99974384307862,,,
2023-02-03,,,70.36316680908203,70.25943603515626,69.7507827758789,66.57820796966553,,,
2023-02-06,,,71.66968536376953,70.33124389648438,69.98416366577149,67.26438579559326,,,
2023-02-07,,,71.44029998779297,70.75212860107422,70.18662643432617,67.84434566497802,,,
2023-02-08,,,69.9841537475586,70.78403930664062,70.33223876953124,68.10265941619873,,,
2023-02-09,,,68.22882843017578,70.33722686767578,70.25145416259765,68.2402940750122,,,
2023-02-10,,,69.0566177368164,70.07591705322265,70.16767654418945,68.42978992462159,,,
2023-02-13,,,69.2461166381836,69.59120330810546,69.96122360229492,68.62876071929932,,,
2023-02-14,,,72.41770935058594,69.78668518066407,70.26940689086913,69.09153213500977,,,
2023-02-15,,,72.12847137451172,70.21554870605469,70.49979400634766,69.60217628479003,,,
2023-02-16,,,70.72219848632812,70.71422271728515,70.52572479248047,69.94975318908692,,,
2023-02-17,,,72.97621154785156,71.49814147949219,70.78702926635742,70.26890602111817,,,
