Date,GRADE,GPS,ENPH,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2012-03-30,,,7.340000152587891,,,,,,
2012-04-02,,,7.809999942779541,,,,,,
2012-04-03,,,7.639999866485596,,,,,,
2012-04-04,,,7.449999809265137,,,,,,
2012-04-05,,,7.429999828338623,7.533999919891357,,,,,
2012-04-06,,,7.429999828338623,7.551999855041504,,,,,
2012-04-09,,,6.980000019073486,7.385999870300293,,,,,
2012-04-10,,,7.070000171661377,7.271999931335449,,,,,
2012-04-11,,,7.130000114440918,7.207999992370605,,,,,
2012-04-12,,,7.300000190734863,7.182000064849854,7.357999992370606,,,,
2012-04-13,,,7.099999904632568,7.116000080108643,7.333999967575073,,,,
2012-04-16,,,7.159999847412109,7.152000045776367,7.26899995803833,,,,
2012-04-17,,,7.0,7.138000011444092,7.20499997138977,,,,
2012-04-18,,,7.289999961853027,7.169999980926514,7.188999986648559,,,,
2012-04-19,,,7.039999961853027,7.117999935150147,7.15,,,,
2012-04-20,,,7.019999980926514,7.101999950408936,7.109000015258789,,,,
2012-04-23,,,6.980000019073486,7.065999984741211,7.109000015258789,,,,
2012-04-24,,,6.909999847412109,7.0479999542236325,7.092999982833862,,,,
2012-04-25,,,6.880000114440918,6.965999984741211,7.067999982833863,,,,
2012-04-26,,,6.860000133514404,6.9300000190734865,7.023999977111816,7.190999984741211,,,
2012-04-27,,,6.75,6.876000022888183,6.98899998664856,7.161499977111816,,,
2012-04-30,,,7.28000020980835,6.936000061035156,7.001000022888183,7.134999990463257,,,
2012-05-01,,,7.920000076293945,7.138000106811523,7.093000030517578,7.1490000009536745,,,
2012-05-02,,,8.0,7.3620000839233395,7.164000034332275,7.176500010490417,,,
2012-05-03,,,8.819999694824219,7.753999996185303,7.3420000076293945,7.246000003814697,,,
2012-05-04,,,8.359999656677246,8.075999927520751,7.475999975204468,7.292499995231628,,,
2012-05-07,,,8.34000015258789,8.28799991607666,7.611999988555908,7.360500001907349,,,
2012-05-08,,,8.479999542236328,8.399999809265136,7.76899995803833,7.430999970436096,,,
2012-05-09,,,8.649999618530273,8.529999732971191,7.9459999084472654,7.506999945640564,,,
2012-05-10,,,8.600000381469727,8.485999870300294,8.119999933242799,7.571999955177307,,,
2012-05-11,,,8.430000305175781,8.5,8.287999963760376,7.638499975204468,,,
2012-05-14,,,8.220000267028809,8.476000022888183,8.381999969482422,7.691499996185303,,,
2012-05-15,,,8.399999618530273,8.460000038146973,8.429999923706054,7.761499977111816,,,
2012-05-16,,,8.319999694824219,8.394000053405762,8.461999893188477,7.812999963760376,,,
2012-05-17,,,8.40999984741211,8.355999946594238,8.420999908447266,7.88149995803833,,,
2012-05-18,,,7.989999771118164,8.267999839782714,8.383999919891357,7.929999947547913,,,
2012-05-21,,,8.100000381469727,8.243999862670899,8.359999942779542,7.985999965667725,,,
2012-05-22,,,7.989999771118164,8.161999893188476,8.310999965667724,8.039999961853027,,,
2012-05-23,,,7.900000095367432,8.07799997329712,8.23600001335144,8.090999960899353,,,
2012-05-24,,,7.849999904632568,7.965999984741211,8.160999965667724,8.140499949455261,,,
2012-05-25,,,7.789999961853027,7.926000022888184,8.09699993133545,8.192499947547912,,,
2012-05-28,,,7.789999961853027,7.863999938964843,8.053999900817871,8.217999935150146,,,
2012-05-29,,,7.800000190734863,7.826000022888183,7.99399995803833,8.211999940872193,,,
2012-05-30,,,7.010000228881836,7.648000049591064,7.863000011444091,8.162499952316285,,,
2012-05-31,,,6.900000095367432,7.4580000877380375,7.712000036239624,8.066499972343445,,,
2012-06-01,,,5.949999809265137,7.090000057220459,7.508000040054322,7.945999979972839,,,
2012-06-04,,,4.960000038146973,6.524000072479248,7.194000005722046,7.776999974250794,,,
2012-06-05,,,5.329999923706055,6.030000019073486,6.928000020980835,7.61949999332428,,,
2012-06-06,,,6.690000057220459,5.965999984741211,6.807000017166137,7.521500015258789,,,
2012-06-07,,,6.599999904632568,5.905999946594238,6.682000017166137,7.4214999914169315,7.4689999771118165,,
2012-06-08,,,6.980000019073486,6.111999988555908,6.601000022888184,7.348999977111816,7.461799974441528,,
2012-06-11,,,6.449999809265137,6.409999942779541,6.4670000076293945,7.260499954223633,7.43459997177124,,
2012-06-12,,,7.079999923706055,6.759999942779541,6.394999980926514,7.194499969482422,7.423399972915649,,
2012-06-13,,,7.019999980926514,6.825999927520752,6.395999956130981,7.129499983787537,7.414799976348877,,
2012-06-14,,,7.239999771118164,6.9539999008178714,6.429999923706054,7.070999979972839,7.410999975204468,,
2012-06-15,,,7.010000228881836,6.959999942779541,6.535999965667725,7.022000002861023,7.402599983215332,,
2012-06-18,,,6.949999809265137,7.059999942779541,6.734999942779541,6.964499974250794,7.401999979019165,,
2012-06-19,,,7.0,7.04399995803833,6.9019999504089355,6.914999985694886,7.400599975585937,,
2012-06-20,,,6.800000190734863,7.0,6.912999963760376,6.8599999904632565,7.393999977111816,,
2012-06-21,,,6.599999904632568,6.872000026702881,6.912999963760376,6.7974999904632565,7.37999997138977,,
2012-06-22,,,6.610000133514404,6.792000007629395,6.875999975204468,6.738499999046326,7.370199975967407,,
2012-06-25,,,6.28000020980835,6.658000087738037,6.859000015258789,6.663000011444092,7.352599983215332,,
2012-06-26,,,5.989999771118164,6.45600004196167,6.75,6.572499990463257,7.332399978637695,,
2012-06-27,,,5.849999904632568,6.265999984741211,6.632999992370605,6.514499974250794,7.3035999774932865,,
2012-06-28,,,6.289999961853027,6.203999996185303,6.538000011444092,6.483999967575073,7.288599977493286,,
2012-06-29,,,6.21999979019165,6.125999927520752,6.458999967575073,6.497499966621399,7.272599973678589,,
2012-07-02,,,6.190000057220459,6.1079998970031735,6.382999992370605,6.558999967575073,7.256799974441528,,
2012-07-03,,,6.190000057220459,6.147999954223633,6.3019999980926515,6.601999974250793,7.242399978637695,,
2012-07-04,,,6.190000057220459,6.215999984741211,6.240999984741211,6.576999974250794,7.228599977493286,,
