Date,GRADE,GPS,QRVO,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2015-01-02,,,70.4000015258789,,,,,,
2015-01-05,,,67.62999725341797,,,,,,
2015-01-06,,,64.66999816894531,,,,,,
2015-01-07,,,66.6500015258789,,,,,,
2015-01-08,,,67.69000244140625,67.40800018310547,,,,,
2015-01-09,,,67.11000061035156,66.75,,,,,
2015-01-12,,,65.5199966430664,66.32799987792968,,,,,
2015-01-13,,,65.0199966430664,66.3979995727539,,,,,
2015-01-14,,,64.58999633789062,65.98599853515626,,,,,
2015-01-15,,,64.38999938964844,65.32599792480468,66.36699905395508,,,,
2015-01-16,,,65.80999755859375,65.06599731445313,65.90799865722656,,,,
2015-01-19,,,65.80999755859375,65.12399749755859,65.72599868774414,,,,
2015-01-20,,,67.95999908447266,65.71199798583984,66.05499877929688,,,,
2015-01-21,,,68.83999633789062,66.56199798583984,66.27399826049805,,,,
2015-01-22,,,70.61000061035156,67.80599822998047,66.56599807739258,,,,
2015-01-23,,,73.37000274658203,69.31799926757813,67.19199829101562,,,,
2015-01-26,,,73.1500015258789,70.78600006103515,67.95499877929687,,,,
2015-01-27,,,73.75,71.94400024414062,68.82799911499023,,,,
2015-01-28,,,75.5,73.2760009765625,69.91899948120117,,,,
2015-01-29,,,75.76000213623047,74.30600128173828,71.05599975585938,68.71149940490723,,,
2015-01-30,,,73.87000274658203,74.40600128173828,71.8620002746582,68.88499946594239,,,
2015-02-02,,,68.72000122070312,73.52000122070312,72.15300064086914,68.93949966430664,,,
2015-02-03,,,68.5199966430664,72.4740005493164,72.20900039672851,69.13199958801269,,,
2015-02-04,,,68.33000183105469,71.04000091552734,72.15800094604492,69.21599960327148,,,
2015-02-05,,,67.38999938964844,69.36600036621094,71.83600082397462,69.2009994506836,,,
2015-02-06,,,65.88999938964844,67.76999969482422,71.08800048828125,69.13999938964844,,,
2015-02-09,,,63.7400016784668,66.77399978637695,70.14700050354004,69.05099964141846,,,
2015-02-10,,,65.0199966430664,66.07399978637696,69.27400016784668,69.05099964141846,,,
2015-02-11,,,64.75,65.35799942016601,68.19900016784668,69.05899982452392,,,
2015-02-12,,,66.19999694824219,65.11999893188477,67.24299964904785,69.14949970245361,,,
2015-02-13,,,70.02999877929688,65.94799880981445,66.85899925231934,69.36049976348878,,,
2015-02-16,,,70.02999877929688,67.20599822998047,66.98999900817871,69.57149982452393,,,
2015-02-17,,,69.44000244140625,68.08999938964844,67.08199958801269,69.6454999923706,,,
2015-02-18,,,67.54000091552734,68.6479995727539,67.00299949645996,69.58050022125244,,,
2015-02-19,,,65.30000305175781,68.46800079345704,66.7939998626709,69.31500034332275,,,
2015-02-20,,,65.16999816894531,67.49600067138672,66.72199974060058,68.90500011444092,,,
2015-02-23,,,65.05000305175781,66.5000015258789,66.85299987792969,68.50000019073487,,,
2015-02-24,,,69.33999633789062,66.48000030517578,67.28499984741211,68.2795000076294,,,
2015-02-25,,,67.20999908447266,66.41399993896485,67.53099975585937,67.86499996185303,,,
2015-02-26,,,71.52999877929688,67.65999908447266,68.06399993896484,67.65349979400635,,,
2015-02-27,,,69.4000015258789,68.50599975585938,68.00100021362304,67.4299997329712,,,
2015-03-02,,,69.3499984741211,69.36599884033203,67.93300018310546,67.4614995956421,,,
2015-03-03,,,70.83999633789062,69.66599884033204,68.0729995727539,67.5774995803833,,,
2015-03-04,,,72.0199966430664,70.62799835205078,68.52099914550782,67.76199932098389,,,
2015-03-05,,,74.51000213623047,71.2239990234375,69.44199905395507,68.117999458313,,,
2015-03-06,,,72.9800033569336,71.93999938964843,70.2229995727539,68.47249965667724,,,
2015-03-09,,,74.83000183105469,73.03600006103515,71.2009994506836,69.02699966430664,,,
2015-03-10,,,72.1500015258789,73.29800109863281,71.48199996948242,69.38349990844726,,,
2015-03-11,,,72.94999694824219,73.48400115966797,72.05599975585938,69.79349975585937,,,
2015-03-12,,,73.41999816894531,73.26600036621093,72.24499969482422,70.15449981689453,68.99499961853027,,
2015-03-13,,,72.56999969482422,73.18399963378906,72.56199951171875,70.2814998626709,69.03839958190918,,
2015-03-16,,,76.33000183105469,73.48399963378907,73.2599998474121,70.59650001525878,69.21239967346192,,
