Date,GRADE,GPS,AES,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2006-05-10,60.235822955307476,A,12.173651695251465,11.95567455291748,11.714394569396973,11.564965391159058,11.622406063079834,11.60718913078308,11.167779293060303
2006-05-11,60.90607749474785,A,12.084540367126465,12.098249435424805,11.782940101623534,11.599238157272339,11.62912353515625,11.61966438293457,11.172988739013672
2006-05-12,61.31186266902429,A,12.461540222167969,12.214776802062989,11.865880298614503,11.652360916137695,11.641050491333008,11.634744358062743,11.181488370895385
2006-05-15,61.511677864311984,A,12.50951862335205,12.283321189880372,11.964585399627685,11.703084421157836,11.658049755096435,11.650304117202758,11.191872968673707
2006-05-16,61.565964925943035,A,12.454678535461426,12.336785888671875,12.066031646728515,11.746953201293945,11.672307071685792,11.665246925354005,11.202223281860352
2006-05-17,61.47940648603869,A,12.303885459899902,12.362832641601562,12.159253597259521,11.793221235275269,11.683959770202637,11.679572916030883,11.210722908973693
2006-05-18,61.551226746144316,A,12.379283905029297,12.42178134918213,12.260015392303467,11.839146709442138,11.694515743255614,11.694515781402588,11.218879814147948
2006-05-19,61.19848476384235,A,12.235339164733888,12.376541137695312,12.29565896987915,11.88198742866516,11.703152465820313,11.708361940383911,11.227208070755005
2006-05-22,60.86444848941773,A,12.358717918395996,12.346380996704102,12.314851093292237,11.927570009231568,11.71617603302002,11.723441886901856,11.236290307044984
2006-05-23,60.47271731241662,A,12.207919120788574,12.297029113769531,12.316907501220703,11.969382667541504,11.72741750717163,11.734477663040161,11.245166907310486
2006-05-24,60.067884979041,A,12.091390609741213,12.254530143737792,12.308681392669678,12.011537981033324,11.732626819610596,11.73961853981018,11.253358058929443
2006-05-25,59.66444961775915,A,12.20106601715088,12.21888656616211,12.32033395767212,12.051637029647827,11.73564287185669,11.746952924728394,11.261891937255859
2006-05-26,59.56950840205292,A,12.33815097808838,12.23944892883301,12.30799503326416,12.086937665939331,11.7415376663208,11.753807392120361,11.27107699394226
2006-05-29,59.45001194626371,P,12.33815097808838,12.235335540771485,12.290858268737793,12.12772183418274,11.753327350616456,11.762649660110474,11.279268126487732
2006-05-30,59.49264539518723,P,12.303885459899902,12.25452880859375,12.27577896118164,12.170905303955077,11.767173538208008,11.771903266906738,11.28711657524109
2006-05-31,59.96789814186096,A,12.612335205078123,12.358717727661134,12.306623935699463,12.232938766479492,11.785680713653564,11.784584131240845,11.297603988647461
2006-06-01,60.47073977356116,A,12.74942684173584,12.468389892578125,12.343638229370118,12.301826810836792,11.807341022491455,11.800143890380859,11.307988615036011
2006-06-02,60.95652927518024,A,12.859101295471191,12.572579956054687,12.406014442443848,12.350836706161498,11.833388195037841,11.815429496765137,11.31895586013794
