Date,GRADE,GPS,MSCI,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2007-11-15,,,23.372631072998047,,,,,,
2007-11-16,,,22.351755142211918,,,,,,
2007-11-19,,,23.059200286865234,,,,,,
2007-11-20,,,24.465145111083984,,,,,,
2007-11-21,,,23.865158081054688,23.422777938842774,,,,,
2007-11-22,,,23.865158081054688,23.5212833404541,,,,,
2007-11-23,,,24.536785125732425,23.958289337158202,,,,,
2007-11-26,,,24.89498710632324,24.325446701049806,,,,,
2007-11-27,,,24.16067314147949,24.264552307128906,,,,,
2007-11-28,,,24.447229385375977,24.380966567993163,23.90187225341797,,,,
2007-11-29,,,24.447229385375977,24.497380828857423,24.00933208465576,,,,
2007-11-30,,,24.76065826416016,24.542155456542968,24.250222396850585,,,,
2007-12-03,,,25.04722023010254,24.57260208129883,24.449024391174316,,,,
2007-12-04,,,26.28301239013672,24.997069931030275,24.63081111907959,,,,
2007-12-05,,,26.22032356262207,25.35168876647949,24.866327667236327,,,,
2007-12-06,,,25.888996124267575,25.640042114257813,25.068711471557616,,,,
2007-12-07,,,25.862123489379883,25.86033515930176,25.201245307922363,,,,
2007-12-10,,,25.96958541870117,26.044808197021485,25.308705139160157,,,,
2007-12-11,,,25.96958541870117,25.982122802734374,25.489596366882324,,,,
2007-12-12,,,25.503925323486328,25.838843154907227,25.59526596069336,24.748569107055665,,,
2007-12-13,,,25.91585922241211,25.84421577453613,25.742128944396974,24.875730514526367,,,
2007-12-14,,,25.718843460083008,25.815559768676756,25.83794746398926,25.04408493041992,,,
2007-12-17,,,25.056175231933597,25.63287773132324,25.838842964172365,25.14393367767334,,,
2007-12-18,,,25.52183723449707,25.543328094482423,25.7627254486084,25.196768283843994,,,
2007-12-19,,,25.924819946289062,25.62750701904297,25.7331750869751,25.299751377105714,,,
2007-12-20,,,25.871082305908203,25.618551635742186,25.73138370513916,25.40004758834839,,,
2007-12-21,,,30.19637107849121,26.514057159423828,26.164808464050292,25.68302688598633,,,
2007-12-24,,,30.37546157836914,27.577914428710937,26.60539608001709,25.957050609588624,,,
2007-12-25,,,30.37546157836914,28.54863929748535,27.045983695983885,26.267790031433105,,,
2007-12-26,,,30.76054000854492,29.515783309936523,27.571645164489745,26.583455562591553,,,
2007-12-27,,,32.73063659667969,30.88769416809082,28.253122901916505,26.99762592315674,,,
2007-12-28,,,33.42017364501953,31.532454681396484,29.023255920410158,27.43060169219971,,,
2007-12-31,,,34.38731002807617,32.33482437133789,29.956369400024414,27.89760618209839,,,
2008-01-01,,,34.38731002807617,33.137194061279295,30.842916679382324,28.30282106399536,,,
2008-01-02,,,30.31277847290039,33.04764175415039,31.281712532043457,28.507443809509276,,,
2008-01-03,,,27.572540283203125,32.016022491455075,31.45185832977295,28.591621017456056,,,
2008-01-04,,,26.99941635131836,30.731871032714842,31.132162857055665,28.64848566055298,,,
2008-01-07,,,25.19945526123047,28.894300079345705,30.614562225341796,28.609979152679443,,,
