Date,GRADE,GPS,GRMN,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2000-12-08,,,5.333289623260498,,,,,,
2000-12-11,,,5.649952411651611,,,,,,
2000-12-12,,,5.29995584487915,,,,,,
2000-12-13,,,5.29995584487915,,,,,,
2000-12-14,,,5.366619110107422,5.389954566955566,,,,,
2000-12-15,,,5.366619110107422,5.396620464324951,,,,,
2000-12-18,,,5.349954128265381,5.336620807647705,,,,,
2000-12-19,,,5.233288764953613,5.323287391662598,,,,,
2000-12-20,,,4.866625308990479,5.236621284484864,,,,,
2000-12-21,,,4.84995698928833,5.133288860321045,5.261621713638306,,,,
2000-12-22,,,5.13329029083252,5.086623096466065,5.241621780395508,,,,
2000-12-25,,,5.13329029083252,5.043290328979493,5.189955568313598,,,,
2000-12-26,,,5.066623687744141,5.0099573135375985,5.166622352600098,,,,
2000-12-27,,,4.949958324432373,5.026623916625978,5.13162260055542,,,,
2000-12-28,,,4.9666242599487305,5.049957370758057,5.091623115539551,,,,
2000-12-29,,,5.266623020172119,5.076623916625977,5.081623506546021,,,,
2001-01-01,,,5.266623020172119,5.103290462493897,5.073290395736694,,,,
2001-01-02,,,5.13329029083252,5.116623783111573,5.063290548324585,,,,
2001-01-03,,,4.699960708618164,5.06662425994873,5.046624088287354,,,,
2001-01-04,,,4.816625118255615,5.036624431610107,5.043290901184082,5.152456307411194,,,
2001-01-05,,,4.833292007446289,4.949958229064942,5.013291072845459,5.127456426620483,,,
2001-01-08,,,4.666627407073975,4.829959106445313,4.966624784469604,5.078290176391602,,,
2001-01-09,,,4.599961757659912,4.723293399810791,4.919958591461182,5.043290472030639,,,
2001-01-10,,,4.533295631408691,4.689960384368897,4.8782923221588135,5.004957461357117,,,
2001-01-11,,,4.84995698928833,4.696626758575439,4.866625595092773,4.979124355316162,,,
2001-01-12,,,5.099957466125488,4.74995985031128,4.849959039688111,4.965791273117065,,,
2001-01-15,,,5.099957466125488,4.836625862121582,4.833292484283447,4.953291440010071,,,
2001-01-16,,,5.066623687744141,4.929958248138428,4.826625823974609,4.944958186149597,,,
2001-01-17,,,5.166623115539551,5.056623744964599,4.873292064666748,4.959958076477051,,,
2001-01-18,,,5.066623687744141,5.099957084655761,4.8982919216156,4.9707914113998415,,,
2001-01-19,,,4.899959564208984,5.059957504272461,4.90495867729187,4.959124875068665,,,
2001-01-22,,,4.766625881195068,4.993291187286377,4.914958524703979,4.940791654586792,,,
2001-01-23,,,4.766625881195068,4.933291625976563,4.931624937057495,4.925791764259339,,,
2001-01-24,,,4.533295631408691,4.8066261291503904,4.931624937057495,4.904958629608155,,,
2001-01-25,,,4.766625881195068,4.746626567840576,4.923291826248169,4.894958710670471,,,
2001-01-26,,,4.9666242599487305,4.759959506988525,4.9099585056304935,4.879958772659302,,,
2001-01-29,,,5.316622734069824,4.869958877563477,4.931625032424927,4.882458758354187,,,
2001-01-30,,,5.349954128265381,4.986624526977539,4.959958076477051,4.89329195022583,,,
2001-01-31,,,5.183290958404541,5.116623592376709,4.96162486076355,4.917458462715149,,,
2001-02-01,,,5.29995584487915,5.223289585113525,4.984958076477051,4.941624999046326,,,
2001-02-02,,,5.766618728637695,5.383288478851318,5.071623992919922,4.988291335105896,,,
2001-02-05,,,6.366611003875732,5.5932861328125,5.231622505187988,5.073290514945984,,,
2001-02-06,,,6.599944591522217,5.843284225463867,5.414954376220703,5.173289656639099,,,
2001-02-07,,,6.499946594238281,6.106615352630615,5.611619472503662,5.271622204780579,,,
2001-02-08,,,6.69994068145752,6.386612319946289,5.804950952529908,5.364121389389038,,,
2001-02-09,,,6.399946689605713,6.513277912139893,5.9482831954956055,5.4291208505630495,,,
2001-02-12,,,6.266613006591797,6.493278312683105,6.043282222747803,5.487453627586365,,,
2001-02-13,,,6.499946594238281,6.4732787132263185,6.158281469345093,5.559119772911072,,,
2001-02-14,,,5.93328332901001,6.359946060180664,6.2332807064056395,5.597452783584595,,,
2001-02-15,,,5.666619300842285,6.153281784057617,6.269947052001953,5.627452564239502,5.291621932983398,,
2001-02-16,,,5.699950695037842,6.013282585144043,6.263280248641967,5.667452120780945,5.2989551544189455,,
2001-02-19,,,5.699950695037842,5.899950122833252,6.196614217758179,5.7141183614730835,5.29995512008667,,
2001-02-20,,,5.233288764953613,5.6466185569763185,6.0599486351013185,5.737451505661011,5.298621778488159,,
2001-02-21,,,5.233288764953613,5.506619644165039,5.933282852172852,5.772451162338257,5.297288436889648,,
2001-02-22,,,4.949958324432373,5.363287448883057,5.758284616470337,5.781617784500122,5.288955221176147,,
2001-02-23,,,5.466619491577148,5.316621208190918,5.66495189666748,5.806617546081543,5.290955228805542,,
2001-02-26,,,5.658285140991211,5.308288097381592,5.604119110107422,5.823700666427612,5.2971218490600585,,
2001-02-27,,,5.8666181564331055,5.43495397567749,5.540786266326904,5.849533867835999,5.309788436889648,,
2001-02-28,,,5.833285808563232,5.554953384399414,5.530786514282227,5.8820336103439335,5.329121646881103,,
2001-03-01,,,5.333289623260498,5.631619644165039,5.4974535465240475,5.883700299263,5.338788299560547,,
2001-03-02,,,5.366619110107422,5.611619567871093,5.464120388031006,5.863700318336487,5.343454875946045,,
2001-03-05,,,5.566620826721191,5.59328670501709,5.4507874011993405,5.82370080947876,5.352121486663818,,
2001-03-06,,,5.333289623260498,5.486620998382568,5.4607874870300295,5.760368061065674,5.357454805374146,,
2001-03-07,,,5.499954700469971,5.419954776763916,5.487454080581665,5.7103684663772585,5.3684547328948975,,
