Date,GRADE,GPS,CMS,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,5.6849870681762695,,,,,,
1983-11-22,,,5.6849870681762695,,,,,,
1983-11-23,,,5.641916275024414,,,,,,
1983-11-24,,,5.641916275024414,,,,,,
1983-11-25,,,5.641916275024414,5.659144592285156,,,,,
1983-11-28,,,5.598849773406982,5.641917133331299,,,,,
1983-11-29,,,5.598849773406982,5.624689674377441,,,,,
1983-11-30,,,5.3835129737854,5.573009014129639,,,,,
1983-12-01,,,5.211236953735352,5.486873149871826,,,,,
1983-12-02,,,5.211236953735352,5.400737285614014,5.529940938949585,,,,
1983-12-05,,,5.168169021606445,5.314601135253906,5.478259134292602,,,,
1983-12-06,,,5.168169021606445,5.228464984893799,5.42657732963562,,,,
1983-12-07,,,5.125102519989014,5.176782894134521,5.37489595413208,,,,
1983-12-08,,,5.168169021606445,5.16816930770874,5.327521228790284,,,,
1983-12-09,,,5.168169021606445,5.159555721282959,5.280146503448487,,,,
1983-12-12,,,5.254303932189941,5.176782703399658,5.245691919326783,,,,
1983-12-13,,,5.168169021606445,5.176782703399658,5.2026238441467285,,,,
1983-12-14,,,5.168169021606445,5.185396003723144,5.181089448928833,,,,
1983-12-15,,,5.168169021606445,5.185396003723144,5.176782655715942,,,,
1983-12-16,,,5.082035541534424,5.16816930770874,5.163862514495849,5.3469017267227175,,,
1983-12-19,,,5.082035541534424,5.133715629577637,5.155249166488647,5.316754150390625,,,
1983-12-20,,,5.082035541534424,5.116488933563232,5.146635818481445,5.286606574058533,,,
1983-12-21,,,5.038966178894043,5.090648365020752,5.138022184371948,5.256459069252014,,,
1983-12-22,,,4.565215110778809,4.970057582855224,5.077726793289185,5.202624011039734,,,
1983-12-23,,,4.866693496704102,4.92698917388916,5.04757924079895,5.163862872123718,,,
1983-12-26,,,4.866693496704102,4.883920764923095,5.008818197250366,5.127255058288574,,,
1983-12-27,,,4.866693496704102,4.840852355957031,4.978670644760132,5.0906472444534305,,,
1983-12-28,,,4.737488269805908,4.780556774139404,4.9356025695800785,5.058346009254455,,,
1983-12-29,,,4.780557155609131,4.823625183105468,4.896841382980346,5.036812019348145,,,
1983-12-30,,,4.866693496704102,4.823625183105468,4.875307178497314,5.019584846496582,,,
1984-01-02,,,4.866693496704102,4.823625183105468,4.853772974014282,5.004511070251465,,,
1984-01-03,,,4.995899200439453,4.849466323852539,4.845159339904785,4.995897579193115,,,
1984-01-04,,,5.254303932189941,4.952829456329345,4.866693115234375,5.002357649803161,,,
1984-01-05,,,5.340439796447754,5.06480598449707,4.944215583801269,5.010971188545227,,,
1984-01-06,,,5.3835129737854,5.16816987991333,4.995897531509399,5.0217383861541744,,,
1984-01-09,,,5.426572322845459,5.280145645141602,5.051885414123535,5.0303518056869505,,,
1984-01-10,,,5.297373294830322,5.340440464019776,5.094953393936157,5.036812019348145,,,
1984-01-11,,,5.168169021606445,5.3232134819030765,5.138021469116211,5.036812019348145,,,
1984-01-12,,,5.168169021606445,5.288759326934814,5.176782655715942,5.036812019348145,,,
1984-01-13,,,5.082035541534424,5.228463840484619,5.198316860198974,5.036812019348145,,,
1984-01-16,,,4.737488269805908,5.090647029876709,5.185396337509156,5.019584655761719,,,
1984-01-17,,,4.780557155609131,4.98728380203247,5.163862133026123,5.004510736465454,,,
1984-01-18,,,4.737488269805908,4.901147651672363,5.112180566787719,4.989436841011047,,,
1984-01-19,,,4.823624134063721,4.832238674163818,5.060499000549316,5.002357292175293,,,
1984-01-20,,,4.737488269805908,4.763329219818115,4.995896530151367,4.995897030830383,,,
1984-01-23,,,4.565215110778809,4.728874588012696,4.909760808944702,4.980823111534119,,,
1984-01-24,,,4.565215110778809,4.685806179046631,4.836544990539551,4.965749192237854,,,
