Date,GRADE,GPS,ANSS,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1996-11-14,,,3.0,3.059375,3.0671875,3.18828125,3.11375,3.0965625,
1996-11-15,,,3.0,3.040625,3.0671875,3.14921875,3.12,3.09375,
1996-11-18,,,3.0,3.015625,3.0640625,3.11328125,3.125,3.0915625,
1996-11-19,,,2.9375,2.996875,3.0484375,3.08828125,3.13,3.0884375,
1996-11-20,,,2.96875,2.98125,3.0328125,3.07734375,3.135,3.0840625,
1996-11-21,,,2.875,2.95625,3.0078125,3.06484375,3.139375,3.07875,
1996-11-22,,,2.875,2.93125,2.9859375,3.04609375,3.141875,3.075,
1996-11-25,,,2.84375,2.9,2.9578125,3.02421875,3.143125,3.070625,
1996-11-26,,,2.84375,2.88125,2.9390625,3.00390625,3.13875,3.06640625,
1996-11-27,,,2.90625,2.86875,2.925,2.99921875,3.136875,3.06265625,
1996-11-28,,,2.90625,2.875,2.915625,2.99140625,3.135,3.06046875,
1996-11-29,,,2.90625,2.88125,2.90625,2.98671875,3.133125,3.05859375,
1996-12-02,,,2.90625,2.89375,2.896875,2.98046875,3.133125,3.05796875,
1996-12-03,,,2.90625,2.90625,2.89375,2.97109375,3.135,3.05984375,
1996-12-04,,,2.8125,2.8875,2.878125,2.95546875,3.135,3.05765625,
1996-12-05,,,2.8125,2.86875,2.871875,2.93984375,3.134375,3.05390625,
1996-12-06,,,2.78125,2.84375,2.8625,2.92421875,3.13125,3.04953125,
1996-12-09,,,2.75,2.8125,2.853125,2.90546875,3.128125,3.04515625,
1996-12-10,,,2.90625,2.8125,2.859375,2.89921875,3.12875,3.04328125,
1996-12-11,,,3.1875,2.8875,2.8875,2.90625,3.13375,3.04390625,
1996-12-12,,,3.1875,2.9625,2.915625,2.915625,3.134375,3.04484375,
1996-12-13,,,3.1875,3.04375,2.94375,2.925,3.134375,3.04578125,
1996-12-16,,,3.15625,3.125,2.96875,2.9328125,3.131875,3.04671875,
1996-12-17,,,3.65625,3.275,3.04375,2.96875,3.13875,3.05390625,
1996-12-18,,,3.625,3.3625,3.125,3.0015625,3.145625,3.06109375,
1996-12-19,,,3.59375,3.44375,3.203125,3.0375,3.1525,3.06796875,
1996-12-20,,,3.40625,3.4875,3.265625,3.0640625,3.151875,3.07078125,
1996-12-23,,,3.25,3.50625,3.315625,3.084375,3.14625,3.07203125,
1996-12-24,,,3.25,3.425,3.35,3.1046875,3.13625,3.07265625,
1996-12-25,,,3.25,3.35,3.35625,3.121875,3.1259375,3.07296875,
1996-12-26,,,3.25,3.28125,3.3625,3.1390625,3.1140625,3.07234375,
1996-12-27,,,3.34375,3.26875,3.378125,3.1609375,3.1053125,3.07234375,
1996-12-30,,,3.3125,3.28125,3.39375,3.18125,3.0971875,3.07171875,
1996-12-31,,,3.375,3.30625,3.365625,3.2046875,3.0959375,3.07203125,
1997-01-01,,,3.375,3.33125,3.340625,3.2328125,3.0996875,3.07296875,
1997-01-02,,,3.25,3.33125,3.30625,3.2546875,3.1021875,3.07265625,
1997-01-03,,,3.21875,3.30625,3.2875,3.2765625,3.1015625,3.0725,
1997-01-06,,,3.21875,3.2875,3.284375,3.3,3.1003125,3.07375,
