Date,GRADE,GPS,GPN,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2001-01-16,,,3.4856860637664795,,,,,,
2001-01-17,,,3.4856860637664795,,,,,,
2001-01-18,,,3.8342554569244394,,,,,,
2001-01-19,,,3.979491233825684,,,,,,
2001-01-22,,,4.240917205810547,3.8052072048187258,,,,,
2001-01-23,,,4.357107162475586,3.979491424560547,,,,,
2001-01-24,,,4.240917205810547,4.130537652969361,,,,,
2001-01-25,,,4.357107162475586,4.2351079940795895,,,,,
2001-01-26,,,4.299017429351807,4.299013233184814,,,,,
2001-01-29,,,4.345489501953125,4.31992769241333,4.0625674486160275,,,,
2001-01-30,,,4.322248458862305,4.3129559516906735,4.146223688125611,,,,
2001-01-31,,,4.357107162475586,4.336193943023682,4.233365797996521,,,,
2001-02-01,,,4.8567214012146,4.436116790771484,4.335612392425537,,,,
2001-02-02,,,4.840454578399658,4.544404220581055,4.421708726882935,,,,
2001-02-05,,,4.640605926513672,4.603427505493164,4.461677598953247,,,,
2001-02-06,,,4.589489459991455,4.656875705718994,4.484915828704834,,,,
2001-02-07,,,4.647579193115234,4.714970111846924,4.525582027435303,,,,
2001-02-08,,,4.531392574310303,4.649904346466064,4.543010568618774,,,,
2001-02-09,,,4.589489459991455,4.599711322784424,4.572057771682739,,,,
2001-02-12,,,4.484915733337402,4.56857328414917,4.586000394821167,4.324283921718598,,,
2001-02-13,,,4.4732985496521,4.545335102081299,4.601105403900147,4.373664546012878,,,
2001-02-14,,,4.433792591094971,4.502577781677246,4.608773946762085,4.421069872379303,,,
2001-02-15,,,4.252538204193115,4.446806907653809,4.548355627059936,4.441984009742737,,,
2001-02-16,,,4.199090480804443,4.368727111816407,4.484219217300415,4.452963972091675,,,
2001-02-19,,,4.199090480804443,4.3115620613098145,4.4400676727294925,4.450872635841369,,,
2001-02-20,,,4.203734874725342,4.257649326324463,4.4014922142028805,4.443204021453857,,,
2001-02-21,,,4.201414585113525,4.211173725128174,4.35687575340271,4.441228890419007,,,
2001-02-22,,,4.189794540405273,4.198624992370606,4.322715950012207,4.432863259315491,,,
2001-02-23,,,4.287392616271973,4.2162854194641115,4.292506265640259,4.432282018661499,,,
2001-02-26,,,4.4151997566223145,4.259507274627685,4.28553466796875,4.4357675313949585,,,
2001-02-27,,,4.391964912414551,4.297153282165527,4.277401304244995,4.439253354072571,,,
2001-02-28,,,4.4151997566223145,4.339910316467285,4.2755420207977295,4.442157983779907,,,
2001-03-01,,,4.345489501953125,4.371049308776856,4.284837150573731,4.416596388816833,,,
2001-03-02,,,4.359431743621826,4.385457134246826,4.300871276855469,4.392545247077942,,,
