Date,GRADE,GPS,MU,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1984-06-01,,,1.3577133417129517,,,,,,
1984-06-04,,,1.3577133417129517,,,,,,
1984-06-05,,,1.3456978797912598,,,,,,
1984-06-06,,,1.4177889823913574,,,,,,
1984-06-07,,,1.5739864110946655,1.4105799913406372,,,,,
1984-06-08,,,1.670107126235962,1.4730587482452393,,,,,
1984-06-11,,,1.5619709491729736,1.5139102697372437,,,,,
1984-06-12,,,1.5499556064605713,1.554761815071106,,,,,
1984-06-13,,,1.6220465898513794,1.5956133365631104,,,,,
1984-06-14,,,1.5739864110946655,1.5956133365631104,1.5030966639518737,,,,
1984-06-15,,,1.6220465898513794,1.5860012292861938,1.5295299887657166,,,,
1984-06-18,,,1.670107126235962,1.6076284646987915,1.5607693672180176,,,,
1984-06-19,,,1.7902591228485107,1.6556891679763794,1.6052254915237427,,,,
1984-06-20,,,1.9825012683868408,1.7277801036834717,1.661696720123291,,,,
1984-06-21,,,1.9584708213806152,1.8046769857406617,1.700145161151886,,,,
1984-06-22,,,2.174743175506592,1.9152163028717042,1.7506087660789489,,,,
1984-06-25,,,2.1507139205932617,2.011337661743164,1.8094830632209777,,,,
1984-06-26,,,2.210789442062378,2.0954437255859375,1.8755664467811584,,,,
1984-06-27,,,2.1507139205932617,2.1290862560272217,1.9284331798553467,,,,
1984-06-28,,,2.25885009765625,2.1891621112823487,1.9969195485115052,1.7500081062316895,,,
1984-06-29,,,2.439077854156494,2.242029047012329,2.0786226749420167,1.8040763318538666,,,
1984-07-02,,,2.3790016174316406,2.287686586380005,2.1495121240615847,1.855140745639801,,,
1984-07-03,,,2.427062749862671,2.3309412479400633,2.2131924867630004,1.9092089891433717,,,
1984-07-04,,,2.427062749862671,2.3862110137939454,2.2576486349105833,1.9596726775169373,,,
1984-07-05,,,2.5472140312194824,2.4438838005065917,2.31652295589447,2.008334058523178,,,
1984-07-06,,,2.523183107376098,2.4607048511505125,2.351366949081421,2.0509878575801848,,,
1984-07-09,,,2.4751229286193848,2.4799291133880614,2.3838078498840334,2.0966454565525057,,,
1984-07-10,,,2.415047168731689,2.477525997161865,2.404233622550964,2.1399000346660615,,,
1984-07-11,,,2.306910514831543,2.4534955501556395,2.4198532819747927,2.1741432309150697,,,
1984-07-12,,,2.246835231781006,2.393419790267944,2.418651795387268,2.2077856719493867,,,
1984-07-13,,,2.2708654403686523,2.3429562568664553,2.401830554008484,2.24022661447525,,,
1984-07-16,,,2.174743175506592,2.2828803062438965,2.381404709815979,2.265458416938782,,,
1984-07-17,,,2.246835231781006,2.2492379188537597,2.3633819580078126,2.2882872223854065,,,
1984-07-18,,,2.2348196506500244,2.234819746017456,2.344157648086548,2.3009031414985657,,,
1984-07-19,,,2.006531953811645,2.1867590904235836,2.2900894403457643,2.3033061981201173,,,
1984-07-20,,,1.8263044357299805,2.0978468894958495,2.220401573181152,2.2858842611312866,,,
1984-07-23,,,1.886379957199097,2.0401742458343506,2.1615272760391235,2.2726675629615785,,,
1984-07-24,,,1.850334405899048,1.960874080657959,2.1050559997558596,2.254644811153412,,,
1984-07-25,,,1.9825012683868408,1.9104104042053223,2.072615075111389,2.246234178543091,,,
1984-07-26,,,2.06660795211792,1.9224256038665772,2.0545923471450807,2.2366220712661744,,,
1984-07-27,,,2.042576789855957,1.9656800746917724,2.031763482093811,2.2167970180511474,,,
1984-07-30,,,2.030561923980713,1.9945164680480958,2.017345356941223,2.199375033378601,,,
1984-07-31,,,2.006531953811645,2.0257559776306153,1.9933150291442872,2.17834849357605,,,
1984-08-01,,,2.25885009765625,2.081025743484497,1.9957180738449096,2.169937860965729,,,
1984-08-02,,,2.3790016174316406,2.1435044765472413,2.0329650402069093,2.1615272402763366,,,
1984-08-03,,,2.246835231781006,2.184356164932251,2.075018119812012,2.147709846496582,,,
1984-08-06,,,2.1987736225128174,2.217998504638672,2.1062574863433836,2.1338923811912536,,,
