Date,GRADE,GPS,AMP,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2005-09-15,,,25.168689727783203,,,,,,
2005-09-16,,,24.88988494873047,,,,,,
2005-09-19,,,24.95787811279297,,,,,,
2005-09-20,,,24.95787811279297,,,,,,
2005-09-21,,,24.753862380981445,24.94563865661621,,,,,
2005-09-22,,,25.29790687561035,24.97148208618164,,,,,
2005-09-23,,,25.624330520629883,25.118371200561523,,,,,
2005-09-26,,,25.671934127807617,25.261182403564455,,,,,
2005-09-27,,,25.331911087036133,25.335988998413086,,,,,
2005-09-28,,,25.161903381347656,25.417597198486327,25.18161792755127,,,,
2005-09-29,,,24.88988494873047,25.33599281311035,25.153737449645995,,,,
2005-09-30,,,24.345834732055664,25.080293655395508,25.099332427978517,,,,
2005-10-03,,,23.597780227661133,24.66546287536621,24.963322639465332,,,,
2005-10-04,,,23.05374526977539,24.20982971191406,24.772909355163574,,,,
2005-10-05,,,22.88372611999512,23.754194259643555,24.58589572906494,,,,
2005-10-06,,,22.693315505981445,23.31488037109375,24.32543659210205,,,,
2005-10-07,,,22.84971809387207,23.015657043457033,24.04797534942627,,,,
2005-10-10,,,22.46210289001465,22.788521575927735,23.726992225646974,,,,
2005-10-11,,,22.44169235229492,22.66611099243164,23.43797035217285,,,,
2005-10-12,,,22.285280227661133,22.546421813964844,23.150308036804198,24.165962982177735,,,
2005-10-13,,,22.13567352294922,22.4348934173584,22.874886894226073,24.014312171936034,,,
2005-10-14,,,22.0268611907959,22.270322036743163,22.642989540100096,23.871160984039307,,,
2005-10-17,,,22.08806610107422,22.195514678955078,22.492018127441405,23.72767038345337,,,
2005-10-18,,,22.05405616760254,22.117987442016602,22.39204921722412,23.58247928619385,,,
2005-10-19,,,22.55050468444824,22.171032333374022,22.358727073669435,23.472311401367186,,,
2005-10-20,,,22.83612060546875,22.31112174987793,22.373007583618165,23.349222087860106,,,
2005-10-21,,,23.12174224853516,22.53009796142578,22.400209999084474,23.22409267425537,,,
2005-10-24,,,24.67905807495117,23.04829635620117,22.621905517578124,23.174448871612547,,,
2005-10-25,,,25.284303665161133,23.69434585571289,22.906166648864748,23.172068500518797,,,
2005-10-26,,,25.161903381347656,24.216625595092772,23.193828964233397,23.172068500518797,,,
2005-10-27,,,24.67225456237793,24.58385238647461,23.44748706817627,23.161186981201173,,,
2005-10-28,,,25.22989845275879,25.005483627319336,23.76779079437256,23.205390167236327,,,
2005-10-31,,,25.311511993408203,25.13197441101074,24.090135383605958,23.291076755523683,,,
2005-11-01,,,24.862672805786133,25.047648239135743,24.370997047424318,23.38152313232422,,,
2005-11-02,,,25.101415634155277,25.035550689697267,24.62608814239502,23.492407608032227,,,
2005-11-03,,,25.52430534362793,25.205960845947267,24.89490661621094,23.63395709991455,,,
2005-11-04,,,25.353790283203125,25.230739212036134,25.118111419677735,23.759160709381103,,,
2005-11-07,,,25.2514762878418,25.21873207092285,25.175353240966796,23.89862937927246,,,
2005-11-08,,,25.210538864135746,25.288305282592773,25.167976760864256,24.037071704864502,,,
2005-11-09,,,25.838077545166016,25.43563766479492,25.235594177246092,24.214711570739745,,,
2005-11-10,,,26.547460556030277,25.64026870727539,25.423114776611328,24.4353009223938,,,
2005-11-11,,,26.54065704345703,25.87764205932617,25.554190635681152,24.660990715026855,,,
2005-11-14,,,26.83396339416504,26.19413948059082,25.706435775756837,24.898285579681396,,,
2005-11-15,,,26.74527931213379,26.50108757019043,25.8946964263916,25.132846736907958,,,
2005-11-16,,,27.168188095092773,26.767109680175782,26.10137367248535,25.363730907440186,,,
2005-11-17,,,27.28414535522461,26.91444664001465,26.27735767364502,25.58613214492798,,,
2005-11-18,,,27.229570388793945,27.05222930908203,26.4649356842041,25.79152355194092,,,
2005-11-21,,,28.36187171936035,27.357810974121094,26.775975227355957,25.97566423416138,,,
2005-11-22,,,28.75065422058105,27.75888595581055,27.12998676300049,26.148981761932372,,,
2005-11-23,,,29.65103912353516,28.255456161499023,27.511282920837402,26.373438549041747,24.85452640533447,,
2005-11-24,,,29.65103912353516,28.728834915161134,27.82164077758789,26.622377777099608,24.94417339324951,,
2005-11-25,,,29.63740921020508,29.21040267944336,28.131315994262696,26.842753314971922,25.039123878479003,,
2005-11-28,,,29.9443473815918,29.526897811889647,28.44235439300537,27.074395084381102,25.13885326385498,,
2005-11-29,,,29.02350425720215,29.581467819213866,28.670176887512206,27.282436656951905,25.220165786743163,,
2005-11-30,,,28.68246078491211,29.38775215148926,28.82160415649414,27.461488914489745,25.298737754821776,,
2005-12-01,,,29.54190444946289,29.365925216674803,29.04738006591797,27.662368869781496,25.38361770629883,,
2005-12-02,,,29.487350463867188,29.335913467407227,29.273158073425293,27.869046878814697,25.460878105163573,,
2005-12-05,,,29.685142517089844,29.284072494506837,29.405485153198242,28.0907301902771,25.54114227294922,,
2005-12-06,,,29.74653625488281,29.428678894042967,29.50507335662842,28.31753005981445,25.62943477630615,,
2005-12-07,,,29.57601547241211,29.607389831542967,29.497570991516113,28.504426956176758,25.71771701812744,,
2005-12-08,,,29.77381706237793,29.653772354125977,29.50984878540039,28.66574478149414,25.81539566040039,,
2005-12-09,,,29.848846435546875,29.726071548461913,29.53099250793457,28.83115425109863,25.925455894470215,,
2005-12-12,,,29.419132232666016,29.67286949157715,29.47847099304199,28.96041269302368,26.041882934570314,,
2005-12-13,,,29.214496612548828,29.56646156311035,29.49757022857666,29.083873558044434,26.165097961425783,,
2005-12-14,,,28.3277587890625,29.31681022644043,29.4621000289917,29.14185209274292,26.273978614807127,,
