Date,GRADE,GPS,HAL,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,3.682730436325073,,,,,,
1983-11-22,,,3.670332670211792,,,,,,
1983-11-23,,,3.831529140472412,,,,,,
1983-11-24,,,3.831529140472412,,,,,,
1983-11-25,,,3.8390533924102783,3.7710349559783936,,,,,
1983-11-28,,,3.85159969329834,3.804808807373047,,,,,
1983-11-29,,,3.939422369003296,3.8586267471313476,,,,,
1983-11-30,,,3.826508283615112,3.857622575759888,,,,,
1983-12-01,,,3.8390533924102783,3.859127426147461,,,,,
1983-12-02,,,3.86414647102356,3.864146041870117,3.8175904989242553,,,,
1983-12-05,,,3.889237642288208,3.8716736316680906,3.838241219520569,,,,
1983-12-06,,,3.86414647102356,3.8566184520721434,3.8576225996017457,,,,
1983-12-07,,,3.86414647102356,3.864146089553833,3.8608843326568603,,,,
1983-12-08,,,3.876694917678833,3.871674394607544,3.8654009103775024,,,,
1983-12-09,,,3.977061033248901,3.8942573070526123,3.8792016744613647,,,,
1983-12-12,,,4.089972496032715,3.9344042778015136,3.9030389547348023,,,,
1983-12-13,,,4.027247905731201,3.967024564743042,3.9118215084075927,,,,
1983-12-14,,,3.914332866668701,3.9770618438720704,3.9206039667129517,,,,
1983-12-15,,,3.889237642288208,3.9795703887939453,3.9256223917007445,,,,
1983-12-16,,,3.86414647102356,3.956987476348877,3.9256223917007445,3.8716064453125,,,
1983-12-19,,,3.788872480392456,3.8967674732208253,3.9155858755111694,3.876913547515869,,,
1983-12-20,,,3.776325225830078,3.8465829372406004,3.906803750991821,3.8822131752967834,,,
1983-12-21,,,3.86414647102356,3.8365456581115724,3.906803750991821,3.8838440418243407,,,
1983-12-22,,,3.826508283615112,3.823999786376953,3.9017850875854494,3.883592998981476,,,
1983-12-23,,,3.826508283615112,3.8164721488952638,3.8867298126220704,3.8829657435417175,,,
1983-12-26,,,3.826508283615112,3.823999309539795,3.86038339138031,3.881711173057556,,,
1983-12-27,,,3.926874876022339,3.8541092395782472,3.850346088409424,3.8810837984085085,,,
1983-12-28,,,4.115065097808838,3.9042929649353026,3.8704193115234373,3.8955116391181948,,,
1983-12-29,,,4.115065097808838,3.9620043277740478,3.8930020570755004,3.9093122243881226,,,
1983-12-30,,,4.052334785461426,4.007169628143311,3.911820888519287,3.918721640110016,,,
1984-01-02,,,4.052334785461426,4.052334928512574,3.938167119026184,3.926876497268677,,,
1984-01-03,,,3.926874876022339,4.052334928512574,3.95322208404541,3.930012917518616,,,
1984-01-04,,,4.064881801605225,4.042298269271851,3.9732956171035765,3.940049684047699,,,
1984-01-05,,,4.089972496032715,4.037279748916626,3.999642038345337,3.950713562965393,,,
1984-01-06,,,4.115065097808838,4.049825811386109,4.02849771976471,3.95761376619339,,,
1984-01-09,,,4.002155303955078,4.039789915084839,4.046062421798706,3.953222906589508,,,
1984-01-10,,,3.86414647102356,4.027244234085083,4.0397895812988285,3.945067834854126,,,
1984-01-11,,,3.85159969329834,3.984587812423706,4.013443040847778,3.9419311761856077,,,
1984-01-12,,,3.8390533924102783,3.934403991699219,3.9858418703079224,3.9394219636917116,,,
1984-01-13,,,3.813961744308472,3.8741833209991454,3.962004566192627,3.936912727355957,,,
1984-01-16,,,3.813961744308472,3.8365446090698243,3.9381672620773314,3.938167190551758,,,
1984-01-17,,,3.85159969329834,3.8340352535247804,3.9306397438049316,3.941930913925171,,,
1984-01-18,,,3.8390533924102783,3.831525993347168,3.908056902885437,3.9406762599945067,,,
1984-01-19,,,3.7386863231658936,3.811452579498291,3.872928285598755,3.936285161972046,,,
1984-01-20,,,3.7386863231658936,3.796397495269775,3.8352904081344605,3.931894063949585,,,
1984-01-23,,,3.713597536087036,3.776324653625488,3.8064346313476562,3.9262485265731812,,,
1984-01-24,,,3.751237154006958,3.756252145767212,3.795143699645996,3.917466640472412,,,
1984-01-25,,,3.763779163360596,3.7411972999572756,3.786361646652222,3.89990234375,,,
1984-01-26,,,3.6383213996887207,3.7211243152618407,3.7662884473800657,3.876065158843994,,,
1984-01-27,,,3.613229513168335,3.6960329532623293,3.7462152242660522,3.8541098952293398,3.8726507139205935,,
1984-01-30,,,3.537954568862915,3.660904359817505,3.7186145067214964,3.828390884399414,3.86975519657135,,
1984-01-31,,,3.613229513168335,3.63330283164978,3.694777488708496,3.812708616256714,3.8686131334304807,,
