Date,GRADE,GPS,DGX,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2023-09-06,38.417061236401196,B,123.74242401123048,125.92646026611328,127.69879684448242,128.7966495513916,132.5546910095215,132.35760643005372,136.0998218536377
2023-09-07,36.888662198441175,B,123.71322631835938,125.0719223022461,127.10412368774413,128.45551719665528,132.29562240600586,132.20183128356933,135.9864630126953
2023-09-08,35.87168112431663,B,123.6256332397461,124.39062805175782,126.58147430419922,128.0666931152344,132.0460348510742,132.03230178833007,135.88297763824463
2023-09-11,34.840620727399376,B,123.32392120361328,123.64899139404297,126.02378616333007,127.65548362731934,131.81771896362304,131.84648933410645,135.785369720459
2023-09-12,35.377455884930775,B,123.83002471923828,123.6470458984375,125.52060241699219,127.3489013671875,131.59952514648438,131.6662222290039,135.69005252838136
2023-09-13,36.64892426784815,B,124.70597839355467,123.83975677490234,124.88310852050782,127.1430534362793,131.41724853515626,131.4914224243164,135.59897129058837
2023-09-14,37.63645525963134,B,123.94681549072266,123.886474609375,124.47919845581055,126.90508766174317,131.19519363403322,131.36548332214355,135.49690002441406
2023-09-15,38.30679996423304,B,122.84700775146484,123.73074951171876,124.06068878173828,126.55081558227539,130.96024444580078,131.2498484802246,135.397243309021
2023-09-18,38.856057657382514,B,122.42849731445312,123.55166473388672,123.60032806396484,126.20530242919922,130.6883108520508,131.12354125976563,135.2947746658325
2023-09-19,38.93501039148648,B,122.2143783569336,123.22853546142578,123.43779067993164,125.87390174865723,130.40177841186522,131.00835823059083,135.1876382446289
2023-09-20,38.42514266633027,B,121.66934204101562,122.62120819091797,123.23048248291016,125.46463966369629,130.09149795532227,130.90263679504395,135.0712540435791
2023-09-21,37.54010647376367,B,120.21916198730467,121.87567749023438,122.88107604980469,124.99259986877442,129.75552322387696,130.79364585876465,134.95668350219728
2023-09-22,36.968969391102114,B,120.18023681640624,121.34232330322266,122.5365364074707,124.55900535583496,129.42538803100587,130.67361457824708,134.84182235717773
2023-09-25,36.93279687471252,B,120.97832489013672,121.05228881835937,122.30197677612304,124.16288146972656,129.12153106689453,130.57879989624024,134.72035243988037
2023-09-26,36.937495710611,B,121.2508316040039,120.85957946777344,122.0440574645996,123.7823299407959,128.81436477661134,130.49716819763182,134.60624008178712
2023-09-27,36.516936582881165,B,120.10237121582033,120.54618530273437,121.58369674682618,123.233402633667,128.4308934020996,130.4158650970459,134.46192565917968
