Date,GRADE,GPS,TYL,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.9188547134399412,,,,,,
1983-11-22,,,1.9270899295806885,,,,,,
1983-11-23,,,1.9188547134399412,,,,,,
1983-11-24,,,1.9188547134399412,,,,,,
1983-11-25,,,1.9353251457214355,1.9237958431243896,,,,,
1983-11-28,,,1.910618782043457,1.9221486568450927,,,,,
1983-11-29,,,1.9270899295806885,1.9221486568450927,,,,,
1983-11-30,,,1.910618782043457,1.920501470565796,,,,,
1983-12-01,,,1.910618782043457,1.918854284286499,,,,,
1983-12-02,,,1.910618782043457,1.9139130115509033,1.9188544273376464,,,,
1983-12-05,,,1.9435611963272093,1.9205014944076537,1.9213250756263733,,,,
1983-12-06,,,1.9435611963272093,1.923795747756958,1.9229722023010254,,,,
1983-12-07,,,1.9270899295806885,1.9270899772644043,1.9237957239151,,,,
1983-12-08,,,1.9188547134399412,1.9287371635437012,1.9237957239151,,,,
1983-12-09,,,1.9353251457214355,1.933678436279297,1.9237957239151,,,,
1983-12-12,,,1.910618782043457,1.9270899534225463,1.9237957239151,,,,
1983-12-13,,,1.9270899295806885,1.9237957000732422,1.9237957239151,,,,
1983-12-14,,,1.90238356590271,1.9188544273376464,1.9229722023010254,,,,
1983-12-15,,,1.8612061738967896,1.9073247194290162,1.9180309414863586,,,,
1983-12-16,,,1.8694418668746948,1.894148063659668,1.9139132499694824,1.9163838386535645,,,
1983-12-19,,,1.8694418668746948,1.8859126806259154,1.9065013170242309,1.9139131963253022,,,
1983-12-20,,,1.8447355031967163,1.8694417953491211,1.8966187477111816,1.9097954750061035,,,
1983-12-21,,,1.8612061738967896,1.861206316947937,1.8900303721427918,1.906913048028946,,,
1983-12-22,,,1.8612061738967896,1.861206316947937,1.8842655181884767,1.9040306210517883,,,
1983-12-23,,,1.8529713153839111,1.8579122066497802,1.8760301351547242,1.8999129295349122,,,
1983-12-26,,,1.8529713153839111,1.8546180963516234,1.8702653884887694,1.8970305562019347,,,
1983-12-27,,,1.8529713153839111,1.8562652587890625,1.8628535270690918,1.893324625492096,,,
1983-12-28,,,1.8447355031967163,1.852971124649048,1.8570887207984925,1.890030461549759,,,
1983-12-29,,,1.8447355031967163,1.8496769905090331,1.855441653728485,1.8867362976074218,,,
1983-12-30,,,1.910618782043457,1.8612064838409423,1.8595593452453614,1.8867362976074218,,,
1984-01-02,,,1.910618782043457,1.8727359771728516,1.8636770367622375,1.8850891768932343,,,
1984-01-03,,,1.8859128952026367,1.8793242931365968,1.8677947759628295,1.8822067618370055,,,
1984-01-04,,,1.910618782043457,1.8925009489059448,1.8727360367774963,1.881383204460144,,,
1984-01-05,,,1.9600313901901243,1.9155601263046265,1.8826185584068298,1.883442038297653,,,
1984-01-06,,,1.9929733276367188,1.9320310354232788,1.8966187596321107,1.8863244473934173,,,
1984-01-09,,,2.0341498851776123,1.95673725605011,1.9147366166114808,1.8925010025501252,,,
1984-01-10,,,1.9600313901901243,1.971560955047607,1.9254426240921017,1.8941480755805968,,,
1984-01-11,,,1.9682670831680296,1.9830906152725216,1.937795782089233,1.897442251443863,,,
1984-01-12,,,1.9929733276367188,1.9896790027618407,1.9526195645332334,1.9040306091308594,,,
1984-01-13,,,1.951796293258667,1.9814435958862304,1.9567373156547543,1.908148330450058,,,
