Date,GRADE,GPS,ROP,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1992-02-13,,,1.648441195487976,,,,,,
1992-02-14,,,1.8120278120040891,,,,,,
1992-02-17,,,1.8120278120040891,,,,,,
1992-02-18,,,1.6610244512557983,,,,,,
1992-02-19,,,1.7365258932113647,1.7340094327926636,,,,,
1992-02-20,,,1.786860466003418,1.761693286895752,,,,,
1992-02-21,,,1.8371943235397337,1.766726589202881,,,,,
1992-02-24,,,1.8623619079589844,1.77679340839386,,,,,
1992-02-25,,,1.8371943235397337,1.812027382850647,,,,,
1992-02-26,,,1.8875278234481807,1.84222776889801,1.788118600845337,,,,
1992-02-27,,,1.9378613233566284,1.872427940368652,1.817060613632202,,,,
1992-02-28,,,2.0385310649871826,1.912695288658142,1.8397109389305115,,,,
1992-03-02,,,2.063697338104248,1.952962374687195,1.8648778915405273,,,,
1992-03-03,,,1.9881961345672607,1.9831627368927003,1.8975950598716735,,,,
1992-03-04,,,1.963029623031616,1.9982630968093873,1.9202454328536986,,,,
1992-03-05,,,1.8875278234481807,1.9881963968276974,1.9303121685981748,,,,
1992-03-06,,,1.8875278234481807,1.957995748519897,1.9353455185890194,,,,
1992-03-09,,,1.9252792596817017,1.9303121328353878,1.9416372537612911,,,,
1992-03-10,,,1.963029623031616,1.9252788305282589,1.9542207837104795,,,,
1992-03-11,,,1.975612998008728,1.9277955055236817,1.963029301166534,1.8755739510059357,,,
1992-03-12,,,1.963029623031616,1.9428958654403683,1.9655461311340328,1.8913033723831176,,,
1992-03-13,,,2.0385310649871826,1.9730965137481689,1.9655461311340328,1.9026285350322723,,,
1992-03-16,,,2.063697338104248,2.000780129432678,1.9655461311340328,1.9152120113372804,,,
1992-03-17,,,1.9881961345672607,2.0058134317398073,1.9655461311340328,1.9315705955028535,,,
1992-03-18,,,1.9881961345672607,2.008330059051514,1.9680627822875973,1.944154107570648,,,
1992-03-19,,,1.963029623031616,2.008330059051514,1.975612962245941,1.9529625654220581,,,
1992-03-20,,,2.0385310649871826,2.008330059051514,1.9907132863998414,1.9630294024944306,,,
1992-03-23,,,2.0007781982421875,1.9957462310791017,1.99826318025589,1.9699502170085907,,,
1992-03-24,,,1.963029623031616,1.9907129287719727,1.99826318025589,1.976241981983185,,,
1992-03-25,,,1.9881961345672607,1.9907129287719727,1.9995214939117432,1.9812753975391388,,,
1992-03-26,,,1.9378613233566284,1.985679268836975,1.9970046639442445,1.9812753975391388,,,
1992-03-27,,,2.013361930847168,1.980645442008972,1.994487750530243,1.980016940832138,,,
1992-03-30,,,1.9881961345672607,1.9781290292739868,1.9869376301765442,1.9762418806552886,,,
1992-03-31,,,2.013361930847168,1.9881954908370971,1.989454209804535,1.977500170469284,,,
1992-04-01,,,1.963029623031616,1.9831621885299682,1.9869375586509705,1.977500170469284,,,
1992-04-02,,,1.9881961345672607,1.9932291507720947,1.989454209804535,1.982533586025238,,,
1992-04-03,,,1.9881961345672607,1.9881959915161134,1.9844207167625427,1.987567001581192,,,
1992-04-06,,,1.963029623031616,1.9831626892089844,1.9806458592414855,1.9894545197486877,,,
1992-04-07,,,2.013361930847168,1.9831626892089844,1.9856790900230408,1.9919711351394653,,,
1992-04-08,,,2.013361930847168,1.9932291507720947,1.9881956696510314,1.9938585817813874,,,
1992-04-09,,,1.9881961345672607,1.9932291507720947,1.9932291507720947,1.9951169073581696,,,
1992-04-10,,,1.9881961345672607,1.9932291507720947,1.990712571144104,1.9926001608371735,,,
1992-04-13,,,1.9881961345672607,1.9982624530792237,1.990712571144104,1.9888251006603241,,,
1992-04-14,,,1.9881961345672607,1.993229293823242,1.9881959915161134,1.9888251006603241,,,
1992-04-15,,,1.963029623031616,1.9831628322601318,1.9881959915161134,1.987566775083542,,,
1992-04-16,,,1.963029623031616,1.9781295299530028,1.9856793403625488,1.987566775083542,,,
1992-04-17,,,1.963029623031616,1.9730962276458737,1.9831626892089844,1.9837917029857632,,,
1992-04-20,,,1.916627049446106,1.9587824106216427,1.9785224318504333,1.979584145545959,,,
1992-04-21,,,1.916627049446106,1.9444685935974118,1.9688489437103271,1.9772640168666835,,,
1992-04-22,,,1.9922833442687988,1.9503193378448487,1.9667410850524902,1.9774683773517605,1.9411212301254273,,
1992-04-23,,,1.916627049446106,1.9410388231277467,1.9595841765403748,1.9764066636562343,1.9464849472045898,,
1992-04-24,,,1.9418443441390991,1.9368017673492433,1.9549489974975587,1.972830784320831,1.9490812778472901,,
1992-04-27,,,1.8914082050323489,1.9317579984664917,1.9452702045440673,1.9679913878440858,1.9506688857078551,,
1992-04-28,,,1.8157517910003664,1.9115829467773438,1.928025770187378,1.9581108808517456,1.9537634325027466,,
1992-04-29,,,1.84097158908844,1.881320595741272,1.9158199667930602,1.9520079791545868,1.9558523464202882,,
1992-04-30,,,1.8157517910003664,1.861145544052124,1.9010921835899353,1.943385761976242,1.9564301729202271,,
1992-05-01,,,1.8661892414093015,1.8460145235061645,1.8914081454277039,1.937285417318344,1.9570100712776184,,
1992-05-04,,,1.8661892414093015,1.8409707307815553,1.8863643646240233,1.9324433982372284,1.9570866179466249,,
1992-05-05,,,1.8157517910003664,1.8409707307815553,1.8762768387794495,1.9225628912448882,1.9566577672958374,,
1992-05-06,,,1.7653138637542725,1.8258391857147216,1.8535798907279968,1.9101604878902436,1.9542134881019593,,
1992-05-07,,,1.7148772478103638,1.8056642770767213,1.8334049105644226,1.8964945435523988,1.949753806591034,,
