Date,GRADE,GPS,GOOG,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2004-08-19,,,2.4930107593536377,,,,,,
2004-08-20,,,2.691030263900757,,,,,,
2004-08-23,,,2.718111991882324,,,,,,
2004-08-24,,,2.6055612564086914,,,,,,
2004-08-25,,,2.633636236190796,2.6282701015472414,,,,,
2004-08-26,,,2.681091547012329,2.6658862590789796,,,,,
2004-08-27,,,2.6373631954193115,2.6551528453826903,,,,,
2004-08-30,,,2.5345025062561035,2.6184309482574464,,,,,
2004-08-31,,,2.543446779251098,2.6060080528259277,,,,,
2004-09-01,,,2.490774154663086,2.5774356365203857,2.6028528690338133,,,,
2004-09-02,,,2.5220792293548584,2.5456331729888917,2.6057597160339356,,,,
2004-09-03,,,2.4848105907440186,2.515122652053833,2.5851377487182616,,,,
2004-09-06,,,2.4848105907440186,2.505184268951416,2.5618076086044312,,,,
2004-09-07,,,2.5238187313079834,2.501258659362793,2.5536333560943603,,,,
2004-09-08,,,2.54170823097229,2.511445474624634,2.5444405555725096,,,,
2004-09-09,,,2.541956186294556,2.5154208660125734,2.5305270195007323,,,,
2004-09-10,,,2.616989850997925,2.5418567180633547,2.528489685058594,,,,
2004-09-13,,,2.6709046363830566,2.5790755271911623,2.542129898071289,,,,
2004-09-14,,,2.770039319992065,2.6283196449279784,2.564789152145386,,,,
2004-09-15,,,2.782710075378418,2.676520013809204,2.5939827442169188,2.598417806625366,,,
2004-09-16,,,2.831655979156494,2.734459972381592,2.6249404191970824,2.615350067615509,,,
2004-09-17,,,2.9191129207611084,2.7948845863342284,2.6683706521987913,2.6267542004585267,,,
2004-09-20,,,2.965574264526367,2.8538185119628907,2.7164470195770263,2.6391273140907288,,,
2004-09-21,,,2.92780876159668,2.8853724002838135,2.756846022605896,2.655239689350128,,,
2004-09-22,,,2.941224813461304,2.917075347900391,2.796797680854797,2.6706191182136534,,,
2004-09-23,,,3.0018489360809326,2.9511139392852783,2.842786955833435,2.686656987667084,,,
2004-09-24,,,2.9772515296936035,2.962741661071777,2.878813123703003,2.7036514043807984,,,
2004-09-27,,,2.938244342803955,2.9572756767272947,2.905547094345093,2.7238384962081907,,,
2004-09-28,,,3.15191650390625,3.002097225189209,2.943734812736511,2.7542619824409487,,,
2004-09-29,,,3.256765127182007,3.06520528793335,2.9911403179168703,2.7925615310668945,,,
2004-09-30,,,3.2199931144714355,3.1088341236114503,3.029974031448364,2.8274572253227235,,,
2004-10-01,,,3.294033527374268,3.172190523147583,3.0674660921096804,2.867918372154236,,,
2004-10-04,,,3.3556501865386963,3.2556716918945314,3.106473684310913,2.91146035194397,,,
2004-10-05,,,3.4378890991210938,3.3128662109375,3.1574817180633543,2.9571638703346252,,,
2004-10-06,,,3.40583872795105,3.3426809310913086,3.203943109512329,3.0003703951835634,,,
2004-10-07,,,3.449814796447754,3.3886452674865724,3.2487396955490113,3.0457633256912233,,,
2004-10-08,,,3.421988248825073,3.4142362117767333,3.293213367462158,3.0860132455825804,,,
2004-10-11,,,3.3606197834014893,3.415230131149292,3.3354509115219115,3.120499002933502,,,
2004-10-12,,,3.4137892723083496,3.410410165786743,3.3616381883621216,3.1526865005493163,,,
2004-10-13,,,3.500748634338379,3.429392147064209,3.3860365390777587,3.1885884284973143,,,
2004-10-14,,,3.528078556060791,3.4450448989868163,3.4168450832366943,3.223409557342529,,,
2004-10-15,,,3.580503225326538,3.4767478942871093,3.4454920530319213,3.2564790725708006,,,
2004-10-18,,,3.705973863601685,3.5458187103271483,3.48052442073822,3.2934990525245667,,,
2004-10-19,,,3.675662279129028,3.598193311691284,3.504301738739014,3.330891728401184,,,
2004-10-20,,,3.490561962127685,3.5961559772491456,3.5127740621566774,3.358358585834503,,,
2004-10-21,,,3.711439609527588,3.632828187942505,3.5389365434646605,3.393838119506836,,,
2004-10-22,,,4.28413200378418,3.7735539436340333,3.6251509189605713,3.4591821432113647,,,
