Date,GRADE,GPS,DOV,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.2884374856948853,,,,,,
1983-11-22,,,1.3034186363220217,,,,,,
1983-11-23,,,1.3283878564834597,,,,,,
1983-11-24,,,1.3283878564834597,,,,,,
1983-11-25,,,1.323393702507019,1.314405107498169,,,,,
1983-11-28,,,1.323393702507019,1.321396350860596,,,,,
1983-11-29,,,1.3283878564834597,1.3263901948928836,,,,,
1983-11-30,,,1.318400263786316,1.3243926763534546,,,,,
1983-12-01,,,1.3283878564834597,1.3243926763534546,,,,,
1983-12-02,,,1.3283878564834597,1.3253915071487428,1.319898307323456,,,,
1983-12-05,,,1.2884374856948853,1.318400263786316,1.319898307323456,,,,
1983-12-06,,,1.3034186363220217,1.3134064197540285,1.319898307323456,,,,
1983-12-07,,,1.3058302402496338,1.310892415046692,1.3176425457000733,,,,
1983-12-08,,,1.3158748149871826,1.3083898067474367,1.3163912415504457,,,,
1983-12-09,,,1.351030707359314,1.3129183769226074,1.3191549420356752,,,,
1983-12-12,,,1.3008071184158323,1.315392303466797,1.3168962836265565,,,,
1983-12-13,,,1.285739183425903,1.3118564128875732,1.3126314163208008,,,,
1983-12-14,,,1.3158748149871826,1.313865327835083,1.3123788714408875,,,,
1983-12-15,,,1.275695562362671,1.3058294773101804,1.3071096420288086,,,,
1983-12-16,,,1.2606265544891355,1.2877486467361448,1.3003335118293762,1.310115909576416,,,
1983-12-19,,,1.2053815126419067,1.2686635255813599,1.2920279145240783,1.305963110923767,,,
1983-12-20,,,1.2254706621170044,1.25660982131958,1.2842331171035766,1.3020657122135162,,,
1983-12-21,,,1.2556053400039673,1.244555926322937,1.27921062707901,1.2984265863895417,,,
1983-12-22,,,1.2355163097381592,1.2365200757980346,1.2711747765541077,1.2937830090522766,,,
1983-12-23,,,1.2053815126419067,1.225471067428589,1.256609857082367,1.287882399559021,,,
1983-12-26,,,1.2053815126419067,1.225471067428589,1.2470672965049743,1.2819817900657653,,,
1983-12-27,,,1.2104041576385498,1.222457766532898,1.239533793926239,1.27608260512352,,,
1983-12-28,,,1.2104041576385498,1.2134175300598145,1.2289867281913758,1.2706827998161316,,,
1983-12-29,,,1.2104041576385498,1.2083950996398927,1.2224575877189636,1.264783614873886,,,
1983-12-30,,,1.2053815126419067,1.2083950996398927,1.2169330835342407,1.2586332976818084,,,
1984-01-02,,,1.2053815126419067,1.2083950996398927,1.2169330835342407,1.2544804990291596,,,
1984-01-03,,,1.2304940223693848,1.2124130725860596,1.2174354195594788,1.2508342683315277,,,
1984-01-04,,,1.2254706621170044,1.2154263734817505,1.2144219517707824,1.2468162894248962,,,
1984-01-05,,,1.2907617092132568,1.231497883796692,1.2199464917182923,1.2455606341362,,,
1984-01-06,,,1.3359636068344116,1.257614302635193,1.2330047011375427,1.244807279109955,,,
1984-01-09,,,1.3460091352462769,1.285739827156067,1.2470674633979797,1.247067379951477,,,
1984-01-10,,,1.3158748149871826,1.3028159856796264,1.257614529132843,1.248574161529541,,,
1984-01-11,,,1.3460091352462769,1.326923680305481,1.2711750268936157,1.2500808775424956,,,
1984-01-12,,,1.3359636068344116,1.335964059829712,1.283730971813202,1.2530942797660827,,,
1984-01-13,,,1.3460091352462769,1.337973165512085,1.297793734073639,1.2573634088039398,,,
1984-01-16,,,1.366098403930664,1.3419910192489624,1.3138654232025146,1.2653992533683778,,,
1984-01-17,,,1.396232008934021,1.35806245803833,1.3304392218589782,1.2739373207092286,,,
1984-01-18,,,1.4062784910202026,1.3701163291931153,1.348520004749298,1.2814709782600402,,,
1984-01-19,,,1.4113001823425293,1.3851836442947387,1.3605738520622253,1.2902601718902589,,,
1984-01-20,,,1.3761422634124756,1.3912102699279785,1.3645917177200317,1.2987982094287873,,,
1984-01-23,,,1.356053590774536,1.3892013072967528,1.3655961632728575,1.3063318133354187,,,
1984-01-24,,,1.381165862083435,1.3861880779266358,1.372125267982483,1.314869898557663,,,
1984-01-25,,,1.371120572090149,1.379156494140625,1.3746364116668701,1.322905719280243,,,
1984-01-26,,,1.3409863710403442,1.365093731880188,1.3751386880874634,1.3294348299503327,,,
1984-01-27,,,1.351030707359314,1.3600714206695557,1.3756408452987672,1.336717289686203,1.3021198964118958,,
1984-01-30,,,1.3460091352462769,1.3580625295639037,1.3736319184303283,1.3437486708164215,1.3032713294029237,,
1984-01-31,,,1.3460091352462769,1.3510311841964722,1.3686096310615539,1.3495244264602662,1.3041231393814088,,
1984-02-01,,,1.2957853078842163,1.3359641313552857,1.3575603127479554,1.3530401587486267,1.3034710884094238,,
1984-02-02,,,1.2957853078842163,1.32692391872406,1.346008825302124,1.3532913386821748,1.3028190374374389,,
1984-02-03,,,1.3058302402496338,1.3178838253021241,1.3389776229858399,1.3517846703529357,1.3024677681922912,,
1984-02-06,,,1.3008071184158323,1.3088434219360352,1.3334529757499696,1.3495245695114135,1.3020160365104676,,
1984-02-07,,,1.3058302402496338,1.3008076429367066,1.3259194135665893,1.349022340774536,1.301564884185791,,
1984-02-08,,,1.2957853078842163,1.3008076429367066,1.3183858871459961,1.346511149406433,1.301112585067749,,
