Date,GRADE,GPS,PNC,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,2.6406636238098145,,,,,,
1983-11-22,,,2.6651148796081543,,,,,,
1983-11-23,,,2.722165107727051,,,,,,
1983-11-24,,,2.722165107727051,,,,,,
1983-11-25,,,2.697714328765869,2.689564609527588,,,,,
1983-11-28,,,2.705864667892456,2.702604818344116,,,,,
1983-11-29,,,2.73846697807312,2.7172752380371095,,,,,
1983-11-30,,,2.746614694595337,2.7221651554107664,,,,,
1983-12-01,,,2.787367343902588,2.735205602645874,,,,,
1983-12-02,,,2.8118176460266118,2.7580262660980224,2.723795437812805,,,,
1983-12-05,,,2.7792165279388428,2.7726966381072997,2.737650728225708,,,,
1983-12-06,,,2.7792165279388428,2.7808465480804445,2.7490608930587768,,,,
1983-12-07,,,2.8118176460266118,2.793887138366699,2.758026146888733,,,,
1983-12-08,,,2.8444197177886963,2.805297613143921,2.7702516078948975,,,,
1983-12-09,,,2.8362679481506348,2.8101876735687257,2.784106969833374,,,,
1983-12-12,,,2.8362679481506348,2.821597957611084,2.797147297859192,,,,
1983-12-13,,,2.803666353225708,2.826487922668457,2.8036672353744505,,,,
1983-12-14,,,2.8118176460266118,2.8264879226684574,2.8101875305175783,,,,
1983-12-15,,,2.803666353225708,2.818337249755859,2.81181743144989,,,,
1983-12-16,,,2.787367343902588,2.80855712890625,2.809372401237488,2.7665839195251465,,,
1983-12-19,,,2.787367343902588,2.7987770080566405,2.810187482833862,2.773919105529785,,,
1983-12-20,,,2.795517683029175,2.797147274017334,2.8118175983428957,2.780439245700836,,,
1983-12-21,,,2.787367343902588,2.792257213592529,2.809372568130493,2.783699357509613,,,
1983-12-22,,,2.8199684619903564,2.795517635345459,2.806927442550659,2.788589525222778,,,
1983-12-23,,,2.795517683029175,2.7971477031707765,2.802852416038513,2.793479692935944,,,
1983-12-26,,,2.795517683029175,2.798777770996094,2.798777389526367,2.7979623436927796,,,
1983-12-27,,,2.787367343902588,2.7971477031707765,2.7971474885940553,2.800407361984253,,,
1983-12-28,,,2.7792165279388428,2.7955175399780274,2.7938873767852783,2.8020374536514283,,,
1983-12-29,,,2.803666353225708,2.7922571182250975,2.7938873767852783,2.8028524041175844,,,
1983-12-30,,,2.795517683029175,2.7922571182250975,2.794702410697937,2.8020374059677122,,,
1984-01-02,,,2.795517683029175,2.7922571182250975,2.7955174446105957,2.802852463722229,,,
1984-01-03,,,2.8199684619903564,2.7987773418426514,2.797962522506714,2.8048900604248046,,,
