Date,GRADE,GPS,CHD,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,0.2933792471885681,,,,,,
1983-11-22,,,0.2933792471885681,,,,,,
1983-11-23,,,0.2933792471885681,,,,,,
1983-11-24,,,0.2933792471885681,,,,,,
1983-11-25,,,0.2933792471885681,0.2933792471885681,,,,,
1983-11-28,,,0.289000004529953,0.2925033986568451,,,,,
1983-11-29,,,0.289000004529953,0.2916275501251221,,,,,
1983-11-30,,,0.289000004529953,0.290751701593399,,,,,
1983-12-01,,,0.289000004529953,0.289875853061676,,,,,
1983-12-02,,,0.289000004529953,0.289000004529953,0.29118962585926056,,,,
1983-12-05,,,0.2933792471885681,0.289875853061676,0.29118962585926056,,,,
1983-12-06,,,0.2977575957775116,0.29162737131118777,0.29162746071815493,,,,
1983-12-07,,,0.3065153956413269,0.2951304495334625,0.2929410755634308,,,,
1983-12-08,,,0.3152728974819183,0.3003850281238556,0.29513044059276583,,,,
1983-12-09,,,0.3240306079387665,0.3073911488056183,0.2981955766677856,,,,
1983-12-12,,,0.3196514546871185,0.31264559030532835,0.3012607216835022,,,,
1983-12-13,,,0.3196514546871185,0.3170243620872497,0.30432586669921874,,,,
1983-12-14,,,0.3240306079387665,0.3205274045467376,0.3078289270401001,,,,
1983-12-15,,,0.3240306079387665,0.32227894663810724,0.31133198738098145,,,,
1983-12-16,,,0.3196514546871185,0.32140311598777765,0.314397132396698,0.30279337912797927,,,
1983-12-19,,,0.3196514546871185,0.3214031159877777,0.317024353146553,0.3041069895029068,,,
1983-12-20,,,0.3196514546871185,0.3214031159877777,0.3192137390375137,0.3054205998778343,,,
1983-12-21,,,0.3196514546871185,0.32052728533744806,0.32052734494209284,0.3067342102527618,,,
1983-12-22,,,0.3196514546871185,0.3196514546871185,0.32096520066261286,0.3080478206276894,,,
1983-12-23,,,0.3152728974819183,0.31877574324607844,0.32008942961692805,0.3091425031423568,,,
1983-12-26,,,0.3152728974819183,0.31790003180503834,0.319651573896408,0.3104561477899551,,,
1983-12-27,,,0.3152728974819183,0.3170243203639983,0.319213718175888,0.3117697924375534,,,
1983-12-28,,,0.3152728974819183,0.3161486089229583,0.31833794713020314,0.31308343708515163,,,
1983-12-29,,,0.3196514546871185,0.3161486089229583,0.31790003180503834,0.3146160095930099,,,
1983-12-30,,,0.3196514546871185,0.3170243203639983,0.31790003180503834,0.31614858210086816,,,
1984-01-02,,,0.3196514546871185,0.31790003180503834,0.3179000318050384,0.3174621924757957,,,
1984-01-03,,,0.3152728974819183,0.3179000318050384,0.3174621760845184,0.318337957561016,,,
1984-01-04,,,0.3152728974819183,0.3179000318050384,0.31702432036399836,0.3187758326530456,,,
1984-01-05,,,0.3196514546871185,0.31790003180503834,0.31702432036399836,0.3189947605133056,,,
1984-01-06,,,0.3240306079387665,0.31877586245536793,0.31790009140968317,0.3189947605133056,,,
1984-01-09,,,0.3240306079387665,0.31965169310569763,0.318775862455368,0.319213718175888,,,
1984-01-10,,,0.3240306079387665,0.32140323519706726,0.3196516335010528,0.3194326758384704,,,
1984-01-11,,,0.3240306079387665,0.3231547772884369,0.32052740454673767,0.3194326758384704,,,
1984-01-12,,,0.3240306079387665,0.3240306079387665,0.32096531987190247,0.3194326758384704,,,
1984-01-13,,,0.3196514546871185,0.32315477728843683,0.32096531987190247,0.3194326758384704,,,
1984-01-16,,,0.3196514546871185,0.3222789466381073,0.32096531987190247,0.3194326758384704,,,
1984-01-17,,,0.3196514546871185,0.3214031159877777,0.32140317559242243,0.3194326758384704,,,
1984-01-18,,,0.3196514546871185,0.3205272853374481,0.32184103131294245,0.3194326758384704,,,
1984-01-19,,,0.3196514546871185,0.3196514546871185,0.32184103131294245,0.31943267583847046,,,
1984-01-20,,,0.3240306079387665,0.32052728533744806,0.32184103131294245,0.31987056136131287,,,
1984-01-23,,,0.3240306079387665,0.32140311598777765,0.32184103131294245,0.3203084468841553,,,
1984-01-24,,,0.3152728974819183,0.3205274045467376,0.32096526026725763,0.3203084468841553,,,
1984-01-25,,,0.3152728974819183,0.31965169310569763,0.3200894892215728,0.3203084468841552,,,
1984-01-26,,,0.3152728974819183,0.3187759816646576,0.319213718175888,0.3200895190238952,,,
1984-01-27,,,0.3152728974819183,0.3170244395732879,0.318775862455368,0.3198705911636352,0.31264559447765344,,
1984-01-30,,,0.3108944296836853,0.31439720392227166,0.31790015995502474,0.31943273991346355,0.3129958981275558,,
1984-01-31,,,0.3108944296836853,0.3135215103626251,0.3170244574546814,0.3192138165235519,0.31334620177745814,,
1984-02-01,,,0.3108944296836853,0.3126458168029785,0.3161487549543381,0.31899489313364027,0.3136965054273605,,
1984-02-02,,,0.3065153956413269,0.3108943164348602,0.3148351490497589,0.3183380901813507,0.31395922839641566,,
1984-02-03,,,0.3065153956413269,0.30914281606674193,0.313083627820015,0.3174623295664787,0.3142219513654709,,
1984-02-06,,,0.2977575957775116,0.3065154492855072,0.31045632660388944,0.3161486789584159,0.314397103190422,,
1984-02-07,,,0.2977575957775116,0.30388808250427246,0.3087047964334488,0.3148350283503532,0.31457225501537317,,
1984-02-08,,,0.289000004529953,0.299509197473526,0.30607750713825227,0.31308349817991254,0.31457225501537317,,
1984-02-09,,,0.289000004529953,0.2960061192512512,0.3034502178430557,0.3113319680094718,0.31457225501537317,,
1984-02-10,,,0.280242383480072,0.29075151681900024,0.2999471664428711,0.3093615144491195,0.3143971025943756,,
1984-02-13,,,0.2671061754226684,0.28462123274803164,0.29556834101676943,0.30673425048589703,0.3138716411590576,,
