Date,GRADE,GPS,MMM,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,2.652132272720337,,,,,,
1983-11-22,,,2.625948905944824,,,,,,
1983-11-23,,,2.592282056808472,,,,,,
1983-11-24,,,2.592282056808472,,,,,,
1983-11-25,,,2.5997629165649414,2.612481641769409,,,,,
1983-11-28,,,2.59602165222168,2.601259517669678,,,,,
1983-11-29,,,2.5885400772094727,2.593777751922608,,,,,
1983-11-30,,,2.5623579025268555,2.5877929210662844,,,,,
1983-12-01,,,2.532431364059448,2.5758227825164797,,,,,
1983-12-02,,,2.5249481201171875,2.5608598232269286,2.586670732498169,,,,
1983-12-05,,,2.532431364059448,2.5481417655944822,2.57470064163208,,,,
1983-12-06,,,2.5361714363098145,2.5376680374145506,2.5657228946685793,,,,
1983-12-07,,,2.5623579025268555,2.5376680374145506,2.5627304792404173,,,,
1983-12-08,,,2.5361714363098145,2.538416051864624,2.5571194171905516,,,,
1983-12-09,,,2.5212104320526123,2.537668514251709,2.549264168739319,,,,
1983-12-12,,,2.566096544265747,2.5444015502929687,2.5462716579437257,,,,
1983-12-13,,,2.5735788345336914,2.551883029937744,2.5447755336761473,,,,
1983-12-14,,,2.5436525344848637,2.5481419563293457,2.542904996871948,,,,
1983-12-15,,,2.5436525344848637,2.549638175964356,2.5440271139144897,,,,
1983-12-16,,,2.5361714363098145,2.552630376815796,2.5451494455337524,2.5659100890159605,,,
1983-12-19,,,2.5249481201171875,2.5444006919860844,2.5444011211395265,2.5595508813858032,,,
1983-12-20,,,2.5137274265289307,2.5324304103851323,2.542156720161438,2.5539398074150084,,,
1983-12-21,,,2.5436525344848637,2.532430410385132,2.5402861833572388,2.551508331298828,,,
1983-12-22,,,2.48754358291626,2.521208620071411,2.5354233980178837,2.5462714076042174,,,
1983-12-23,,,2.4763200283050537,2.509238338470459,2.530934357643128,2.540099263191223,,,
1983-12-26,,,2.4763200283050537,2.499512720108032,2.5219567060470585,2.534114181995392,,,
1983-12-27,,,2.5137274265289307,2.499512720108032,2.5159715652465824,2.530373549461365,,,
1983-12-28,,,2.495024919509888,2.489787197113037,2.5111088037490847,2.5270069003105164,,,
1983-12-29,,,2.468838930130005,2.4860462665557863,2.503627443313599,2.523827278614044,,,
1983-12-30,,,2.468838930130005,2.484550046920776,2.496894192695618,2.521021819114685,,,
1984-01-02,,,2.468838930130005,2.4830538272857665,2.4912832736969,2.517842197418213,,,
1984-01-03,,,2.468838930130005,2.4740761280059815,2.486794424057007,2.5144755721092222,,,
1984-01-04,,,2.517467498779297,2.478564643859863,2.48417592048645,2.5122310519218445,,,
1984-01-05,,,2.53991174697876,2.4927792072296144,2.4894127368927004,2.512418067455292,,,
1984-01-06,,,2.532431364059448,2.505497694015503,2.4950238704681396,2.5129791140556335,,,
1984-01-09,,,2.5099868774414062,2.5137272834777833,2.498390555381775,2.5101736307144167,,,
1984-01-10,,,2.498765230178833,2.519712543487549,2.4968943357467652,2.5064329504966736,,,
1984-01-11,,,2.4763200283050537,2.5114830493927003,2.4950238466262817,2.503066325187683,,,
1984-01-12,,,2.468838930130005,2.497268486022949,2.4950238466262817,2.4993256449699404,,,
1984-01-13,,,2.468838930130005,2.4845499992370605,2.4950238466262817,2.49595901966095,,,
1984-01-16,,,2.431432247161865,2.468839073181152,2.4912831783294678,2.4912832260131834,,,
1984-01-17,,,2.4276928901672363,2.454624605178833,2.487168574333191,2.4869814991950987,,,
