Date,GRADE,GPS,NOC,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,4.400444030761719,,,,,,
1983-11-22,,,4.432374477386475,,,,,,
1983-11-23,,,4.419604778289795,,,,,,
1983-11-24,,,4.419604778289795,,,,,,
1983-11-25,,,4.394056797027588,4.413216972351075,,,,,
1983-11-28,,,4.381283283233643,4.409384822845459,,,,,
1983-11-29,,,4.432374477386475,4.409384822845459,,,,,
1983-11-30,,,4.387670993804932,4.402998065948486,,,,,
1983-12-01,,,4.387670993804932,4.396611309051513,,,,,
1983-12-02,,,4.362123012542725,4.390224552154541,4.401720762252808,,,,
1983-12-05,,,4.342964172363281,4.382560729980469,4.395972776412964,,,,
1983-12-06,,,4.330190181732178,4.36212387084961,4.385754346847534,,,,
1983-12-07,,,4.317416667938232,4.3480730056762695,4.375535535812378,,,,
1983-12-08,,,4.228002071380615,4.316139221191406,4.35637526512146,,,,
1983-12-09,,,4.202455520629883,4.284205722808838,4.33721513748169,,,,
1983-12-12,,,4.202455520629883,4.256103992462158,4.3193323612213135,,,,
1983-12-13,,,4.215228080749512,4.233111572265625,4.297617721557617,,,,
1983-12-14,,,4.176910877227783,4.205010414123535,4.276541709899902,,,,
1983-12-15,,,4.157750129699707,4.190960025787353,4.25354962348938,,,,
1983-12-16,,,4.151360511779785,4.180741024017334,4.232473373413086,4.317097067832947,,,
1983-12-19,,,4.196067810058594,4.179463481903076,4.217783737182617,4.30687825679779,,,
1983-12-20,,,4.196067810058594,4.175631427764893,4.204371500015259,4.295062923431397,,,
1983-12-21,,,4.291869163513184,4.198623085021973,4.201816749572754,4.288676142692566,,,
1983-12-22,,,4.394056797027588,4.245884418487549,4.218422222137451,4.287398743629455,,,
1983-12-23,,,4.355736255645752,4.286759567260742,4.233750295639038,4.285482716560364,,,
1983-12-26,,,4.355736255645752,4.3186932563781735,4.249078369140625,4.284205365180969,,,
1983-12-27,,,4.342964172363281,4.348072528839111,4.261851978302002,4.27973484992981,,,
1983-12-28,,,4.330190181732178,4.35573673248291,4.277179908752442,4.2768608093261715,,,
1983-12-29,,,4.362123012542725,4.3493499755859375,4.297617197036743,4.275583410263062,,,
1983-12-30,,,4.406830310821533,4.359568786621094,4.323164176940918,4.277818775177002,,,
1984-01-02,,,4.406830310821533,4.36978759765625,4.344240427017212,4.281012082099915,,,
1984-01-03,,,4.362123012542725,4.3736193656921385,4.360845947265625,4.2826087236404415,,,
1984-01-04,,,4.394056797027588,4.38639268875122,4.371064710617065,4.28644073009491,,,
1984-01-05,,,4.521791458129883,4.418326377868652,4.383838176727295,4.301130199432373,,,
1984-01-06,,,4.630364418029785,4.463033199310303,4.411300992965698,4.3225256443023685,,,
1984-01-09,,,4.636752128601074,4.509017562866211,4.4394025802612305,4.344240474700928,,,
1984-01-10,,,4.649524688720703,4.566497898101806,4.470058631896973,4.3659553050994875,,,
1984-01-11,,,4.726163864135742,4.6329193115234375,4.509656000137329,4.393417954444885,,,
1984-01-12,,,4.796419143676758,4.687844848632812,4.553085613250732,4.425351405143738,,,
1984-01-13,,,4.713394641876221,4.704450893402099,4.5837420463562015,4.453453111648559,,,
1984-01-16,,,4.719780921936035,4.721056652069092,4.615037107467652,4.479638767242432,,,
1984-01-17,,,4.687844276428223,4.728720569610596,4.647609233856201,4.504227590560913,,,
1984-01-18,,,4.713394641876221,4.726166725158691,4.6795430183410645,4.525303864479065,,,
1984-01-19,,,4.675074100494385,4.701897716522216,4.694871282577514,4.539354729652405,,,
1984-01-20,,,4.668685436248779,4.692955875396729,4.698703384399414,4.555002188682556,,,
1984-01-23,,,4.630364418029785,4.675072574615479,4.698064613342285,4.568733596801758,,,
1984-01-24,,,4.572886943817139,4.652081108093261,4.690400838851929,4.58022973537445,,,
1984-01-25,,,4.611204624176025,4.6316431045532225,4.678904914855957,4.594280457496643,,,
1984-01-26,,,4.611204624176025,4.618869209289551,4.660383462905884,4.6067345380783085,,,
1984-01-27,,,4.611204624176025,4.607373046875,4.650164461135864,4.616953253746033,4.438252964019775,,
1984-01-30,,,4.477085590362549,4.576717281341553,4.625894927978516,4.620466017723084,4.439785795211792,,
1984-01-31,,,4.477085590362549,4.557557010650635,4.604819059371948,4.626214146614075,4.440680017471314,,
1984-02-01,,,4.317416667938232,4.498799419403076,4.56522126197815,4.622382140159607,4.438636255264282,,
1984-02-02,,,4.394056797027588,4.455369853973389,4.53711953163147,4.615995407104492,4.438125295639038,,
1984-02-03,,,4.291869163513184,4.391502761840821,4.49943790435791,4.599070644378662,4.43608154296875,,
1984-02-06,,,4.240775108337402,4.344240665435791,4.460478973388672,4.5792717933654785,4.433271379470825,,
1984-02-07,,,4.202455520629883,4.289314651489258,4.423435831069947,4.556918334960938,4.428673000335693,,
1984-02-08,,,4.164137363433838,4.258658790588379,4.3787291049957275,4.5288170099258425,4.424202327728271,,
1984-02-09,,,4.125815391540527,4.205010509490966,4.330190181732178,4.495286822319031,4.4189652156829835,,
1984-02-10,,,4.176910877227783,4.182018852233886,4.2867608070373535,4.468462634086609,4.415260972976685,,
1984-02-13,,,4.138588905334473,4.1615816116333,4.252911138534546,4.43940303325653,4.411173467636108,,
1984-02-14,,,4.253549575805664,4.171800422668457,4.230557537078857,4.417688298225403,4.4096406555175784,,
