Date,GRADE,GPS,O,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1994-10-18,,,1.2391411066055298,,,,,,
1994-10-19,,,1.3456275463104248,,,,,,
1994-10-20,,,1.3553098440170288,,,,,,
1994-10-21,,,1.3359482288360596,,,,,,
1994-10-24,,,1.3069058656692505,1.3165865182876586,,,,,
1994-10-25,,,1.3262662887573242,1.3340115547180176,,,,,
1994-10-26,,,1.3184542655944824,1.3285768985748292,,,,,
1994-10-27,,,1.3184542655944824,1.3212057828903199,,,,,
1994-10-28,,,1.2989212274551392,1.3138003826141358,,,,,
1994-10-31,,,1.2989212274551392,1.3122034549713135,1.3143949866294862,,,,
1994-11-01,,,1.2989212274551392,1.3067344427108765,1.320372998714447,,,,
1994-11-02,,,1.2891544103622437,1.3008744716644287,1.314725685119629,,,,
1994-11-03,,,1.279388666152954,1.2930613517761231,1.3071335673332214,,,,
1994-11-04,,,1.2500897645950315,1.2832950592041015,1.2985477209091187,,,,
1994-11-07,,,1.2500897645950315,1.27352876663208,1.2928661108016968,,,,
1994-11-08,,,1.2696220874786377,1.2676689386367799,1.2872016906738282,,,,
1994-11-09,,,1.259856104850769,1.261809277534485,1.2813418745994567,,,,
1994-11-10,,,1.230557203292847,1.2520429849624635,1.2725521683692933,,,,
1994-11-11,,,1.220790982246399,1.2461832284927368,1.2647391438484192,,,,
1994-11-14,,,1.230557203292847,1.2422767162322998,1.25790274143219,1.286148864030838,,,
1994-11-15,,,1.2012577056884766,1.2286038398742676,1.2481363892555237,1.2842546939849853,,,
1994-11-16,,,1.2110236883163452,1.218837356567383,1.2403233170509338,1.2775245010852814,,,
1994-11-17,,,1.220790982246399,1.2168841123580934,1.2344635486602784,1.2707985579967498,,,
1994-11-18,,,1.191490650177002,1.2110240459442139,1.2286036372184754,1.263575679063797,,,
1994-11-21,,,1.2110236883163452,1.2071173429489135,1.2246970295906068,1.2587815701961518,,,
1994-11-22,,,1.2110236883163452,1.2090705394744874,1.2188371896743775,1.2530194401741028,,,
1994-11-23,,,1.220790982246399,1.211023998260498,1.2149306774139403,1.2481362760066985,,,
1994-11-24,,,1.220790982246399,1.211023998260498,1.2139540553092956,1.2432531118392944,,,
1994-11-25,,,1.23262357711792,1.2192505836486816,1.2151373147964477,1.2399382293224335,,,
1994-11-28,,,1.252346396446228,1.2275151252746581,1.2173162341117858,1.2376094877719879,,,
1994-11-29,,,1.242484450340271,1.2338072776794433,1.2214389085769652,1.2347876489162446,,,
1994-11-30,,,1.2622060775756836,1.2420902967453002,1.2265571475028991,1.2334402322769165,,,
1994-12-01,,,1.2720681428909302,1.2523457288742066,1.2316848635673523,1.2330742061138154,,,
1994-12-02,,,1.252346396446228,1.2562902927398683,1.237770438194275,1.2331870377063752,,,
1994-12-05,,,1.252346396446228,1.2562902927398683,1.2419027090072632,1.233299869298935,,,
1994-12-06,,,1.252346396446228,1.2582626819610596,1.2460349798202515,1.2324360847473144,,,
1994-12-07,,,1.252346396446228,1.2562907457351684,1.2491905212402343,1.2320605993270874,,,
1994-12-08,,,1.242484450340271,1.2503740072250367,1.2513598680496216,1.2326569616794587,,,
1994-12-09,,,1.242484450340271,1.2484016180038453,1.2523459553718568,1.2337416350841521,,,
1994-12-12,,,1.242484450340271,1.2464292287826537,1.251359760761261,1.2343379974365234,,,
1994-12-13,,,1.242484450340271,1.2444568395614624,1.251359760761261,1.2363993346691131,,,
1994-12-14,,,1.2622060775756836,1.2464287757873536,1.251359760761261,1.2389584541320802,,,
1994-12-15,,,1.2622060775756836,1.2503731012344361,1.2503735542297363,1.2410292088985444,,,
1994-12-16,,,1.3016506433486938,1.2622063398361205,1.255303978919983,1.246537208557129,,,
1994-12-19,,,1.3213728666305542,1.2779840230941772,1.2622066259384155,1.2520546674728394,,,
1994-12-20,,,1.3213728666305542,1.293761706352234,1.269109272956848,1.2575721263885498,,,
1994-12-21,,,1.3213728666305542,1.305595064163208,1.2760119199752809,1.2626012206077575,,,
1994-12-22,,,1.3213728666305542,1.317428421974182,1.283900761604309,1.2676303148269654,,,
1994-12-23,,,1.3115108013153076,1.3194004535675048,1.2908033967018127,1.2715746760368347,,,
1994-12-26,,,1.3115108013153076,1.3174280405044556,1.2977060317993163,1.2745328962802887,1.2677359509468078,,
1994-12-27,,,1.3035507202148438,1.3138636112213136,1.3038126587867738,1.2775862097740174,1.2690241432189941,,
1994-12-28,,,1.3234516382217407,1.3142793655395508,1.3099372148513795,1.2806484878063202,1.2685806250572205,,
1994-12-29,,,1.3135017156600952,1.312705135345459,1.3150667786598205,1.2827201664447785,1.2677444624900818,,
1994-12-30,,,1.3632558584213257,1.3230541467666626,1.3212273001670838,1.2882656395435332,1.2682906150817872,,
1995-01-02,,,1.3632558584213257,1.3334031581878663,1.325415599346161,1.2938111126422882,1.2694176149368286,,
1995-01-03,,,1.3433538675308228,1.341363787651062,1.3276136994361878,1.298361486196518,1.2697593665122986,,
1995-01-04,,,1.3135017156600952,1.339373803138733,1.3268265843391418,1.3014192521572112,1.2696603155136108,,
1995-01-05,,,1.3234516382217407,1.341363787651062,1.3270344614982605,1.3054676115512849,1.269760262966156,,
1995-01-06,,,1.3234516382217407,1.333402943611145,1.3282285451889038,1.3095159709453583,1.270250871181488,,
1995-01-09,,,1.3533045053482056,1.331412672996521,1.3324079155921935,1.315056973695755,1.2713385367393493,,
