Date,GRADE,GPS,CPT,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1993-07-22,,,4.464837074279785,,,,,,
1993-07-23,,,4.513367176055908,,,,,,
1993-07-26,,,4.416304111480713,,,,,,
1993-07-27,,,4.416304111480713,,,,,,
1993-07-28,,,4.464837074279785,4.455129909515381,,,,,
1993-07-29,,,4.44057035446167,4.450276565551758,,,,,
1993-07-30,,,4.44057035446167,4.43571720123291,,,,,
1993-08-02,,,4.416304111480713,4.43571720123291,,,,,
1993-08-03,,,4.464837074279785,4.445423793792725,,,,,
1993-08-04,,,4.489102840423584,4.450276947021484,4.452703428268433,,,,
1993-08-05,,,4.44057035446167,4.450276947021484,4.4502767562866214,,,,
1993-08-06,,,4.464837074279785,4.455130290985108,4.445423746109009,,,,
1993-08-09,,,4.44057035446167,4.459983539581299,4.447850370407105,,,,
1993-08-10,,,4.3677754402160645,4.440571212768555,4.4429975032806395,,,,
1993-08-11,,,4.34351110458374,4.411452865600586,4.430864906311035,,,,
1993-08-12,,,4.319243907928467,4.387187576293945,4.4187322616577145,,,,
1993-08-13,,,4.34351110458374,4.3629223823547365,4.409026336669922,,,,
1993-08-16,,,4.34351110458374,4.343510532379151,4.401747035980224,,,,
1993-08-17,,,4.3677754402160645,4.343510532379151,4.392040872573853,,,,
1993-08-18,,,4.294981002807617,4.333804512023926,4.372628688812256,4.412666058540344,,,
1993-08-19,,,4.34351110458374,4.33865795135498,4.3629227638244625,4.406599760055542,,,
1993-08-20,,,4.319243907928467,4.333804512023926,4.348363447189331,4.39689359664917,,,
1993-08-23,,,4.416304111480713,4.3483631134033205,4.345936822891235,4.39689359664917,,,
1993-08-24,,,4.561899185180664,4.387187862396241,4.365349197387696,4.404173350334167,,,
1993-08-25,,,4.561899185180664,4.44057149887085,4.3871880054473875,4.409026455879212,,,
1993-08-26,,,4.537632465362549,4.479395771026612,4.409026861190796,4.413879561424255,,,
1993-08-27,,,4.561899185180664,4.527926826477051,4.430865669250489,4.419946002960205,,,
1993-08-30,,,4.561899185180664,4.557045841217041,4.4527044773101805,4.4272257566452025,,,
1993-08-31,,,4.658960342407227,4.576458072662353,4.481822967529297,4.436931920051575,,,
