Date,GRADE,GPS,APD,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,2.015523195266724,,,,,,
1983-11-22,,,2.032701253890991,,,,,,
1983-11-23,,,2.026975154876709,,,,,,
1983-11-24,,,2.026975154876709,,,,,,
1983-11-25,,,2.032701253890991,2.0269752025604246,,,,,
1983-11-28,,,2.015523195266724,2.0269752025604246,,,,,
1983-11-29,,,2.004072427749634,2.0212494373321532,,,,,
1983-11-30,,,2.078508138656616,2.0315560340881347,,,,,
1983-12-01,,,2.089959621429444,2.044152927398682,,,,,
1983-12-02,,,2.1529464721679688,2.0682019710540773,2.047588586807251,,,,
1983-12-05,,,2.089959621429444,2.083089256286621,2.055032229423523,,,,
1983-12-06,,,2.112864255905152,2.104847621917725,2.0630485296249392,,,,
1983-12-07,,,2.112864255905152,2.111718845367432,2.0716374397277835,,,,
1983-12-08,,,2.112864255905152,2.1162997722625736,2.0802263498306277,,,,
1983-12-09,,,2.1472198963165283,2.1151544570922853,2.0916782140731813,,,,
1983-12-12,,,2.141493558883667,2.1254612445831302,2.104275250434876,,,,
1983-12-13,,,2.107138633728028,2.1243161201477054,2.114581871032715,,,,
1983-12-14,,,2.055605411529541,2.112864351272583,2.1122915983200077,,,,
1983-12-15,,,2.04987907409668,2.1002673149108886,2.1082835435867313,,,,
1983-12-16,,,2.1014130115509038,2.0911059379577637,2.103130197525025,2.075359392166138,,,
1983-12-19,,,2.095688343048096,2.0819448947906496,2.1037030696868895,2.0793676495552065,,,
1983-12-20,,,2.055605411529541,2.0716382503509525,2.0979771852493285,2.0805128574371343,,,
1983-12-21,,,2.055605411529541,2.0716382503509525,2.0922513008117676,2.0819443702697757,,,
1983-12-22,,,2.044154167175293,2.070493268966675,2.085380291938782,2.0828033208847048,,,
1983-12-23,,,2.038427352905273,2.057896137237549,2.0745010375976562,2.0830896258354192,,,
1983-12-26,,,2.038427352905273,2.046443939208984,2.064194416999817,2.0842348337173466,,,
1983-12-27,,,2.055605411529541,2.046443939208984,2.0590410947799684,2.086811482906342,,,
1983-12-28,,,2.055605411529541,2.046443939208984,2.0590410947799684,2.085666346549988,,,
1983-12-29,,,2.0728776454925537,2.052188634872436,2.0613409519195556,2.0848122477531437,,,
1983-12-30,,,2.055605173110962,2.0556241989135744,2.0567601680755616,2.0799451828002935,,,
1984-01-02,,,2.055605173110962,2.059059762954712,2.0527518510818483,2.0782274603843693,,,
