Date,GRADE,GPS,XYL,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2011-10-13,,,20.35616683959961,,,,,,
2011-10-14,,,21.279544830322266,,,,,,
2011-10-17,,,21.12004280090332,,,,,,
2011-10-18,,,21.187204360961918,,,,,,
2011-10-19,,,20.7758846282959,20.9437686920166,,,,,
2011-10-20,,,20.7758846282959,21.027712249755858,,,,,
2011-10-21,,,21.43903160095215,21.059609603881835,,,,,
2011-10-24,,,21.632095336914062,21.162020111083983,,,,,
2011-10-25,,,21.615306854248047,21.24764060974121,,,,,
2011-10-26,,,21.002534866333008,21.292970657348633,21.11836967468262,,,,
2011-10-27,,,21.50618553161621,21.439030838012695,21.233371543884278,,,,
2011-10-28,,,21.674074172973636,21.48603935241699,21.272824478149413,,,,
2011-10-31,,,22.446348190307617,21.6488899230957,21.405455017089842,,,,
2011-11-01,,,22.92482185363769,21.910792922973634,21.579216766357423,,,,
2011-11-02,,,22.345613479614254,22.179408645629884,21.73618965148926,,,,
2011-11-03,,,22.15254211425781,22.3086799621582,21.87385540008545,,,,
2011-11-04,,,21.14523124694824,22.202911376953125,21.84447536468506,,,,
2011-11-07,,,20.64996337890625,21.843634414672852,21.74626216888428,,,,
2011-11-08,,,20.935375213623047,21.445745086669923,21.67826900482178,,,,
2011-11-09,,,20.053974151611328,20.987417221069336,21.58341293334961,21.350891304016113,,,
2011-11-10,,,19.85250473022461,20.527409744262695,21.41804485321045,21.325708198547364,,,
2011-11-11,,,19.970027923583984,20.292369079589843,21.247640228271486,21.260232353210448,,,
2011-11-14,,,20.173194885253903,20.197015380859373,21.020324897766113,21.21288995742798,,,
2011-11-15,,,20.223777770996094,20.054695892333985,20.750220489501952,21.164718627929688,,,
2011-11-16,,,20.333364486694336,20.110573959350585,20.548995590209962,21.14259262084961,,,
2011-11-17,,,20.105756759643555,20.161224365234375,20.344317054748537,21.10908622741699,,,
2011-11-18,,,20.173194885253903,20.20185775756836,20.2471134185791,21.04579439163208,,,
2011-11-21,,,19.911863327026367,20.14959144592285,20.173303413391114,20.959782791137695,,,
