Date,GRADE,GPS,BF-B,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,0.3491736948490143,,,,,,
1983-11-22,,,0.3504250049591064,,,,,,
1983-11-23,,,0.3504250049591064,,,,,,
1983-11-24,,,0.3504250049591064,,,,,,
1983-11-25,,,0.3504250049591064,0.35017474293708795,,,,,
1983-11-28,,,0.3541795313358307,0.35117591023445127,,,,,
1983-11-29,,,0.3491736948490143,0.35092564821243283,,,,,
1983-11-30,,,0.3504250049591064,0.3509256482124329,,,,,
1983-12-01,,,0.3754552900791168,0.3559317052364349,,,,,
1983-12-02,,,0.3579338490962982,0.35743347406387327,0.3538041085004806,,,,
1983-12-05,,,0.3454189896583557,0.3556813657283783,0.3534286379814148,,,,
1983-12-06,,,0.3491736948490143,0.3556813657283783,0.3533035069704055,,,,
1983-12-07,,,0.3516765236854553,0.35593166947364807,0.3534286588430404,,,,
1983-12-08,,,0.3529282212257385,0.3514262557029724,0.35367898046970364,,,,
1983-12-09,,,0.3504250049591064,0.34992448687553407,0.3536789804697037,,,,
1983-12-12,,,0.3454189896583557,0.34992448687553407,0.3528029263019562,,,,
1983-12-13,,,0.3341552019119262,0.3469207882881164,0.35130107700824736,,,,
1983-12-14,,,0.3278975486755371,0.34216499328613276,0.34904833137989044,,,,
1983-12-15,,,0.3153826594352722,0.3346558809280395,0.34304106831550596,,,,
1983-12-16,,,0.312879353761673,0.32714675068855287,0.33853561878204347,0.34616986364126207,,,
1983-12-19,,,0.3103763163089752,0.32013821601867676,0.3350313514471054,0.3442299947142601,,,
1983-12-20,,,0.312879353761673,0.3158830463886261,0.33140191733837127,0.34235271215438845,,,
1983-12-21,,,0.317885547876358,0.3138806462287903,0.32802281975746156,0.340725739300251,,,
1983-12-22,,,0.3253944516181946,0.3158830046653748,0.32526944279670716,0.3394742116332054,,,
1983-12-23,,,0.3216397762298584,0.31763508915901184,0.3223909199237823,0.338034950196743,,,
1983-12-26,,,0.3216397762298584,0.3198877811431885,0.32001299858093263,0.3364079624414444,,,
1983-12-27,,,0.3341552019119262,0.3241429507732391,0.32001299858093263,0.33565703779458994,,,
1983-12-28,,,0.3316520452499389,0.3268962502479553,0.3203884482383728,0.3347183898091316,,,
1983-12-29,,,0.3266460597515106,0.32714657187461854,0.32151478826999663,0.33227792829275127,,,
1983-12-30,,,0.3253944516181946,0.32789750695228576,0.3227662980556488,0.33065095841884606,,,
1984-01-02,,,0.3253944516181946,0.328648442029953,0.32426811158657076,0.329649731516838,,,
1984-01-03,,,0.3228914141654968,0.32639568448066714,0.3252693176269531,0.32833561748266216,,,
1984-01-04,,,0.3141310811042785,0.32289149165153497,0.3248938709497452,0.3264583453536033,,,
1984-01-05,,,0.3103763163089752,0.31963754296302793,0.32339205741882326,0.32433075010776513,,,
1984-01-06,,,0.3166341185569763,0.3178854763507843,0.322891491651535,0.32264120578765865,,,
