Date,GRADE,GPS,EG,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2020-04-30,24.23775235456959,B,156.5048828125,159.77904052734374,163.32081909179686,170.47757949829102,188.4249069213867,219.60967590332027,224.227784576416
2020-05-01,24.99360649685802,B,149.1646270751953,158.7304443359375,160.4877685546875,169.8895462036133,186.2024676513672,218.6347717285156,223.82195175170898
2020-05-04,24.390295276908294,B,147.1848907470703,156.3981903076172,157.9837615966797,168.6642105102539,184.06273895263672,217.6248040771484,223.4182907104492
2020-05-05,23.57976201040394,B,151.6053009033203,154.2395050048828,156.9089324951172,167.60023345947266,182.092060546875,216.63533416748044,223.05940795898437
2020-05-06,21.0556897092565,B,148.6764678955078,150.62723388671876,155.56110687255858,166.09376220703126,180.15835235595702,215.64252792358394,222.70829109191894
2020-05-07,21.671410411529294,B,157.13760375976562,150.75377807617187,155.26640930175782,164.35496673583984,178.59897186279298,214.73945144653317,222.40973083496092
2020-05-08,24.379415628728964,B,159.8224334716797,152.88533935546874,155.80789184570312,162.75041275024415,177.34347106933595,213.84768768310542,222.1299642944336
2020-05-11,27.90472163333386,B,161.80213928222656,155.8087890625,156.1034896850586,161.70406188964844,175.9429345703125,213.00966598510738,221.87771354675294
2020-05-12,29.276610977436192,B,155.492431640625,156.58621520996093,155.41286010742186,160.29793395996094,174.50097595214845,212.09956680297847,221.56861991882323
2020-05-13,30.088615413022122,B,148.4504852294922,156.5410186767578,153.5841262817383,159.08615798950194,172.63171508789063,211.11904815673824,221.20945037841796
2020-05-14,29.063560683315995,B,146.1905059814453,154.35159912109376,152.5526885986328,157.93675384521484,170.93654815673827,210.11530120849605,220.82389305114745
2020-05-15,27.84387883154814,B,152.7172088623047,152.93055419921876,152.90794677734374,156.69785766601564,169.43782775878907,209.16388992309567,220.46990409851074
2020-05-18,28.167212108990764,B,163.0406036376953,153.1782470703125,154.49351806640624,156.23863983154297,168.48214752197265,208.3027807617187,220.1754754638672
2020-05-19,30.764272248185787,B,168.46444702148438,155.77265014648438,156.17943267822267,156.54418258666993,167.50422943115234,207.50138854980466,219.896672744751
2020-05-20,36.874533857955264,C,180.0985565185547,162.10226440429688,159.32164154052734,157.44137420654297,166.9849868774414,206.8163374328613,219.70302139282228
2020-05-21,44.3473202890904,C,186.22750854492188,170.1096649169922,162.23063201904296,158.7485206604004,167.07881958007812,206.18081253051753,219.5391716003418
2020-05-22,50.38713417770064,C,185.92921447753903,176.75206604003907,164.8413101196289,160.32460098266603,166.94485107421875,205.5504762268066,219.3625587463379
2020-05-25,54.396410050082686,C,185.92921447753903,181.3297882080078,167.25401763916017,161.6787536621094,167.36194580078126,204.92597625732418,219.1831499481201
2020-05-26,56.99133089130189,C,185.19140625,184.67518005371093,170.22391510009766,162.81838760375976,167.485498046875,204.31583007812497,219.01394241333008
2020-05-27,56.91163848698761,C,184.9545745849609,185.6463836669922,173.87432403564452,163.7292251586914,167.77281463623046,203.71076934814448,218.83884643554688
2020-05-28,55.818224733810865,C,186.2753143310547,185.65594482421875,177.88280487060547,165.21774673461914,168.11312225341797,203.0928739929199,218.66591667175294
2020-05-29,54.34824334114071,C,180.7192230224609,184.61394653320312,180.6830062866211,166.79547653198242,168.20833953857422,202.43207916259763,218.4828237915039
2020-06-01,52.41437772726764,C,176.49290466308594,182.7266845703125,182.02823638916016,168.2608772277832,168.6292529296875,201.71887420654292,218.26843727111816
